NO ;KODE KABUPATEN/KOTA;KODE KECAMATAN;KODE KELURAHAN/DESA;NILAI IDM;STATUS IDM
1;1501;150101;1501012001;0,6689;BERKEMBANG
2;1501;150101;1501012006;0,6552;BERKEMBANG
3;1501;150101;1501012011;0,6651;BERKEMBANG
4;1501;150101;1501012013;0,6513;BERKEMBANG
5;1501;150101;1501012016;0,6048;BERKEMBANG
6;1501;150101;1501012018;0,7044;BERKEMBANG
7;1501;150101;1501012019;0,627;BERKEMBANG
8;1501;150102;1501022001;0,6735;BERKEMBANG
9;1501;150102;1501022004;0,6924;BERKEMBANG
10;1501;150102;1501022005;0,651;BERKEMBANG
11;1501;150102;1501022006;0,683;BERKEMBANG
12;1501;150102;1501022007;0,6343;BERKEMBANG
13;1501;150102;1501022008;0,7067;BERKEMBANG
14;1501;150102;1501022013;0,6479;BERKEMBANG
15;1501;150102;1501022014;0,6348;BERKEMBANG
16;1501;150102;1501022015;0,6137;BERKEMBANG
17;1501;150102;1501022016;0,6617;BERKEMBANG
18;1501;150102;1501022018;0,6625;BERKEMBANG
19;1501;150104;1501042008;0,6375;BERKEMBANG
20;1501;150104;1501042009;0,6244;BERKEMBANG
21;1501;150104;1501042010;0,647;BERKEMBANG
22;1501;150104;1501042011;0,6267;BERKEMBANG
23;1501;150104;1501042012;0,6603;BERKEMBANG
24;1501;150104;1501042013;0,6659;BERKEMBANG
25;1501;150104;1501042014;0,6643;BERKEMBANG
26;1501;150104;1501042026;0,6751;BERKEMBANG
27;1501;150104;1501042028;0,6249;BERKEMBANG
28;1501;150104;1501042031;0,636;BERKEMBANG
29;1501;150104;1501042033;0,6452;BERKEMBANG
30;1501;150104;1501042034;0,6003;BERKEMBANG
31;1501;150105;1501052004;0,6717;BERKEMBANG
32;1501;150105;1501052014;0,6833;BERKEMBANG
33;1501;150105;1501052015;0,6397;BERKEMBANG
34;1501;150105;1501052016;0,6611;BERKEMBANG
35;1501;150105;1501052018;0,66;BERKEMBANG
36;1501;150105;1501052029;0,6968;BERKEMBANG
37;1501;150106;1501062010;0,631;BERKEMBANG
38;1501;150106;1501062011;0,6432;BERKEMBANG
39;1501;150106;1501062012;0,6187;BERKEMBANG
40;1501;150106;1501062013;0,6246;BERKEMBANG
41;1501;150106;1501062014;0,6535;BERKEMBANG
42;1501;150106;1501062015;0,6122;BERKEMBANG
43;1501;150106;1501062017;0,609;BERKEMBANG
44;1501;150106;1501062019;0,6681;BERKEMBANG
45;1501;150106;1501062039;0,6137;BERKEMBANG
46;1501;150106;1501062040;0,636;BERKEMBANG
47;1501;150106;1501062041;0,6192;BERKEMBANG
48;1501;150106;1501062042;0,63;BERKEMBANG
49;1501;150107;1501072004;0,6886;BERKEMBANG
50;1501;150107;1501072006;0,6621;BERKEMBANG
51;1501;150107;1501072007;0,6979;BERKEMBANG
52;1501;150107;1501072008;0,6846;BERKEMBANG
53;1501;150107;1501072009;0,7051;BERKEMBANG
54;1501;150107;1501072010;0,6449;BERKEMBANG
55;1501;150107;1501072011;0,6606;BERKEMBANG
56;1501;150107;1501072013;0,6646;BERKEMBANG
57;1501;150107;1501072014;0,6384;BERKEMBANG
58;1501;150108;1501082002;0,6754;BERKEMBANG
59;1501;150108;1501082005;0,6773;BERKEMBANG
60;1501;150108;1501082006;0,6419;BERKEMBANG
61;1501;150109;1501092014;0,6732;BERKEMBANG
62;1501;150109;1501092017;0,6644;BERKEMBANG
63;1501;150109;1501092022;0,707;BERKEMBANG
64;1501;150109;1501092030;0,6641;BERKEMBANG
65;1501;150109;1501092047;0,7005;BERKEMBANG
66;1501;150109;1501092049;0,7016;BERKEMBANG
67;1501;150111;1501112004;0,7051;BERKEMBANG
68;1501;150111;1501112005;0,6684;BERKEMBANG
69;1501;150111;1501112006;0,6454;BERKEMBANG
70;1501;150111;1501112009;0,7054;BERKEMBANG
71;1501;150111;1501112010;0,6586;BERKEMBANG
72;1501;150111;1501112011;0,694;BERKEMBANG
73;1501;150111;1501112012;0,6946;BERKEMBANG
74;1501;150111;1501112014;0,707;BERKEMBANG
75;1501;150111;1501112015;0,6471;BERKEMBANG
76;1501;150111;1501112019;0,707;BERKEMBANG
77;1501;150111;1501112020;0,6697;BERKEMBANG
78;1501;150111;1501112023;0,6603;BERKEMBANG
79;1501;150111;1501112024;0,6844;BERKEMBANG
80;1501;150111;1501112025;0,6863;BERKEMBANG
81;1501;150111;1501112026;0,6768;BERKEMBANG
82;1501;150111;1501112027;0,6287;BERKEMBANG
83;1501;150111;1501112028;0,6197;BERKEMBANG
84;1501;150115;1501152002;0,7038;BERKEMBANG
85;1501;150115;1501152005;0,6965;BERKEMBANG
86;1501;150115;1501152009;0,7017;BERKEMBANG
87;1501;150115;1501152010;0,6998;BERKEMBANG
88;1501;150116;1501162004;0,6784;BERKEMBANG
89;1501;150116;1501162006;0,6267;BERKEMBANG
90;1501;150116;1501162010;0,6659;BERKEMBANG
91;1501;150116;1501162011;0,64;BERKEMBANG
92;1501;150116;1501162012;0,6952;BERKEMBANG
93;1501;150116;1501162019;0,6346;BERKEMBANG
94;1501;150116;1501162021;0,671;BERKEMBANG
95;1501;150116;1501162024;0,6214;BERKEMBANG
96;1501;150116;1501162025;0,6587;BERKEMBANG
97;1501;150116;1501162033;0,6692;BERKEMBANG
98;1501;150116;1501162035;0,6924;BERKEMBANG
99;1501;150116;1501162036;0,661;BERKEMBANG
100;1501;150116;1501162038;0,6886;BERKEMBANG
101;1501;150117;1501172002;0,6557;BERKEMBANG
102;1501;150117;1501172007;0,6565;BERKEMBANG
103;1501;150117;1501172012;0,6913;BERKEMBANG
104;1501;150117;1501172014;0,6525;BERKEMBANG
105;1501;150117;1501172015;0,6841;BERKEMBANG
106;1501;150117;1501172016;0,6824;BERKEMBANG
107;1501;150117;1501172017;0,6971;BERKEMBANG
108;1501;150117;1501172018;0,664;BERKEMBANG
109;1501;150118;1501182001;0,7063;BERKEMBANG
110;1501;150118;1501182002;0,6057;BERKEMBANG
111;1501;150118;1501182004;0,6363;BERKEMBANG
112;1501;150118;1501182005;0,6516;BERKEMBANG
113;1501;150118;1501182006;0,6116;BERKEMBANG
