no;kode_provinsi;provinsi;kode_kabupaten_kota;kode_kecamatan;nama_daya_tarik_wisata;jenis_daya_tarik_wisata
1;15;JAMBI;1509;150902;Kebun Raya Bukit Sari;Alam
2;15;JAMBI;1509;150902;Taman Nasional Bukit 30 (TNBT);Alam
3;15;JAMBI;1509;150902;Taman Nasional Bukit 12;Alam
4;15;JAMBI;1509;150902;Batu Menangis & Air Terjun Bulian Berdarah;Alam
5;15;JAMBI;1509;150902;Air Terjun Gajah Mati;Alam
6;15;JAMBI;1509;150902;Air Panas Sungai Bengkal;Alam
7;15;JAMBI;1509;150901;Danau Tanduk;Alam
8;15;JAMBI;1509;150907;Celosia Muna Garden;Buatan
9;15;JAMBI;1509;150901;Wisata Lubuk Tembesu;Buatan
10;15;JAMBI;1509;150901;Makam Sultan Tahta Syaifuddin;Sejarah/Budaya
11;15;JAMBI;1509;150912;Istana Sultan Thaha Syaifuddin;Sejarah/ Budaya
12;15;JAMBI;1509;150902;Mesjid Tua;Sejarah/ Budaya
13;15;JAMBI;1509;150901;Benteng Peninggalan Jaman Belanda;Sejarah/ Budaya
14;15;JAMBI;1509;150901;Makam Belanda ;Sejarah/ Budaya
15;15;JAMBI;1509;150904;Taman Wisata Rivera Park;Buatan
16;15;JAMBI;1572;157208;Taman Bunga Putih Senang;Buatan
17;15;JAMBI;1572;157206;Masjid Agung ;Budaya
18;15;JAMBI;1572;157205;Air Terjun Renah Betung;Alam 
19;15;JAMBI;1572;157205;Air Terjun Tiga Beradik;Alam
20;15;JAMBI;1572;157204;Jembatan Kerinduan;Buatan
21;15;JAMBI;1572;157201;Lapangan Merdeka;Buatan
22;15;JAMBI;1572;157203;Masjid Raya Rawang;Budaya
23;15;JAMBI;1572;157205;Batu Gong;Budaya
24;15;JAMBI;1572;157202;Batu Sorba ;Budaya
25;15;JAMBI;1572;157208;Makam Nenek Siak Lengi;Budaya
26;15;JAMBI;1572;157203;Museum Kota Sungai Penuh;Buatan
27;15;JAMBI;1572;157201;Tanah Mendapo;Budaya
28;15;JAMBI;1572;157206;Bukit Semancik;Alam
29;15;JAMBI;1572;157208;Bukit Sentiong;Alam
30;15;JAMBI;1572;157208;Bukit Sentiong/ Bukit Puti Mengurai;Alam
31;15;JAMBI;1572;157208;Panorama Bukit Tapan;Alam
32;15;JAMBI;1572;157201;Taman Nasional Kerinci Seblat;Alam
33;15;JAMBI;1572;157203;Batu Sorban;Alam
34;15;JAMBI;1572;157205;Bukit Renah Kayu Embun;Alam
35;15;JAMBI;1572;157208;Taman Bunga Puti Senang;Buatan
36;15;JAMBI;1572;157205;Batu Gong Nenek Betung;Buatan
37;15;JAMBI;1572;157201;Wisata Alam New Bruna;Buatan
38;15;JAMBI;1572;157201;Kolam Renang Air Panas;Buatan
39;15;JAMBI;1572;157201;Taman Lapangan Merdeka;Buatan
40;15;JAMBI;1572;157204;Danau Buatan;Buatan
41;15;JAMBI;1572;157201;Kolam Renang Mutiara Indah;Buatan
42;15;JAMBI;1572;157201;Jembatan Kerinduan;Buatan
43;15;JAMBI;1572;157201;Masjid Agung Pondok Tinggi;Sejarah/ Budaya
44;15;JAMBI;1572;157201;Rumah Larik;Sejarah/ Budaya
45;15;JAMBI;1572;157201;Masjid Raya Sungai Penuh;Sejarah/ Budaya
46;15;JAMBI;1572;157201;Makam Depati Payu;Sejarah/ Budaya
47;15;JAMBI;1572;157201;Makam Siak Alam Koto Bingin;Sejarah/ Budaya
48;15;JAMBI;1572;157201;Tulisan Incong;Sejarah/ Budaya
49;15;JAMBI;1572;157201;Museum Iskandar Zakaria;Sejarah/ Budaya
50;15;JAMBI;1572;157201;Sumur Pulai Gedang;Sejarah/ Budaya
51;15;JAMBI;1572;157201;Depati VII Cofee ;Buatan 
52;15;JAMBI;1572;157201;Aura Taman Bunga RKE;Buatan
53;15;JAMBI;1507;150705;Cagar Alam Hutan Bakau Pantai Timur;Alam 
54;15;JAMBI;1507;150705;Simpang Bungur ;Alam 
55;15;JAMBI;1507;150710;Sumber Mata Air Panas;Alam 
56;15;JAMBI;1507;150705;Crocodile Safari;Alam 
57;15;JAMBI;1507;150705;Pulau Penyu ;Alam 
58;15;JAMBI;1507;150705;Hutan Wisata Air Hitam ;Alam 
59;15;JAMBI;1507;150707;Taman Bunga Matahari;Buatan 
60;15;JAMBI;1507;150702;Pelabuhan Nipah Panjang;Buatan 
61;15;JAMBI;1507;150708;Wisata Kampung Laut  ;Sejarah/Budaya 
62;15;JAMBI;1507;150705;Desa Wisata Air Hitam Laut dan TradisiMandi Safar ;Sejarah/Budaya 
