id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kelurahan_desa;sumber;jumlah_balita_anak;pendek_anak;sangat_pendek_anak;prevalensi
1;15;JAMBI;1501;1501012003;KEMENDAGRI;8;2;0;25
2;15;JAMBI;1501;1501012013;KEMENDAGRI;21;2;3;23,8
3;15;JAMBI;1501;1501011004;KEMENDAGRI;80;3;0;3,8
4;15;JAMBI;1501;1501012006;KEMENDAGRI;5;1;0;20
5;15;JAMBI;1501;1501012012;KEMENDAGRI;15;1;0;6,7
6;15;JAMBI;1501;1501012001;KEMENDAGRI;27;3;0;11,1
7;15;JAMBI;1501;1501012005;KEMENDAGRI;0;2;0;0
8;15;JAMBI;1501;1501012002;KEMENDAGRI;16;6;0;37,5
9;15;JAMBI;1501;1501012011;KEMENDAGRI;29;8;5;44,8
10;15;JAMBI;1501;1501012016;KEMENDAGRI;12;1;1;16,7
11;15;JAMBI;1501;1501012018;KEMENDAGRI;24;2;0;8,3
12;15;JAMBI;1501;1501012019;KEMENDAGRI;29;4;2;20,7
13;15;JAMBI;1501;1501202001;KEMENDAGRI;24;0;1;4,2
14;15;JAMBI;1501;1501202004;KEMENDAGRI;60;2;0;3,3
15;15;JAMBI;1501;1501202002;KEMENDAGRI;66;0;1;1,5
16;15;JAMBI;1501;1501202003;KEMENDAGRI;57;1;0;1,8
17;15;JAMBI;1501;1501202006;KEMENDAGRI;26;3;0;11,5
18;15;JAMBI;1501;1501202005;KEMENDAGRI;35;1;1;5,7
19;15;JAMBI;1501;1501202012;KEMENDAGRI;41;0;1;2,4
20;15;JAMBI;1501;1501202011;KEMENDAGRI;30;2;0;6,7
21;15;JAMBI;1501;1501202007;KEMENDAGRI;64;12;0;18,8
22;15;JAMBI;1501;1501202008;KEMENDAGRI;48;12;9;43,8
23;15;JAMBI;1501;1503022005;KEMENDAGRI;40;5;1;15
24;15;JAMBI;1501;1501202009;KEMENDAGRI;19;12;0;63,2
25;15;JAMBI;1501;1501202013;KEMENDAGRI;23;3;0;13
26;15;JAMBI;1501;1501202014;KEMENDAGRI;40;4;0;10
27;15;JAMBI;1501;1501202015;KEMENDAGRI;50;2;0;4
28;15;JAMBI;1501;1501072014;KEMENDAGRI;90;10;1;12,2
29;15;JAMBI;1501;1501072013;KEMENDAGRI;102;10;3;12,7
30;15;JAMBI;1501;1501072008;KEMENDAGRI;103;14;0;13,6
31;15;JAMBI;1501;1501072007;KEMENDAGRI;146;8;0;2,1
32;15;JAMBI;1501;1501072009;KEMENDAGRI;70;5;2;10
33;15;JAMBI;1501;1501072006;KEMENDAGRI;91;12;2;15,4
34;15;JAMBI;1501;1501072010;KEMENDAGRI;39;4;2;15,4
35;15;JAMBI;1501;1501072011;KEMENDAGRI;109;9;0;8,3
36;15;JAMBI;1501;1501072004;KEMENDAGRI;99;10;0;10,1
37;15;JAMBI;1501;1501082005;KEMENDAGRI;11;1;0;9,1
38;15;JAMBI;1501;1501082004;KEMENDAGRI;14;2;0;14,3
39;15;JAMBI;1501;1501082003;KEMENDAGRI;17;0;0;0
40;15;JAMBI;1501;1501082002;KEMENDAGRI;19;0;0;0
41;15;JAMBI;1501;1501082019;KEMENDAGRI;21;0;0;0
42;15;JAMBI;1501;1501082001;KEMENDAGRI;33;4;0;12,1
43;15;JAMBI;1501;1501082006;KEMENDAGRI;24;2;0;8,3
44;15;JAMBI;1501;1572032011;KEMENDAGRI;41;6;0;14,6
45;15;JAMBI;1501;1501082018;KEMENDAGRI;30;0;1;3,3
46;15;JAMBI;1501;1501222006;KEMENDAGRI;51;3;0;5,9
47;15;JAMBI;1501;1501082013;KEMENDAGRI;27;1;0;3,7
48;15;JAMBI;1501;1501082012;KEMENDAGRI;38;0;0;0
49;15;JAMBI;1501;1501232014;KEMENDAGRI;46;7;0;15,2
50;15;JAMBI;1501;1501232011;KEMENDAGRI;35;0;0;0
51;15;JAMBI;1501;1501232012;KEMENDAGRI;27;0;0;0
52;15;JAMBI;1501;1501232009;KEMENDAGRI;11;3;0;27,3
53;15;JAMBI;1501;1501232007;KEMENDAGRI;30;2;0;6,7
54;15;JAMBI;1501;1501232004;KEMENDAGRI;28;9;0;32,1
55;15;JAMBI;1501;1501232002;KEMENDAGRI;8;8;0;100
56;15;JAMBI;1501;1501232001;KEMENDAGRI;41;9;0;22
57;15;JAMBI;1501;1501082023;KEMENDAGRI;32;1;0;3,1
58;15;JAMBI;1501;1502012008;KEMENDAGRI;41;0;0;0
59;15;JAMBI;1501;1501232013;KEMENDAGRI;24;2;0;8,3
60;15;JAMBI;1501;1501232006;KEMENDAGRI;49;1;0;2
61;15;JAMBI;1501;1501082027;KEMENDAGRI;33;1;0;3
62;15;JAMBI;1501;1501082026;KEMENDAGRI;28;0;0;0
63;15;JAMBI;1501;1501082025;KEMENDAGRI;27;3;0;11,1
64;15;JAMBI;1501;1501082028;KEMENDAGRI;35;0;1;2,9
65;15;JAMBI;1501;1501022008;KEMENDAGRI;20;3;0;15
66;15;JAMBI;1501;1501232008;KEMENDAGRI;28;7;0;25
67;15;JAMBI;1501;1501232005;KEMENDAGRI;31;9;0;29
68;15;JAMBI;1501;1501232003;KEMENDAGRI;23;7;0;30,4
69;15;JAMBI;1501;1501022001;KEMENDAGRI;70;0;0;0
70;15;JAMBI;1501;1501022014;KEMENDAGRI;30;0;1;3,3
71;15;JAMBI;1501;1501022002;KEMENDAGRI;91;3;1;4,4
72;15;JAMBI;1501;1501022003;KEMENDAGRI;76;0;17;22,4
73;15;JAMBI;1501;1501022008;KEMENDAGRI;55;0;27;49,1
74;15;JAMBI;1501;1501022004;KEMENDAGRI;33;4;0;12,1
75;15;JAMBI;1501;1501022005;KEMENDAGRI;66;1;0;1,5
76;15;JAMBI;1501;1501022007;KEMENDAGRI;45;0;0;0
77;15;JAMBI;1501;1501222008;KEMENDAGRI;46;2;0;4,3
78;15;JAMBI;1501;1501222009;KEMENDAGRI;43;1;0;2,3
79;15;JAMBI;1501;1501022013;KEMENDAGRI;48;1;1;4,2
80;15;JAMBI;1501;1501022006;KEMENDAGRI;46;0;0;0
81;15;JAMBI;1501;1501222011;KEMENDAGRI;35;0;0;0
82;15;JAMBI;1501;1501222007;KEMENDAGRI;31;0;0;0
83;15;JAMBI;1501;1501022016;KEMENDAGRI;45;1;0;2,2
84;15;JAMBI;1501;1501022015;KEMENDAGRI;19;1;0;5,3
85;15;JAMBI;1501;1505072012;KEMENDAGRI;32;0;0;0
86;15;JAMBI;1501;1501222010;KEMENDAGRI;12;1;2;25
87;15;JAMBI;1501;1501222006;KEMENDAGRI;31;0;0;0
88;15;JAMBI;1501;1501222001;KEMENDAGRI;24;0;1;4,2
89;15;JAMBI;1501;1501222002;KEMENDAGRI;38;0;0;0
90;15;JAMBI;1501;1501222003;KEMENDAGRI;23;0;0;0
91;15;JAMBI;1501;1501222004;KEMENDAGRI;12;0;0;0
92;15;JAMBI;1501;1501222005;KEMENDAGRI;46;4;1;10,9
93;15;JAMBI;1501;1501042012;KEMENDAGRI;11;0;0;0
94;15;JAMBI;1501;1502172008;KEMENDAGRI;30;0;0;0
95;15;JAMBI;1501;1501042011;KEMENDAGRI;10;0;0;0
96;15;JAMBI;1501;1501042013;KEMENDAGRI;29;2;1;10,3
97;15;JAMBI;1501;1501042009;KEMENDAGRI;47;1;0;2,1
98;15;JAMBI;1501;1501042026;KEMENDAGRI;80;4;0;5
99;15;JAMBI;1501;1501042014;KEMENDAGRI;38;0;1;2,6
100;15;JAMBI;1501;1501042008;KEMENDAGRI;20;0;0;0
101;15;JAMBI;1501;1501042028;KEMENDAGRI;29;0;0;0
102;15;JAMBI;1501;1501222012;KEMENDAGRI;24;1;0;4,2
103;15;JAMBI;1501;1501042029;KEMENDAGRI;32;1;1;8,3
104;15;JAMBI;1501;1501042030;KEMENDAGRI;21;0;0;0
105;15;JAMBI;1501;1501042031;KEMENDAGRI;16;0;0;0
106;15;JAMBI;1501;1501042034;KEMENDAGRI;56;0;0;0
107;15;JAMBI;1501;1501042033;KEMENDAGRI;35;2;0;3,6
108;15;JAMBI;1501;1501052029;KEMENDAGRI;18;3;0;8,6
109;15;JAMBI;1501;1501052015;KEMENDAGRI;28;6;1;38,9
110;15;JAMBI;1501;1501052022;KEMENDAGRI;26;1;0;3,6
111;15;JAMBI;1501;1501232012;KEMENDAGRI;20;0;0;0
112;15;JAMBI;1501;1501052012;KEMENDAGRI;30;3;0;15
113;15;JAMBI;1501;1501052013;KEMENDAGRI;23;2;0;6,7
114;15;JAMBI;1501;1501052024;KEMENDAGRI;29;1;0;4,3
115;15;JAMBI;1501;1501052014;KEMENDAGRI;43;2;0;6,9
116;15;JAMBI;1501;1501052004;KEMENDAGRI;42;6;0;14
117;15;JAMBI;1501;1501042012;KEMENDAGRI;42;0;0;0
118;15;JAMBI;1501;1501052018;KEMENDAGRI;36;1;0;2,4
119;15;JAMBI;1501;1501052036;KEMENDAGRI;56;1;3;11,1
120;15;JAMBI;1501;1501052035;KEMENDAGRI;21;5;0;8,9
121;15;JAMBI;1501;1501042011;KEMENDAGRI;22;0;0;0
122;15;JAMBI;1501;1501052038;KEMENDAGRI;41;4;0;18,2
123;15;JAMBI;1501;1501052037;KEMENDAGRI;55;3;0;7,3
124;15;JAMBI;1501;1501112014;KEMENDAGRI;34;10;0;18,2
125;15;JAMBI;1501;1501112006;KEMENDAGRI;19;2;1;8,8
126;15;JAMBI;1501;1501112005;KEMENDAGRI;17;8;0;42,1
127;15;JAMBI;1501;1501112004;KEMENDAGRI;29;6;0;35,3
128;15;JAMBI;1501;1501112011;KEMENDAGRI;27;10;0;34,5
129;15;JAMBI;1501;1501112010;KEMENDAGRI;43;5;0;18,5
130;15;JAMBI;1501;1501112012;KEMENDAGRI;67;7;0;16,3
131;15;JAMBI;1501;1501112009;KEMENDAGRI;75;2;0;3
132;15;JAMBI;1501;1501112015;KEMENDAGRI;61;12;0;16
133;15;JAMBI;1501;1501112007;KEMENDAGRI;37;0;0;0
134;15;JAMBI;1501;1501112008;KEMENDAGRI;33;7;0;18,9
135;15;JAMBI;1501;1501112001;KEMENDAGRI;25;2;0;6,1
136;15;JAMBI;1501;1501112018;KEMENDAGRI;22;6;0;24
137;15;JAMBI;1501;1501112002;KEMENDAGRI;19;5;1;27,3
138;15;JAMBI;1501;1501112003;KEMENDAGRI;31;5;1;31,6
139;15;JAMBI;1501;1501112019;KEMENDAGRI;30;4;1;16,1
140;15;JAMBI;1501;1501112021;KEMENDAGRI;26;5;0;16,7
141;15;JAMBI;1501;1501112020;KEMENDAGRI;32;2;0;7,7
142;15;JAMBI;1501;1501112022;KEMENDAGRI;25;4;0;12,5
143;15;JAMBI;1501;1501112027;KEMENDAGRI;25;8;0;32
144;15;JAMBI;1501;1501112028;KEMENDAGRI;43;3;0;12
