NO ;KODE PROVINSI;NAMA PROVINSI;KODE KABUPATEN/KOTA;KODE KECAMATAN;KODE DESA;NILAI IDM;STATUS IDM
1;15;JAMBI;1501;150102;1501022002;0,7219;MAJU
2;15;JAMBI;1501;150102;1501022003;0,7383;MAJU
3;15;JAMBI;1501;150104;1501042029;0,7587;MAJU
4;15;JAMBI;1501;150104;1501042030;0,7683;MAJU
5;15;JAMBI;1501;150105;1501052002;0,7597;MAJU
6;15;JAMBI;1501;150105;1501052012;0,7278;MAJU
7;15;JAMBI;1501;150105;1501052022;0,7594;MAJU
8;15;JAMBI;1501;150105;1501052024;0,7087;MAJU
9;15;JAMBI;1501;150105;1501052035;0,7625;MAJU
10;15;JAMBI;1501;150105;1501052036;0,7587;MAJU
11;15;JAMBI;1501;150105;1501052038;0,7124;MAJU
12;15;JAMBI;1501;150105;1501052039;0,733;MAJU
13;15;JAMBI;1501;150106;1501062018;0,7844;MAJU
14;15;JAMBI;1501;150106;1501062043;0,7297;MAJU
15;15;JAMBI;1501;150108;1501082001;0,7792;MAJU
16;15;JAMBI;1501;150108;1501082003;0,739;MAJU
17;15;JAMBI;1501;150108;1501082004;0,7106;MAJU
18;15;JAMBI;1501;150108;1501082007;0,7543;MAJU
19;15;JAMBI;1501;150108;1501082008;0,7417;MAJU
20;15;JAMBI;1501;150108;1501082012;0,7097;MAJU
21;15;JAMBI;1501;150108;1501082013;0,7384;MAJU
22;15;JAMBI;1501;150108;1501082018;0,7556;MAJU
23;15;JAMBI;1501;150108;1501082022;0,7821;MAJU
24;15;JAMBI;1501;150108;1501082023;0,7214;MAJU
25;15;JAMBI;1501;150108;1501082025;0,7841;MAJU
26;15;JAMBI;1501;150108;1501082026;0,7384;MAJU
27;15;JAMBI;1501;150108;1501082027;0,753;MAJU
28;15;JAMBI;1501;150108;1501082028;0,7565;MAJU
29;15;JAMBI;1501;150109;1501092010;0,7538;MAJU
30;15;JAMBI;1501;150109;1501092013;0,7929;MAJU
31;15;JAMBI;1501;150109;1501092015;0,7444;MAJU
32;15;JAMBI;1501;150109;1501092016;0,8024;MAJU
33;15;JAMBI;1501;150109;1501092024;0,7329;MAJU
34;15;JAMBI;1501;150109;1501092048;0,739;MAJU
35;15;JAMBI;1501;150111;1501112001;0,7073;MAJU
36;15;JAMBI;1501;150111;1501112002;0,7671;MAJU
37;15;JAMBI;1501;150111;1501112003;0,7559;MAJU
38;15;JAMBI;1501;150111;1501112007;0,7792;MAJU
39;15;JAMBI;1501;150111;1501112008;0,7816;MAJU
40;15;JAMBI;1501;150111;1501112018;0,7125;MAJU
41;15;JAMBI;1501;150111;1501112022;0,8044;MAJU
42;15;JAMBI;1501;150115;1501152001;0,7462;MAJU
43;15;JAMBI;1501;150115;1501152003;0,7692;MAJU
44;15;JAMBI;1501;150115;1501152006;0,7633;MAJU
45;15;JAMBI;1501;150115;1501152007;0,7243;MAJU
46;15;JAMBI;1501;150115;1501152008;0,716;MAJU
47;15;JAMBI;1501;150115;1501152011;0,7332;MAJU
48;15;JAMBI;1501;150115;1501152012;0,7257;MAJU
49;15;JAMBI;1501;150116;1501162001;0,7076;MAJU
50;15;JAMBI;1501;150116;1501162005;0,7365;MAJU
51;15;JAMBI;1501;150116;1501162007;0,7651;MAJU
52;15;JAMBI;1501;150116;1501162009;0,7283;MAJU
53;15;JAMBI;1501;150116;1501162013;0,774;MAJU
54;15;JAMBI;1501;150116;1501162014;0,7144;MAJU
55;15;JAMBI;1501;150116;1501162015;0,7368;MAJU
56;15;JAMBI;1501;150116;1501162016;0,7121;MAJU
57;15;JAMBI;1501;150116;1501162028;0,7698;MAJU
58;15;JAMBI;1501;150116;1501162030;0,7135;MAJU
59;15;JAMBI;1501;150116;1501162034;0,7129;MAJU
60;15;JAMBI;1501;150116;1501162039;0,7717;MAJU
61;15;JAMBI;1501;150116;1501162040;0,7441;MAJU
62;15;JAMBI;1501;150117;1501172001;0,7511;MAJU
63;15;JAMBI;1501;150117;1501172003;0,7214;MAJU
64;15;JAMBI;1501;150117;1501172004;0,72;MAJU
65;15;JAMBI;1501;150117;1501172005;0,7181;MAJU
66;15;JAMBI;1501;150117;1501172006;0,7584;MAJU
67;15;JAMBI;1501;150117;1501172008;0,7162;MAJU
68;15;JAMBI;1501;150117;1501172009;0,7668;MAJU
69;15;JAMBI;1501;150117;1501172010;0,7625;MAJU
70;15;JAMBI;1501;150117;1501172013;0,7533;MAJU
71;15;JAMBI;1501;150117;1501172019;0,7162;MAJU
72;15;JAMBI;1501;150117;1501172020;0,7603;MAJU
73;15;JAMBI;1501;150118;1501182003;0,7165;MAJU
74;15;JAMBI;1501;150119;1501192001;0,7644;MAJU
75;15;JAMBI;1501;150119;1501192002;0,8151;MAJU
76;15;JAMBI;1501;150119;1501192004;0,7317;MAJU
77;15;JAMBI;1501;150119;1501192008;0,7995;MAJU
78;15;JAMBI;1501;150119;1501192009;0,713;MAJU
79;15;JAMBI;1501;150119;1501192010;0,7222;MAJU
80;15;JAMBI;1501;150119;1501192013;0,806;MAJU
81;15;JAMBI;1501;150119;1501192015;0,7597;MAJU
82;15;JAMBI;1501;150119;1501192016;0,7946;MAJU
83;15;JAMBI;1501;150119;1501192017;0,7087;MAJU
84;15;JAMBI;1501;150120;1501202001;0,7229;MAJU
85;15;JAMBI;1501;150120;1501202002;0,7335;MAJU
86;15;JAMBI;1501;150120;1501202003;0,7873;MAJU
87;15;JAMBI;1501;150120;1501202004;0,7432;MAJU
88;15;JAMBI;1501;150121;1501212003;0,7252;MAJU
89;15;JAMBI;1501;150121;1501212004;0,793;MAJU
90;15;JAMBI;1501;150121;1501212006;0,7549;MAJU
91;15;JAMBI;1501;150121;1501212012;0,7295;MAJU
92;15;JAMBI;1501;150122;1501222005;0,7381;MAJU
93;15;JAMBI;1501;150122;1501222006;0,7616;MAJU
94;15;JAMBI;1501;150122;1501222007;0,7497;MAJU
95;15;JAMBI;1501;150122;1501222008;0,7538;MAJU
96;15;JAMBI;1501;150122;1501222010;0,7327;MAJU
97;15;JAMBI;1501;150122;1501222011;0,7146;MAJU
98;15;JAMBI;1501;150123;1501232001;0,7086;MAJU
99;15;JAMBI;1501;150123;1501232002;0,7108;MAJU
100;15;JAMBI;1501;150123;1501232003;0,7148;MAJU
101;15;JAMBI;1501;150123;1501232004;0,7086;MAJU
102;15;JAMBI;1501;150123;1501232005;0,7113;MAJU
103;15;JAMBI;1501;150123;1501232006;0,7132;MAJU
104;15;JAMBI;1501;150123;1501232007;0,7224;MAJU
105;15;JAMBI;1501;150123;1501232008;0,733;MAJU
106;15;JAMBI;1501;150123;1501232009;0,7186;MAJU
107;15;JAMBI;1501;150123;1501232011;0,7198;MAJU
108;15;JAMBI;1501;150123;1501232012;0,7559;MAJU
109;15;JAMBI;1501;150123;1501232014;0,7744;MAJU
110;15;JAMBI;1502;150201;1502012004;0,7324;MAJU
111;15;JAMBI;1502;150201;1502012005;0,7629;MAJU
112;15;JAMBI;1502;150201;1502012008;0,7503;MAJU
113;15;JAMBI;1502;150201;1502012009;0,7178;MAJU
114;15;JAMBI;1502;150202;1502022004;0,7287;MAJU
115;15;JAMBI;1502;150202;1502022012;0,7559;MAJU
116;15;JAMBI;1502;150203;1502032009;0,7075;MAJU
117;15;JAMBI;1502;150203;1502032010;0,769;MAJU
118;15;JAMBI;1502;150203;1502032012;0,7111;MAJU
119;15;JAMBI;1502;150203;1502032024;0,7652;MAJU
120;15;JAMBI;1502;150204;1502042008;0,7851;MAJU
121;15;JAMBI;1502;150204;1502042009;0,7127;MAJU
