id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;pejabat_struktural;tenaga_pendidik;tenaga_dukungan_manajemen
1;15;JAMBI;1501;KERINCI;0;0;87
2;15;JAMBI;1502;MERANGIN;28;0;80
3;15;JAMBI;1503;SAROLANGUN;0;0;66
4;15;JAMBI;1504;BATANGHARI;28;0;102
5;15;JAMBI;1505;MUARO JAMBI;5;0;73
6;15;JAMBI;1507;TANJUNG JABUNG TIMUR;0;0;85
7;15;JAMBI;1506;TANJUNG JABUNG BARAT;29;0;105
8;15;JAMBI;1509;TEBO;0;0;58
9;15;JAMBI;1508;BUNGO;15;0;91
10;15;JAMBI;1571;KOTA JAMBI;0;0;128
11;15;JAMBI;1572;KOTA SUNGAI PENUH;12;0;26
