id;fasilitas_pelayanan;jumlah;;id;kode_provinsi;nama_provinsi;fasilitas_pelayanan;jumlah_sdm
1;TENAGA PENUJANG;977;;1;15;JAMBI;TENAGA PENUJANG;977
2;TENAGA PERAWAT;8147;;2;15;JAMBI;TENAGA PERAWAT;8147
3;TENAGA BIDAN;7040;;3;15;JAMBI;TENAGA BIDAN;7040
4;TENAGA KESMAS;955;;4;15;JAMBI;TENAGA KESMAS;955
5;TENAGA LABOR;916;;5;15;JAMBI;TENAGA LABOR;916
6;TENAGA KEFARMASIAN;699;;6;15;JAMBI;TENAGA KEFARMASIAN;699
7;KETEKNISAN MEDIS;628;;7;15;JAMBI;KETEKNISAN MEDIS;628
8;TENAGA GIZI;502;;8;15;JAMBI;TENAGA GIZI;502
9;TENAGA KESLING;481;;9;15;JAMBI;TENAGA KESLING;481
10;TENAGA APOTEKER;400;;10;15;JAMBI;TENAGA APOTEKER;400
11;TENAGA TEKNIK BIOMEDIK;199;;11;15;JAMBI;TENAGA TEKNIK BIOMEDIK;199
12;KETERAPIAN FISIK;172;;12;15;JAMBI;KETERAPIAN FISIK;172
