id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;status;persentase;tahun
1;15;JAMBI;1501;TREATMENT COVERAGE;16,43;2020
2;15;JAMBI;1501;TREATMENT COVERAGE;16,08;2021
3;15;JAMBI;1501;TREATMENT COVERAGE;18,46;2022
4;15;JAMBI;1502;TREATMENT COVERAGE;31,75;2020
5;15;JAMBI;1502;TREATMENT COVERAGE;35,58;2021
6;15;JAMBI;1502;TREATMENT COVERAGE;50,25;2022
7;15;JAMBI;1503;TREATMENT COVERAGE;37,08;2020
8;15;JAMBI;1503;TREATMENT COVERAGE;41,52;2021
9;15;JAMBI;1503;TREATMENT COVERAGE;40,81;2022
10;15;JAMBI;1504;TREATMENT COVERAGE;29,93;2020
11;15;JAMBI;1504;TREATMENT COVERAGE;37,8;2021
12;15;JAMBI;1504;TREATMENT COVERAGE;41,95;2022
13;15;JAMBI;1505;TREATMENT COVERAGE;16,93;2020
14;15;JAMBI;1505;TREATMENT COVERAGE;38,09;2021
15;15;JAMBI;1505;TREATMENT COVERAGE;34,19;2022
16;15;JAMBI;1507;TREATMENT COVERAGE;22,21;2020
17;15;JAMBI;1507;TREATMENT COVERAGE;17,31;2021
18;15;JAMBI;1507;TREATMENT COVERAGE;26,01;2022
19;15;JAMBI;1506;TREATMENT COVERAGE;22,7;2020
20;15;JAMBI;1506;TREATMENT COVERAGE;22,1;2021
21;15;JAMBI;1506;TREATMENT COVERAGE;26,01;2022
22;15;JAMBI;1509;TREATMENT COVERAGE;19,93;2020
23;15;JAMBI;1509;TREATMENT COVERAGE;24;2021
24;15;JAMBI;1509;TREATMENT COVERAGE;34,52;2022
25;15;JAMBI;1508;TREATMENT COVERAGE;25,2;2020
26;15;JAMBI;1508;TREATMENT COVERAGE;28,67;2021
27;15;JAMBI;1508;TREATMENT COVERAGE;35,23;2022
28;15;JAMBI;1571;TREATMENT COVERAGE;22,62;2020
29;15;JAMBI;1571;TREATMENT COVERAGE;25,18;2021
30;15;JAMBI;1571;TREATMENT COVERAGE;34,63;2022
31;15;JAMBI;1572;TREATMENT COVERAGE;13,25;2020
32;15;JAMBI;1572;TREATMENT COVERAGE;14,35;2021
33;15;JAMBI;1572;TREATMENT COVERAGE;36,64;2022
34;15;JAMBI;1501;TREATMENT SUCCESS RATE;96;2020
35;15;JAMBI;1501;TREATMENT SUCCESS RATE;87,86;2021
36;15;JAMBI;1501;TREATMENT SUCCESS RATE;70,15;2022
37;15;JAMBI;1502;TREATMENT SUCCESS RATE;99;2020
38;15;JAMBI;1502;TREATMENT SUCCESS RATE;90,1;2021
39;15;JAMBI;1502;TREATMENT SUCCESS RATE;91,36;2022
40;15;JAMBI;1503;TREATMENT SUCCESS RATE;97;2020
41;15;JAMBI;1503;TREATMENT SUCCESS RATE;97,41;2021
42;15;JAMBI;1503;TREATMENT SUCCESS RATE;91,36;2022
43;15;JAMBI;1504;TREATMENT SUCCESS RATE;81;2020
44;15;JAMBI;1504;TREATMENT SUCCESS RATE;82,66;2021
45;15;JAMBI;1504;TREATMENT SUCCESS RATE;73,21;2022
46;15;JAMBI;1505;TREATMENT SUCCESS RATE;98;2020
47;15;JAMBI;1505;TREATMENT SUCCESS RATE;94,04;2021
48;15;JAMBI;1505;TREATMENT SUCCESS RATE;87,09;2022
49;15;JAMBI;1507;TREATMENT SUCCESS RATE;79;2020
50;15;JAMBI;1507;TREATMENT SUCCESS RATE;94,35;2021
51;15;JAMBI;1507;TREATMENT SUCCESS RATE;92,81;2022
52;15;JAMBI;1506;TREATMENT SUCCESS RATE;99;2020
53;15;JAMBI;1506;TREATMENT SUCCESS RATE;89,23;2021
54;15;JAMBI;1506;TREATMENT SUCCESS RATE;89,93;2022
55;15;JAMBI;1509;TREATMENT SUCCESS RATE;80;2020
56;15;JAMBI;1509;TREATMENT SUCCESS RATE;88,75;2021
57;15;JAMBI;1509;TREATMENT SUCCESS RATE;94,05;2022
58;15;JAMBI;1508;TREATMENT SUCCESS RATE;93;2020
59;15;JAMBI;1508;TREATMENT SUCCESS RATE;89,36;2021
60;15;JAMBI;1508;TREATMENT SUCCESS RATE;84,36;2022
61;15;JAMBI;1571;TREATMENT SUCCESS RATE;93;2020
62;15;JAMBI;1571;TREATMENT SUCCESS RATE;87,4;2021
63;15;JAMBI;1571;TREATMENT SUCCESS RATE;80,54;2022
64;15;JAMBI;1572;TREATMENT SUCCESS RATE;89;2020
65;15;JAMBI;1572;TREATMENT SUCCESS RATE;88,33;2021
66;15;JAMBI;1572;TREATMENT SUCCESS RATE;84,38;2022
