NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode kecamatan;kode_kelurahan_desa;nilai_idm;status_idm
1;15;JAMBI;1501;150101;1501012003;0,8478;MANDIRI
2;15;JAMBI;1501;150105;1501052013;0,8822;MANDIRI
3;15;JAMBI;1501;150105;1501052037;0,8392;MANDIRI
4;15;JAMBI;1501;150108;1501082019;0,8779;MANDIRI
5;15;JAMBI;1501;150109;1501092011;0,8411;MANDIRI
6;15;JAMBI;1501;150109;1501092012;0,9065;MANDIRI
7;15;JAMBI;1501;150109;1501092025;0,9476;MANDIRI
8;15;JAMBI;1501;150109;1501092038;0,8187;MANDIRI
9;15;JAMBI;1501;150109;1501092039;0,8535;MANDIRI
10;15;JAMBI;1501;150109;1501092042;0,8225;MANDIRI
11;15;JAMBI;1501;150109;1501092043;0,8798;MANDIRI
12;15;JAMBI;1501;150109;1501092045;0,9065;MANDIRI
13;15;JAMBI;1501;150111;1501112021;0,8159;MANDIRI
14;15;JAMBI;1501;150115;1501152004;0,8251;MANDIRI
15;15;JAMBI;1501;150115;1501152013;0,8484;MANDIRI
16;15;JAMBI;1501;150117;1501172011;0,8371;MANDIRI
17;15;JAMBI;1501;150119;1501192003;0,9122;MANDIRI
18;15;JAMBI;1501;150119;1501192005;0,8173;MANDIRI
19;15;JAMBI;1501;150119;1501192006;0,8194;MANDIRI
20;15;JAMBI;1501;150119;1501192011;0,8189;MANDIRI
21;15;JAMBI;1501;150119;1501192012;0,8343;MANDIRI
22;15;JAMBI;1501;150119;1501192014;0,8525;MANDIRI
23;15;JAMBI;1501;150121;1501212005;0,8252;MANDIRI
24;15;JAMBI;1501;150123;1501232010;0,8359;MANDIRI
25;15;JAMBI;1501;150123;1501232013;0,8432;MANDIRI
26;15;JAMBI;1502;150201;1502012011;0,8273;MANDIRI
27;15;JAMBI;1502;150202;1502022024;0,8381;MANDIRI
28;15;JAMBI;1502;150204;1502042017;0,84;MANDIRI
29;15;JAMBI;1502;150206;1502062004;0,8175;MANDIRI
30;15;JAMBI;1502;150206;1502062007;0,8881;MANDIRI
31;15;JAMBI;1502;150206;1502062010;0,8402;MANDIRI
32;15;JAMBI;1502;150206;1502062011;0,8378;MANDIRI
33;15;JAMBI;1502;150206;1502062012;0,8689;MANDIRI
34;15;JAMBI;1502;150206;1502062014;0,8325;MANDIRI
35;15;JAMBI;1502;150206;1502062026;0,8565;MANDIRI
36;15;JAMBI;1502;150206;1502062027;0,816;MANDIRI
37;15;JAMBI;1502;150208;1502082002;0,8511;MANDIRI
