id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;posyandu;strata posyandu;jumlah
1;15;JAMBI;1501;POSYANDU;PRATAMA;0
2;15;JAMBI;1502;POSYANDU;PRATAMA;68
3;15;JAMBI;1503;POSYANDU;PRATAMA;0
4;15;JAMBI;1504;POSYANDU;PRATAMA;3
5;15;JAMBI;1505;POSYANDU;PRATAMA;12
6;15;JAMBI;1507;POSYANDU;PRATAMA;21
7;15;JAMBI;1506;POSYANDU;PRATAMA;8
8;15;JAMBI;1509;POSYANDU;PRATAMA;17
9;15;JAMBI;1508;POSYANDU;PRATAMA;16
10;15;JAMBI;1571;POSYANDU;PRATAMA;2
11;15;JAMBI;1572;POSYANDU;PRATAMA;6
12;15;JAMBI;1501;POSYANDU;MADYA;47
13;15;JAMBI;1502;POSYANDU;MADYA;162
14;15;JAMBI;1503;POSYANDU;MADYA;187
15;15;JAMBI;1504;POSYANDU;MADYA;48
16;15;JAMBI;1505;POSYANDU;MADYA;103
17;15;JAMBI;1507;POSYANDU;MADYA;99
18;15;JAMBI;1506;POSYANDU;MADYA;126
19;15;JAMBI;1509;POSYANDU;MADYA;92
20;15;JAMBI;1508;POSYANDU;MADYA;123
21;15;JAMBI;1571;POSYANDU;MADYA;248
22;15;JAMBI;1572;POSYANDU;MADYA;47
23;15;JAMBI;1501;POSYANDU;PURNAMA;220
24;15;JAMBI;1502;POSYANDU;PURNAMA;110
25;15;JAMBI;1503;POSYANDU;PURNAMA;147
26;15;JAMBI;1504;POSYANDU;PURNAMA;132
27;15;JAMBI;1505;POSYANDU;PURNAMA;217
28;15;JAMBI;1507;POSYANDU;PURNAMA;139
29;15;JAMBI;1506;POSYANDU;PURNAMA;132
30;15;JAMBI;1509;POSYANDU;PURNAMA;139
31;15;JAMBI;1508;POSYANDU;PURNAMA;115
32;15;JAMBI;1571;POSYANDU;PURNAMA;173
33;15;JAMBI;1572;POSYANDU;PURNAMA;21
34;15;JAMBI;1501;POSYANDU;MANDIRI;25
35;15;JAMBI;1502;POSYANDU;MANDIRI;89
36;15;JAMBI;1503;POSYANDU;MANDIRI;44
37;15;JAMBI;1504;POSYANDU;MANDIRI;121
38;15;JAMBI;1505;POSYANDU;MANDIRI;61
39;15;JAMBI;1507;POSYANDU;MANDIRI;30
40;15;JAMBI;1506;POSYANDU;MANDIRI;31
41;15;JAMBI;1509;POSYANDU;MANDIRI;73
42;15;JAMBI;1508;POSYANDU;MANDIRI;36
43;15;JAMBI;1571;POSYANDU;MANDIRI;45
44;15;JAMBI;1572;POSYANDU;MANDIRI;0
45;15;JAMBI;1501;POSYANDU AKTIF ;POSYANDU AKTIF ;245
46;15;JAMBI;1502;POSYANDU AKTIF ;POSYANDU AKTIF ;199
47;15;JAMBI;1503;POSYANDU AKTIF ;POSYANDU AKTIF ;191
48;15;JAMBI;1504;POSYANDU AKTIF ;POSYANDU AKTIF ;253
49;15;JAMBI;1505;POSYANDU AKTIF ;POSYANDU AKTIF ;278
50;15;JAMBI;1507;POSYANDU AKTIF ;POSYANDU AKTIF ;169
51;15;JAMBI;1506;POSYANDU AKTIF ;POSYANDU AKTIF ;163
52;15;JAMBI;1509;POSYANDU AKTIF ;POSYANDU AKTIF ;212
53;15;JAMBI;1508;POSYANDU AKTIF ;POSYANDU AKTIF ;151
54;15;JAMBI;1571;POSYANDU AKTIF ;POSYANDU AKTIF ;218
55;15;JAMBI;1572;POSYANDU AKTIF ;POSYANDU AKTIF ;21
56;15;JAMBI;1501;POSBINDU PTM;POSBINDU PTM;67
57;15;JAMBI;1502;POSBINDU PTM;POSBINDU PTM;201
58;15;JAMBI;1503;POSBINDU PTM;POSBINDU PTM;95
59;15;JAMBI;1504;POSBINDU PTM;POSBINDU PTM;150
60;15;JAMBI;1505;POSBINDU PTM;POSBINDU PTM;131
61;15;JAMBI;1507;POSBINDU PTM;POSBINDU PTM;102
62;15;JAMBI;1506;POSBINDU PTM;POSBINDU PTM;118
63;15;JAMBI;1509;POSBINDU PTM;POSBINDU PTM;136
64;15;JAMBI;1508;POSBINDU PTM;POSBINDU PTM;183
65;15;JAMBI;1571;POSBINDU PTM;POSBINDU PTM;68
66;15;JAMBI;1572;POSBINDU PTM;POSBINDU PTM;70
