no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_desa_wisata;potensi_desa;status
1;15;JAMBI;1504;150404;Desa Wisata Danau Ugo;Keindahan Alam (Danau Ugo) Yang Masih Asli Dan Asri;Rintisan
2;15;JAMBI;1504;150403;Danau Lentang;-;-
3;15;JAMBI;1501;150109;KERSIK TUO;Wisata Alam,Kuliner,Cinderamata;Berkembang
4;15;JAMBI;1501;150102;PENDUNG TALANG GENTING (PENTAGEN);Wisata Buatan;Mandiri
5;15;JAMBI;1501;150115;JERNIH JAYA;Wisata Buatan;Mandiri
6;15;JAMBI;1501;150115;PENDUNG MUDIK;Wisata Alam,Wisata Buatan,Wisata Sejarah,Wisata Budaya;Berkembang
7;15;JAMBI;1501;150101;LEKUK 50 TUMBI;Wisata Buatan,Wisata Alam,Antraksi Seni,Agrowisata,Kuliner;Mandiri
8;15;JAMBI;1501;150116;KOTO RENDAH;Wisata Sejarah,Wisata Budaya;Rintisan
9;15;JAMBI;1501;150104;HIANG TINGGI;Wisata Sejarah,Wisata Budaya;Rintisan
10;15;JAMBI;1501;150107;BATANG MERANGIN;Wisata Alam,Kuliner;-
11;15;JAMBI;1501;150107;BATANG MERANGIN;Wisata Alam,Kuliner;Rintisan
12;15;JAMBI;1501;150117;TAMBAK TINGGI;Wisata Buatan,Wisata Alam,Kuliner;Berkembang
13;15;JAMBI;1501;150120;PULAU SANGKAR;Wisata Alam,Wisata Buatan,Agrowisata,Kuliner;Rintisan
14;15;JAMBI;1501;150102;TANJUNG TANAH;Wisata Sejarah,Warisan Budaya,Wisata Alam,Manuskrip/Naskah Tanjung;Mandiri
15;15;JAMBI;1501;150102;Pantai Indah Koto Petai;Wisata Alam,Wisata Buatan,Kuliner;Rintisan
16;15;JAMBI;1501;150108;"SERENGKUH DAYUNG
SERENTAK CATANG SE-
PULAU TENGAH";Wisata Alam,Sejarah,Warisan Budaya;Rintisan
17;15;JAMBI;1501;150116;AIR TERJUN;Wisata Alam,Wisata Buatan,Industri Kreatif;Berkembang
18;15;JAMBI;1501;150109;MEKAR SARI;Wisata Alam,Wisata Buatan,Wisata Budaya;Berkembang
19;15;JAMBI;1571;157111;Berdaya Eka Jaya;-;-
20;15;JAMBI;1571;157111;Kampung Wisata Berselang Eka Jaya;-;-
21;15;JAMBI;1502;150216;Air Batu;Arung Jeram/Geopark, Fosil Flora Dan Fauna Yang Berusia Parem Awal ± 300 Juta Tahun;Rintisan
22;15;JAMBI;1502;150210;Bedeng Rejo;Zona Inti Geopark, Fosil Flora Dan Fauna Yang Berusia ±300 Juta Tahun Dan Olahraga Air (Tubin);Rintisan
23;15;JAMBI;1502;150205;Rumah Tuo Rantau Panjang;Budaya;Rintisan
24;15;JAMBI;1502;150201;Desa Pulau Tengah;Panorama Alam Yaitu Lahan Persawahan Yang Terbentang Dan Juga Perkampungan Rumah Tuo;Rintisan
25;15;JAMBI;1502;150201;"Lembah
Mentenang Muara Madras";Panorama/Persawahan/Budaya Dan Tradisional;Rintisan
26;15;JAMBI;1502;150201;Rantau Kermas;"Panorama Alam Danau Depati Empat Yang Memiliki Luas ± 171 Ha Dan Areal Persawahan Untuk
Pertanian.";Rintisan
27;15;JAMBI;1502;150216;Desa Guguk;Panorama Alam Berupa Hutan Adat Yang Memiliki Luas ± 960 Ha Sampai Saat Ini Masih Terjaga.;Rintisan
28;15;JAMBI;1502;150206;Karang Berahi;"Batu Bertulis Karang Berahi Merupakan Sejarah Peninggalan Kerajaan Majapahit Dan Terdapat Dam Temalam Tempat Budidaya Ikan Serta Berfungsi
Untuk Irigasi Pertanian Bagi Kehidupan Masyarakat.";Rintisan
29;15;JAMBI;1502;150201;Rantau Suli;"Air Terjun Dukun Betuah Yang Mempunyai Ketinggian
± 90 M, Dan Ada Juga Legenda Batu Menangis";Rintisan
30;15;JAMBI;1502;150211;Dusun Patekun;Kompleks Goa Sungai Kunyit Yang Memiliki Luas ± 15 Ha. Menurut Masyarakat Setempat Ada 21 Buah Anak Goa Yang Baru Ditemukan.;Rintisan
31;15;JAMBI;1502;150205;Kampung Baruh;"Komplek Perkampungan Rumah Tuo Rantau Panjang Ini Mempunyai Keunikan Tersendiri Yang Berusia ±
600 Tahun.";Rintisan
32;15;JAMBI;1508;150814;Lubuk Beringin;Wsata Alam Tempat Pemandian;Rintisan
33;15;JAMBI;1508;150814;Lubuk Benteng;Wisata Alam,Danau;Mandiri
34;15;JAMBI;1508;150807;Renah Sungai Besar;Wisata Alam,Air Terjun;Rintisan
35;15;JAMBI;1505;150504;MUARA JAMBI;Alam,Budaya,Religi, Komplek Percandian;Berkembang
36;15;JAMBI;1505;150504;DANO LAMO;Alam, Budaya, Religi, Komplek Percandian;Rintisan
37;15;JAMBI;1505;150504;DESA BARU;Buatan;Rintisan
38;15;JAMBI;1505;150502;TANJUNG LANJUT;Alam;Rintisan
