id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_rumah_sakit;rumah_sakit;akreditas;pengelola;spa
1;15;JAMBI;1571;1571023;RUMAH SAKIT TK.III 02.06.01 DR. BRATANATA;C;TNI-AD;92,55
2;15;JAMBI;1571;1571012;RS UMUM DAERAH RADEN MATTAHER JAMBI;B;PROVINSI;91,32
3;15;JAMBI;1571;1571147;RS SILOAM JAMBI;B;SWASTA;90,88
4;15;JAMBI;1571;1571162;RS UMUM KAMBANG;C;SWASTA;83,78
5;15;JAMBI;1508;1509013;RS UMUM DAERAH H. HANAFIE;B;PEMKAB;83,37
6;15;JAMBI;1571;1571180;RAPHA THERESIA;C;SWASTA;82,75
7;15;JAMBI;1502;1502019;RSMERANGIN MEDICAL CENTRE;D;SWASTA;80,75
8;15;JAMBI;1571;1571158;H. ABDUL MANAP KOTA JAMBI;C;PEMKOT;79,97
9;15;JAMBI;1571;1571034;RS BHAYANGKARA JAMBI;C;POLRI;79,79
10;15;JAMBI;1571;1571163;RS BAITURRAHIM;C;SWASTA;79,36
11;15;JAMBI;1508;1509028;RS UMUM PERMATA HATI;C;SWASTA;78,46
12;15;JAMBI;1571;1504017;RS ROYAL PRIMA;C;SWASTA;76,56
13;15;JAMBI;1571;1571169;RS UMUM DAERAH H. ABDURRAHMAN SAYOETI;D;PEMKOT;75,31
14;15;JAMBI;1571;1571136;RS JIWA DAERAH PROVINSI JAMBI;Khusus Jiwa B;PROVINSI;75,14
15;15;JAMBI;1572;1572003;MELATI;D;SWASTA;74,45
16;15;JAMBI;1509;1508013;RS UMUM DAERAH SULTAN THAHA SAIFUDDIN;C;PEMKAB;73,77
17;15;JAMBI;1571;1571045;RS UMUM SANTA THERESIA;C;SWASTA;73,5
18;15;JAMBI;1571;1571159;RS ISLAM ARAFAH;C;SWASTA;72,81
19;15;JAMBI;1506;1507013;SURYAH KHAIRUDDIN;D;PEMKAB;72,37
20;15;JAMBI;1507;1506011;RS UMUM DAERAH NURDIN HAMZAH;C;PEMKAB;71,33
21;15;JAMBI;1508;1509031;JABAL RAHMAH MEDIKA;D;SWASTA;70,82
22;15;JAMBI;1505;1505027;RS UMUM DAERAH SUNGAI BAHAR;D;PEMKAB;69,59
23;15;JAMBI;1503;1503039;RS LANGIT GOLDEN MEDIKA;C;SWASTA;67,56
24;15;JAMBI;1572;1501012;RSU DAERAH MAYJEN H. A. THALIB;C;PEMKOT;67,38
25;15;JAMBI;1504;1504015;RS UMUM DAERAH HAJI ABDOEL MADJID BATOE;C;PEMKAB;66,51
26;15;JAMBI;1502;1502014;RUMAH SAKIT UMUM DAERAH KOLONEL ABUNDJANI BANGKO;C;PEMKAB;65,05
27;15;JAMBI;1571;1571161;RS IBU DAN ANAK ANNISA;Khusus Ibu & Anak C;SWASTA;64,79
28;15;JAMBI;1504;1504018;RS MITRA MEDIKABATANGHARI C;C;SWASTA;64,1
29;15;JAMBI;1506;1507010;RS UMUM DAERAH KH. DAUD ARIF;C;PEMKAB;63
30;15;JAMBI;1571;1571165;RS UMUM ERNI MEDIKA;D;SWASTA;62,79
31;15;JAMBI;1571;1571168;RS MITRA JAMBI (MITRA HOSPITAL);C;SWASTA;60,13
32;15;JAMBI;1502;1502015;RS RAUDHAH;C;SWASTA;58,34
33;15;JAMBI;1502;1502018;RUMAH SAKIT ANDIMAS;D;SWASTA;56,79
34;15;JAMBI;1508;1509029;RS IBU DAN ANAK MOELIA;Khusus Ibu & Anak C;SWASTA;53,94
35;15;JAMBI;1571;1571164;RSU RIMBO MEDIKA;D;SWASTA;53,88
36;15;JAMBI;1505;1505016;RS UMUM DAERAH AHMAD RIPIN;C;PEMKAB;51,64
37;15;JAMBI;1503;1503036;RS UMUM DAERAH PROF. DR. H. CHATIB QUZWAIN;C;PEMKAB;49,34
38;15;JAMBI;1505;1505028;RS UMUM DAERAH SUNGAI GELAM;D;PEMKAB;48,49
39;15;JAMBI;1509;1508002;SETIA BUDI;D;SWASTA;13,72
40;15;JAMBI;1508;1509042;RANTAU IKIL;D;PEMKAB;0
