id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,ghpr_2019,lyssa_rabies_2019,ghpr_2020,lyssa_rabies_2020,ghpr_2021,lyssa_rabies_2021,ghpr_2022,lyssa_rabies_2022
1,15,JAMBI,1501,125,0,90,0,61,0,30,0
2,15,JAMBI,1502,65,0,96,0,83,0,86,0
3,15,JAMBI,1503,74,0,41,0,36,0,35,0
4,15,JAMBI,1504,54,0,45,0,48,0,37,0
5,15,JAMBI,1505,133,0,37,0,66,0,72,0
6,15,JAMBI,1507,46,0,52,0,44,0,67,0
7,15,JAMBI,1506,65,0,40,0,47,0,40,0
8,15,JAMBI,1509,119,0,110,0,82,0,116,0
9,15,JAMBI,1508,62,0,70,0,52,0,64,0
10,15,JAMBI,1571,350,0,235,0,341,0,439,0
11,15,JAMBI,1572,59,0,32,0,22,0,51,0
