id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;luas_wilayah;persentase
1;15;JAMBI;1507;TANJUNG JABUNG TIMUR;4547;71,6
2;15;JAMBI;1571;KOTA JAMBI;170;71,49
3;15;JAMBI;1501;KERINCI;3445;69,18
4;15;JAMBI;1506;TANJUNG JABUNG BARAT;5546;66,37
5;15;JAMBI;1504;BATANGHARI;5388;65,95
6;15;JAMBI;1572;KOTA SUNGAI PENUH;365;64,89
7;15;JAMBI;1508;BUNGO;4761;62,22
8;15;JAMBI;1509;TEBO;6104;60,29
9;15;JAMBI;1503;SAROLANGUN;5936;59,9
10;15;JAMBI;1505;MUARO JAMBI;5226;54,95
11;15;JAMBI;1502;MERANGIN;7540;53,15
