id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
1;15;JAMBI;1501;150101;1011387;LEMPUR;DS. LEMPUR TENGAH, KEC. GUNUNG RAYA;RAWAT INAP;TERPENCIL
2;15;JAMBI;1501;150101;1011388;LOLO;DS. PASAR KERMAN, KEC. GUNUNG RAYA;NON RAWAT INAP;TERPENCIL
3;15;JAMBI;1501;150120;1012545;BUKIT KERMAN;JL. RAYA PONDOK SUNGAI PENUH DESA PONDOK;NON RAWAT INAP;TERPENCIL
4;15;JAMBI;1501;150107;1011389;TAMIAI;DS. TAMIAI, KEC. BATANG MERANGIN;RAWAT INAP;TERPENCIL
5;15;JAMBI;1501;150107;1011390;TARUTUNG;DS. TARUTUNG, KEC. BATANG MERANGIN;NON RAWAT INAP;TERPENCIL
6;15;JAMBI;1501;150107;1012569;MUARA HEMAT;JL. LINTAS KERINCI - BANGKO BEDENG 12 DESA MUARA HEMAT;NON RAWAT INAP;TERPENCIL
7;15;JAMBI;1501;150108;1011391;JUJUN;JL. RAYA PASAR JUJUN, KEC. KELILING DANAU;RAWAT INAP;PERDESAAN
8;15;JAMBI;1501;150108;1011392;SEMERAP;DS. SEMERAP, KEC. KELILING DANAU;NON RAWAT INAP;PERDESAAN
9;15;JAMBI;1501;150102;1011393;SANGGARAN AGUNG;DS. SANGGARAN AGUNG, KEC. DANAU KERINCI;NON RAWAT INAP;PERDESAAN
10;15;JAMBI;1501;150104;1011394;HIANG;JL. RAYA HIANG, KEC. SITINJAU LAUT;NON RAWAT INAP;PERDESAAN
11;15;JAMBI;1501;150121;1011395;SEMURUP;DS. KOTO MUDIK SEMURUP, KEC. AIR HANGAT;NON RAWAT INAP;PERDESAAN
12;15;JAMBI;1501;150111;1011396;KEMANTAN;JL. RAYA KEMANTAN KEBALAI, KEC. AIR HANGAT TIMUR;NON RAWAT INAP;PERDESAAN
13;15;JAMBI;1501;150111;1011397;SUNGAI TUTUNG;JL. RAYA SUNGAI TUTUNG, KEC. AIR HANGAT TIMUR;NON RAWAT INAP;PERDESAAN
14;15;JAMBI;1501;150117;1011398;DEPATI VII KOTO TUO;DS. KOTO TUO, KEC. DEPATI VII;NON RAWAT INAP;PERDESAAN
15;15;JAMBI;1501;150106;1011399;SIULAK DERAS;DS. SIULAK DERAS MUDIK, KEC. GUNUNG KERINCI;NON RAWAT INAP;PERDESAAN
16;15;JAMBI;1501;150106;1012570;SIMPANG TUTUP;DESA SIMPANG TUTUP KEC. GUNUNG KERINCI;NON RAWAT INAP;TERPENCIL
17;15;JAMBI;1501;150116;1011400;SIULAK GEDANG;DS. SIULAK GEDANG, KEC. SIULAK;RAWAT INAP;PERDESAAN
18;15;JAMBI;1501;150118;1011401;SIULAK MUKAI;DS. MUKAI MUDIK, KEC. SILULAK;NON RAWAT INAP;PERDESAAN
