id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;kode_rumah_sakit;nama_rumah_sakit;alamat;tempat_tidur;kelas;akreditas_rumah_sakit;kepemilikan
1;15;JAMBI;1504;150403;1504031005;1504015;RSUD H.ABDOEL MADJID BATOE;JL. PROF. DR. SRI SOEDEWI MUARO BULIAN ;136;C;PARIPURNA;PEMERINTAH
2;15;JAMBI;1504;150403;1504031002;1504018;RS MITRA MEDIKA BATANG HARI; JL. GAJAH MADA KEL. TERATAI KEC. MUARA BULIAN;105;C;PERDANA;SWASTA
3;15;JAMBI;1508;150813;1508131001;1509013;RSUD. H.HANAFIE MUARA BUNGO; JL. TEUKU UMAR 88 MUARA BUNGO;219;B;UTAMA;PEMERINTAH
4;15;JAMBI;1508;150812;1502042007;1509028;RSIA PERMATA HATI (BUNGO); JL.LEBAI HASAN, RT 06/02, SUNGAI PINANG, MUARA BUNGO;106;C;PERDANA;SWASTA 
5;15;JAMBI;1508;150813;1508131001;1509029;RS IBU DAN ANAK MOELIA (BUNGO); JLN. H. SYAMSIR NO.5 B, SUNGAI PINANG, BUNGO DANI, MUARA BUNGO.;33;C;PERDANA;SWASTA
6;15;JAMBI;1508;150813;1508131002;1509031;RS JABAL RAHMA ( BUNGO) ; JL. RM THAHER RT 15 RW 05 KELURAHAN CADIKA KECAMATAN RIMBO TENGAH KABUPATEN BUNGO, JAMBI;64;D;PARIPURNA;SWASTA
7;15;JAMBI;1571;157109;1571091001;1571136;RS. JIWA DAERAH JAMBI;JL. DR. PURWADI KM. 9,5 JAMBI;290;B;PARIPURNA;PEMERINTAH
8;15;JAMBI;1571;157109;1571091003;1571158;RSU H. ABDUL MANAP KOTA JAMBI;JL.SK.RD.SYAHBUDIN,MAYANG MANGURAI,ALAM BARAJO,KOTA JAMBI,JAMBI 36129;248;C;UTAMA;PEMERINTAH
9;15;JAMBI;1571;157106;1504062009;1571109;RSUD ABDURRAHMAN SAYOETI; JL. KH. HASAN ANANG NO. 33 KEL. OLAK KEMANG KEC. DANAU TELUK KOTA JAMBI;14;D;-;PEMERINTAH
10;15;JAMBI;1571;157111;1571111005;1571147;SILOAM HOSPITAL;JL.SOEKARNO HATTA,PAAL MERAH,KEC.JAMBI SEL,KOTA JAMBI,JAMBI 36139;108;B;PARIPURNA;SWASTA
11;15;JAMBI;1571;157102;1571021004;1504017;RS ROYAL PRIMA; JL. RADEN WIJAYA RT 35 KEBON KOPI KEC JAMBI SELATAN;155;C;PARIPURNA;SWASTA
12;15;JAMBI;1571;157111;1571111001;1571165;RSIA ERNI MEDIKA; JL. BERLIN RT 12 NO.21 KEL. TALANG BAKUNG;50;D;-;SWASTA
13;15;JAMBI;1571;157103;1571031005;1571023;RS. DR BRATANATA (DKT); JL. RADEN MATTAHER NO. 33 KEL. SULANJANA KEC. JAMBI TIMUR KOTA JAMBI;194;C;PARIPURNA;TNI
14;15;JAMBI;1571;157108;1571081003;1571161;RSIA. ANNISA ;JL.KABIA NO.04,KEBUN HANDIL,KEC.JELUTUNG,KOTA JAMBI,JAMBI 36125;71;C;PARIPURNA;SWASTA
15;15;JAMBI;1571;157108;1571081004;1571163;RS BAITURRAHIM; JL. PROF. M. YAMIN SH, NO. 30 KEL. LEBAK BANDUNG KOTA JAMBI;104;C;PARIPURNA;SWASTA
16;15;JAMBI;1571;157109;1571091001;1571164;RS RIMBO MEDIKA; JL, KAP, PATTIMURA RT.02 NO.58 JAMBI;25;D;-;SWASTA
17;15;JAMBI;1571;157107;1571071004;1571168;RS MITRA  (KOTA JAMBI); JL. JENDERAL BASUKI RAHMAT NO 77;63;C;PERDANA;SWASTA 
18;15;JAMBI;1571;157107;1571071005;1571180;RS RAPHA THERESIA (KOTA JAMBI); JL. KARDINAL J DARMOJUWONO RT 04 KELURAHAN KENALI ASAM BAWAH. KECAMATAN KOTABARU;116;D;-;SWASTA
