id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;gizi_buruk;gizi_kurang
1;15;JAMBI;1504;BATANGHARI;1,07;4,97
2;15;JAMBI;1571;KOTA JAMBI;0,76;3,45
3;15;JAMBI;1503;SAROLANGUN;0,55;3,13
4;15;JAMBI;1501;KERINCI;0,25;2,24
5;15;JAMBI;1505;MUARO JAMBI;0,13;2,26
6;15;JAMBI;1509;TEBO;0,27;2,04
7;15;JAMBI;1507;TANJUNG JABUNG TIMUR;0,18;2,01
8;15;JAMBI;1506;TANJUNG JABUNG BARAT;0,07;1,3
9;15;JAMBI;1502;MERANGIN;0,12;1,22
10;15;JAMBI;1508;BUNGO;0,09;0,96
11;15;JAMBI;1572;KOTA SUNGAI PENUH;0,07;0,9
