NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan-desa;nilai_idm;status_idm
1;15;JAMBI;1501;150101;1501012001;0,6689;BERKEMBANG
2;15;JAMBI;1501;150101;1501012002;0,5863;TERTINGGAL
3;15;JAMBI;1501;150101;1501012003;0,8478;MANDIRI
4;15;JAMBI;1501;150101;1501012005;0,553;TERTINGGAL
5;15;JAMBI;1501;150101;1501012006;0,6552;BERKEMBANG
6;15;JAMBI;1501;150101;1501012011;0,6651;BERKEMBANG
7;15;JAMBI;1501;150101;1501012012;0,5968;TERTINGGAL
8;15;JAMBI;1501;150101;1501012013;0,6513;BERKEMBANG
9;15;JAMBI;1501;150101;1501012016;0,6048;BERKEMBANG
10;15;JAMBI;1501;150101;1501012018;0,7044;BERKEMBANG
11;15;JAMBI;1501;150101;1501012019;0,627;BERKEMBANG
12;15;JAMBI;1501;150102;1501022001;0,6735;BERKEMBANG
13;15;JAMBI;1501;150102;1501022002;0,7219;MAJU
14;15;JAMBI;1501;150102;1501022003;0,7383;MAJU
15;15;JAMBI;1501;150102;1501022004;0,6924;BERKEMBANG
16;15;JAMBI;1501;150102;1501022005;0,651;BERKEMBANG
17;15;JAMBI;1501;150102;1501022006;0,683;BERKEMBANG
18;15;JAMBI;1501;150102;1501022007;0,6343;BERKEMBANG
19;15;JAMBI;1501;150102;1501022008;0,7067;BERKEMBANG
20;15;JAMBI;1501;150102;1501022013;0,6479;BERKEMBANG
21;15;JAMBI;1501;150102;1501022014;0,6348;BERKEMBANG
22;15;JAMBI;1501;150102;1501022015;0,6137;BERKEMBANG
23;15;JAMBI;1501;150102;1501022016;0,6617;BERKEMBANG
24;15;JAMBI;1501;150102;1501022018;0,6625;BERKEMBANG
25;15;JAMBI;1501;150104;1501042008;0,6375;BERKEMBANG
26;15;JAMBI;1501;150104;1501042009;0,6244;BERKEMBANG
27;15;JAMBI;1501;150104;1501042010;0,647;BERKEMBANG
28;15;JAMBI;1501;150104;1501042011;0,6267;BERKEMBANG
29;15;JAMBI;1501;150104;1501042012;0,6603;BERKEMBANG
30;15;JAMBI;1501;150104;1501042013;0,6659;BERKEMBANG
31;15;JAMBI;1501;150104;1501042014;0,6643;BERKEMBANG
32;15;JAMBI;1501;150104;1501042026;0,6751;BERKEMBANG
33;15;JAMBI;1501;150104;1501042028;0,6249;BERKEMBANG
34;15;JAMBI;1501;150104;1501042029;0,7587;MAJU
35;15;JAMBI;1501;150104;1501042030;0,7683;MAJU
36;15;JAMBI;1501;150104;1501042031;0,636;BERKEMBANG
