NO,KODE PROVINSI,KODE KABUPATEN/KOTA,KATEGORI,URAIAN,JUMLAH,SATUAN,TAHUN
1,15,1501,TERNAK BESAR,SAPI POTONG,"10,796",EKOR,2021
2,15,1501,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
3,15,1501,TERNAK BESAR,KERBAU,"3,811",EKOR,2021
4,15,1501,TERNAK BESAR,KUDA,74,EKOR,2021
5,15,1502,TERNAK BESAR,SAPI POTONG,"17,510",EKOR,2021
6,15,1502,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
7,15,1502,TERNAK BESAR,KERBAU,"5,415",EKOR,2021
8,15,1502,TERNAK BESAR,KUDA,3,EKOR,2021
9,15,1503,TERNAK BESAR,SAPI POTONG,"9,797",EKOR,2021
10,15,1503,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
11,15,1503,TERNAK BESAR,KERBAU,"9,044",EKOR,2021
12,15,1503,TERNAK BESAR,KUDA,0,EKOR,2021
13,15,1504,TERNAK BESAR,SAPI POTONG,"9,137",EKOR,2021
14,15,1504,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
15,15,1504,TERNAK BESAR,KERBAU,"9,875",EKOR,2021
16,15,1504,TERNAK BESAR,KUDA,0,EKOR,2021
17,15,1505,TERNAK BESAR,SAPI POTONG,"15,198",EKOR,2021
18,15,1505,TERNAK BESAR,SAPI PERAH,4,EKOR,2021
19,15,1505,TERNAK BESAR,KERBAU,"1,364",EKOR,2021
20,15,1505,TERNAK BESAR,KUDA,0,EKOR,2021
21,15,1507,TERNAK BESAR,SAPI POTONG,"21,474",EKOR,2021
22,15,1507,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
23,15,1507,TERNAK BESAR,KERBAU,80,EKOR,2021
24,15,1507,TERNAK BESAR,KUDA,0,EKOR,2021
25,15,1506,TERNAK BESAR,SAPI POTONG,"9,021",EKOR,2021
26,15,1506,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
27,15,1506,TERNAK BESAR,KERBAU,743,EKOR,2021
28,15,1506,TERNAK BESAR,KUDA,0,EKOR,2021
29,15,1509,TERNAK BESAR,SAPI POTONG,"21,188",EKOR,2021
30,15,1509,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
31,15,1509,TERNAK BESAR,KERBAU,"10,472",EKOR,2021
32,15,1509,TERNAK BESAR,KUDA,0,EKOR,2021
33,15,1508,TERNAK BESAR,SAPI POTONG,"40,834",EKOR,2021
34,15,1508,TERNAK BESAR,SAPI PERAH,0,EKOR,2021
35,15,1508,TERNAK BESAR,KERBAU,"5,382",EKOR,2021
36,15,1508,TERNAK BESAR,KUDA,4,EKOR,2021
37,15,1571,TERNAK BESAR,SAPI POTONG,"1,582",EKOR,2021
