id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;sk_gubernur_km;baik;sedang;rusak_ringan;rusak_berat;persentase
1;15;JAMBI;1506;38,583;28,8;4,9;0;4,883;87,34
2;15;JAMBI;1507;99,907;44,841;18,666;1,4;35;63,57
3;15;JAMBI;1505;129,294;81,324;24,4;9,97;13,6;81,77
4;15;JAMBI;1509;138,984;111,584;22,2;1,2;4;92,26
5;15;JAMBI;1508;107,179;50,729;33,4;2,6;20,45;78,49
6;15;JAMBI;1504;54,856;44,812;8,144;0,1;1,8;96,54
7;15;JAMBI;1501;37,322;34,745;1,777;0,6;0,2;97,86
8;15;JAMBI;1572;9,15;8,75;0,4;0;0;100
9;15;JAMBI;1502;195,823;101,017;59;14,8;21,006;81,72
10;15;JAMBI;1503;172,25;57,6;30,95;23,85;59,85;51,41
11;15;JAMBI;1571;49,495;40,853;6,974;0,6;1,069;96,63
