NO,kode_provinsi,kode_kabupaten_kota,kategori,uraian,jumlah,satuan,tahun
1,15,1501,TERNAK BESAR,SAPI,648317,KG,2020
2,15,1501,TERNAK BESAR,KERBAU,166664,KG,2020
3,15,1501,TERNAK BESAR,KUDA,3675,KG,2020
4,15,1501,TERNAK KECIL,KAMBING,83409,KG,2020
5,15,1501,TERNAK KECIL,DOMBA,1454,KG,2020
6,15,1501,TERNAK KECIL,BABI,0,KG,2020
7,15,1501,TERNAK UNGGAS,AYAM KAMPUNG,94082,KG,2020
8,15,1501,TERNAK UNGGAS,AYAM PETELUR,133197,KG,2020
9,15,1501,TERNAK UNGGAS,AYAM PEDAGING,1654081,KG,2020
10,15,1501,TERNAK UNGGAS,ITIK,75215,KG,2020
11,15,1501,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
12,15,1502,TERNAK BESAR,SAPI,675838,KG,2020
13,15,1502,TERNAK BESAR,KERBAU,138218,KG,2020
14,15,1502,TERNAK BESAR,KUDA,0,KG,2020
15,15,1502,TERNAK KECIL,KAMBING,87562,KG,2020
16,15,1502,TERNAK KECIL,DOMBA,20380,KG,2020
17,15,1502,TERNAK KECIL,BABI,6555,KG,2020
18,15,1502,TERNAK UNGGAS,AYAM KAMPUNG,579634,KG,2020
19,15,1502,TERNAK UNGGAS,AYAM PETELUR,35875,KG,2020
20,15,1502,TERNAK UNGGAS,AYAM PEDAGING,2418450,KG,2020
21,15,1502,TERNAK UNGGAS,ITIK,18062,KG,2020
22,15,1502,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
23,15,1503,TERNAK BESAR,SAPI,329010,KG,2020
24,15,1503,TERNAK BESAR,KERBAU,271877,KG,2020
25,15,1503,TERNAK BESAR,KUDA,0,KG,2020
26,15,1503,TERNAK KECIL,KAMBING,41081,KG,2020
27,15,1503,TERNAK KECIL,DOMBA,15643,KG,2020
28,15,1503,TERNAK KECIL,BABI,0,KG,2020
29,15,1503,TERNAK UNGGAS,AYAM KAMPUNG,359041,KG,2020
30,15,1503,TERNAK UNGGAS,AYAM PETELUR,17426,KG,2020
31,15,1503,TERNAK UNGGAS,AYAM PEDAGING,1949192,KG,2020
32,15,1503,TERNAK UNGGAS,ITIK,24375,KG,2020
33,15,1503,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
34,15,1504,TERNAK BESAR,SAPI,77269,KG,2020
35,15,1504,TERNAK BESAR,KERBAU,40116,KG,2020
36,15,1504,TERNAK BESAR,KUDA,0,KG,2020
37,15,1504,TERNAK KECIL,KAMBING,2238,KG,2020
38,15,1504,TERNAK KECIL,DOMBA,31792,KG,2020
39,15,1504,TERNAK KECIL,BABI,4227,KG,2020
40,15,1504,TERNAK UNGGAS,AYAM KAMPUNG,234498,KG,2020
41,15,1504,TERNAK UNGGAS,AYAM PETELUR,0,KG,2020
42,15,1504,TERNAK UNGGAS,AYAM PEDAGING,2495184,KG,2020
43,15,1504,TERNAK UNGGAS,ITIK,47715,KG,2020
44,15,1504,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
45,15,1505,TERNAK BESAR,SAPI,1032015,KG,2020
46,15,1505,TERNAK BESAR,KERBAU,198027,KG,2020
47,15,1505,TERNAK BESAR,KUDA,0,KG,2020
48,15,1505,TERNAK KECIL,KAMBING,231907,KG,2020
49,15,1505,TERNAK KECIL,DOMBA,6709,KG,2020
50,15,1505,TERNAK KECIL,BABI,69347,KG,2020
51,15,1505,TERNAK UNGGAS,AYAM KAMPUNG,2281092,KG,2020
52,15,1505,TERNAK UNGGAS,AYAM PETELUR,506113,KG,2020
53,15,1505,TERNAK UNGGAS,AYAM PEDAGING,9991402,KG,2020
54,15,1505,TERNAK UNGGAS,ITIK,20514,KG,2020
55,15,1505,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
56,15,1506,TERNAK BESAR,SAPI,222457,KG,2020
57,15,1506,TERNAK BESAR,KERBAU,14405,KG,2020
58,15,1506,TERNAK BESAR,KUDA,0,KG,2020
59,15,1506,TERNAK KECIL,KAMBING,33141,KG,2020
60,15,1506,TERNAK KECIL,DOMBA,154,KG,2020
61,15,1506,TERNAK KECIL,BABI,0,KG,2020
62,15,1506,TERNAK UNGGAS,AYAM KAMPUNG,668661,KG,2020
63,15,1506,TERNAK UNGGAS,AYAM PETELUR,395262,KG,2020
64,15,1506,TERNAK UNGGAS,AYAM PEDAGING,204090,KG,2020
65,15,1506,TERNAK UNGGAS,ITIK,33336,KG,2020
66,15,1506,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
67,15,1507,TERNAK BESAR,SAPI,338007,KG,2020
68,15,1507,TERNAK BESAR,KERBAU,17870,KG,2020
69,15,1507,TERNAK BESAR,KUDA,0,KG,2020
70,15,1507,TERNAK KECIL,KAMBING,50012,KG,2020
71,15,1507,TERNAK KECIL,DOMBA,837,KG,2020
72,15,1507,TERNAK KECIL,BABI,4322,KG,2020
73,15,1507,TERNAK UNGGAS,AYAM KAMPUNG,361947,KG,2020
74,15,1507,TERNAK UNGGAS,AYAM PETELUR,0,KG,2020
75,15,1507,TERNAK UNGGAS,AYAM PEDAGING,958687,KG,2020
76,15,1507,TERNAK UNGGAS,ITIK,65219,KG,2020
77,15,1507,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
78,15,1508,TERNAK BESAR,SAPI,774100,KG,2020
79,15,1508,TERNAK BESAR,KERBAU,261848,KG,2020
80,15,1508,TERNAK BESAR,KUDA,0,KG,2020
81,15,1508,TERNAK KECIL,KAMBING,133075,KG,2020
82,15,1508,TERNAK KECIL,DOMBA,36298,KG,2020
83,15,1508,TERNAK KECIL,BABI,0,KG,2020
84,15,1508,TERNAK UNGGAS,AYAM KAMPUNG,377806,KG,2020
85,15,1508,TERNAK UNGGAS,AYAM PETELUR,5739,KG,2020
86,15,1508,TERNAK UNGGAS,AYAM PEDAGING,2074604,KG,2020
87,15,1508,TERNAK UNGGAS,ITIK,50913,KG,2020
88,15,1508,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
89,15,1509,TERNAK BESAR,SAPI,899529,KG,2020
90,15,1509,TERNAK BESAR,KERBAU,379461,KG,2020
91,15,1509,TERNAK BESAR,KUDA,0,KG,2020
92,15,1509,TERNAK KECIL,KAMBING,83386,KG,2020
93,15,1509,TERNAK KECIL,DOMBA,27904,KG,2020
94,15,1509,TERNAK KECIL,BABI,7077,KG,2020
95,15,1509,TERNAK UNGGAS,AYAM KAMPUNG,476376,KG,2020
96,15,1509,TERNAK UNGGAS,AYAM PETELUR,13036,KG,2020
97,15,1509,TERNAK UNGGAS,AYAM PEDAGING,19246154,KG,2020
98,15,1509,TERNAK UNGGAS,ITIK,45550,KG,2020
99,15,1509,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
100,15,1571,TERNAK BESAR,SAPI,254387,KG,2020
101,15,1571,TERNAK BESAR,KERBAU,221914,KG,2020
102,15,1571,TERNAK BESAR,KUDA,0,KG,2020
103,15,1571,TERNAK KECIL,KAMBING,192486,KG,2020
104,15,1571,TERNAK KECIL,DOMBA,15422,KG,2020
105,15,1571,TERNAK KECIL,BABI,129480,KG,2020
106,15,1571,TERNAK UNGGAS,AYAM KAMPUNG,49731,KG,2020
107,15,1571,TERNAK UNGGAS,AYAM PETELUR,23394,KG,2020
108,15,1571,TERNAK UNGGAS,AYAM PEDAGING,2783960,KG,2020
109,15,1571,TERNAK UNGGAS,ITIK,4509,KG,2020
110,15,1571,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
111,15,1572,TERNAK BESAR,SAPI,292493,KG,2020
112,15,1572,TERNAK BESAR,KERBAU,19876,KG,2020
113,15,1572,TERNAK BESAR,KUDA,147,KG,2020
114,15,1572,TERNAK KECIL,KAMBING,45669,KG,2020
115,15,1572,TERNAK KECIL,DOMBA,4561,KG,2020
116,15,1572,TERNAK KECIL,BABI,0,KG,2020
117,15,1572,TERNAK UNGGAS,AYAM KAMPUNG,111965,KG,2020
118,15,1572,TERNAK UNGGAS,AYAM PETELUR,245168,KG,2020
119,15,1572,TERNAK UNGGAS,AYAM PEDAGING,837282,KG,2020
120,15,1572,TERNAK UNGGAS,ITIK,128196,KG,2020
121,15,1572,TERNAK UNGGAS,ITIK MANILA,0,KG,2020
122,15,1501,TERNAK BESAR,SAPI,309960,KG,2021
123,15,1501,TERNAK BESAR,KERBAU,109405,KG,2021
124,15,1501,TERNAK BESAR,KUDA,0,KG,2021
125,15,1501,TERNAK KECIL,KAMBING,23464,KG,2021
126,15,1501,TERNAK KECIL,DOMBA,1928,KG,2021
127,15,1501,TERNAK KECIL,BABI,0,KG,2021
128,15,1501,TERNAK UNGGAS,AYAM KAMPUNG,104617,KG,2021
129,15,1501,TERNAK UNGGAS,AYAM PETELUR,71617,KG,2021
130,15,1501,TERNAK UNGGAS,AYAM PEDAGING,1477640,KG,2021
131,15,1501,TERNAK UNGGAS,ITIK,0,KG,2021
132,15,1501,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
133,15,1502,TERNAK BESAR,SAPI,472085,KG,2021
134,15,1502,TERNAK BESAR,KERBAU,10393,KG,2021
135,15,1502,TERNAK BESAR,KUDA,0,KG,2021
136,15,1502,TERNAK KECIL,KAMBING,11147,KG,2021
137,15,1502,TERNAK KECIL,DOMBA,20247,KG,2021
138,15,1502,TERNAK KECIL,BABI,0,KG,2021
139,15,1502,TERNAK UNGGAS,AYAM KAMPUNG,433099,KG,2021
140,15,1502,TERNAK UNGGAS,AYAM PETELUR,102991,KG,2021
141,15,1502,TERNAK UNGGAS,AYAM PEDAGING,4660899,KG,2021
142,15,1502,TERNAK UNGGAS,ITIK,0,KG,2021
143,15,1502,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
144,15,1503,TERNAK BESAR,SAPI,329189,KG,2021
145,15,1503,TERNAK BESAR,KERBAU,272053,KG,2021
146,15,1503,TERNAK BESAR,KUDA,0,KG,2021
147,15,1503,TERNAK KECIL,KAMBING,41103,KG,2021
148,15,1503,TERNAK KECIL,DOMBA,15654,KG,2021
149,15,1503,TERNAK KECIL,BABI,0,KG,2021
150,15,1503,TERNAK UNGGAS,AYAM KAMPUNG,359043,KG,2021
151,15,1503,TERNAK UNGGAS,AYAM PETELUR,0,KG,2021
152,15,1503,TERNAK UNGGAS,AYAM PEDAGING,950206,KG,2021
153,15,1503,TERNAK UNGGAS,ITIK,0,KG,2021
154,15,1503,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
155,15,1504,TERNAK BESAR,SAPI,144131,KG,2021
156,15,1504,TERNAK BESAR,KERBAU,43397,KG,2021
157,15,1504,TERNAK BESAR,KUDA,0,KG,2021
158,15,1504,TERNAK KECIL,KAMBING,5067,KG,2021
159,15,1504,TERNAK KECIL,DOMBA,8471,KG,2021
160,15,1504,TERNAK KECIL,BABI,760,KG,2021
161,15,1504,TERNAK UNGGAS,AYAM KAMPUNG,4347546,KG,2021
162,15,1504,TERNAK UNGGAS,AYAM PETELUR,0,KG,2021
163,15,1504,TERNAK UNGGAS,AYAM PEDAGING,2374778,KG,2021
164,15,1504,TERNAK UNGGAS,ITIK,0,KG,2021
165,15,1504,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
166,15,1505,TERNAK BESAR,SAPI,638267,KG,2021
167,15,1505,TERNAK BESAR,KERBAU,171765,KG,2021
168,15,1505,TERNAK BESAR,KUDA,0,KG,2021
169,15,1505,TERNAK KECIL,KAMBING,351608,KG,2021
170,15,1505,TERNAK KECIL,DOMBA,6499,KG,2021
171,15,1505,TERNAK KECIL,BABI,18049,KG,2021
172,15,1505,TERNAK UNGGAS,AYAM KAMPUNG,2738388,KG,2021
173,15,1505,TERNAK UNGGAS,AYAM PETELUR,101764,KG,2021
174,15,1505,TERNAK UNGGAS,AYAM PEDAGING,19988822,KG,2021
175,15,1505,TERNAK UNGGAS,ITIK,0,KG,2021
176,15,1505,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
177,15,1506,TERNAK BESAR,SAPI,247509,KG,2021
178,15,1506,TERNAK BESAR,KERBAU,29904,KG,2021
179,15,1506,TERNAK BESAR,KUDA,0,KG,2021
180,15,1506,TERNAK KECIL,KAMBING,17194,KG,2021
181,15,1506,TERNAK KECIL,DOMBA,198,KG,2021
182,15,1506,TERNAK KECIL,BABI,0,KG,2021
183,15,1506,TERNAK UNGGAS,AYAM KAMPUNG,683533,KG,2021
184,15,1506,TERNAK UNGGAS,AYAM PETELUR,201876,KG,2021
185,15,1506,TERNAK UNGGAS,AYAM PEDAGING,1055795,KG,2021
186,15,1506,TERNAK UNGGAS,ITIK,0,KG,2021
187,15,1506,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
188,15,1507,TERNAK BESAR,SAPI,201994,KG,2021
189,15,1507,TERNAK BESAR,KERBAU,9664,KG,2021
190,15,1507,TERNAK BESAR,KUDA,0,KG,2021
191,15,1507,TERNAK KECIL,KAMBING,4065,KG,2021
192,15,1507,TERNAK KECIL,DOMBA,0,KG,2021
193,15,1507,TERNAK KECIL,BABI,0,KG,2021
194,15,1507,TERNAK UNGGAS,AYAM KAMPUNG,78327,KG,2021
195,15,1507,TERNAK UNGGAS,AYAM PETELUR,0,KG,2021
196,15,1507,TERNAK UNGGAS,AYAM PEDAGING,826247,KG,2021
197,15,1507,TERNAK UNGGAS,ITIK,0,KG,2021
198,15,1507,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
199,15,1508,TERNAK BESAR,SAPI,494842,KG,2021
200,15,1508,TERNAK BESAR,KERBAU,224279,KG,2021
201,15,1508,TERNAK BESAR,KUDA,0,KG,2021
202,15,1508,TERNAK KECIL,KAMBING,106093,KG,2021
203,15,1508,TERNAK KECIL,DOMBA,25810,KG,2021
204,15,1508,TERNAK KECIL,BABI,0,KG,2021
205,15,1508,TERNAK UNGGAS,AYAM KAMPUNG,217292,KG,2021
206,15,1508,TERNAK UNGGAS,AYAM PETELUR,0,KG,2021
207,15,1508,TERNAK UNGGAS,AYAM PEDAGING,2342376,KG,2021
208,15,1508,TERNAK UNGGAS,ITIK,0,KG,2021
209,15,1508,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
210,15,1509,TERNAK BESAR,SAPI,967456,KG,2021
211,15,1509,TERNAK BESAR,KERBAU,385833,KG,2021
212,15,1509,TERNAK BESAR,KUDA,0,KG,2021
213,15,1509,TERNAK KECIL,KAMBING,86627,KG,2021
214,15,1509,TERNAK KECIL,DOMBA,26163,KG,2021
215,15,1509,TERNAK KECIL,BABI,12729,KG,2021
216,15,1509,TERNAK UNGGAS,AYAM KAMPUNG,534502,KG,2021
217,15,1509,TERNAK UNGGAS,AYAM PETELUR,6658,KG,2021
218,15,1509,TERNAK UNGGAS,AYAM PEDAGING,11804090,KG,2021
219,15,1509,TERNAK UNGGAS,ITIK,0,KG,2021
220,15,1509,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
221,15,1571,TERNAK BESAR,SAPI,499605,KG,2021
222,15,1571,TERNAK BESAR,KERBAU,317091,KG,2021
223,15,1571,TERNAK BESAR,KUDA,0,KG,2021
224,15,1571,TERNAK KECIL,KAMBING,43107,KG,2021
225,15,1571,TERNAK KECIL,DOMBA,562,KG,2021
226,15,1571,TERNAK KECIL,BABI,126250,KG,2021
227,15,1571,TERNAK UNGGAS,AYAM KAMPUNG,10924,KG,2021
228,15,1571,TERNAK UNGGAS,AYAM PETELUR,19548,KG,2021
229,15,1571,TERNAK UNGGAS,AYAM PEDAGING,2712046,KG,2021
230,15,1571,TERNAK UNGGAS,ITIK,0,KG,2021
231,15,1571,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
232,15,1572,TERNAK BESAR,SAPI,333423,KG,2021
233,15,1572,TERNAK BESAR,KERBAU,32457,KG,2021
234,15,1572,TERNAK BESAR,KUDA,147,KG,2021
235,15,1572,TERNAK KECIL,KAMBING,13040,KG,2021
236,15,1572,TERNAK KECIL,DOMBA,6246,KG,2021
237,15,1572,TERNAK KECIL,BABI,0,KG,2021
238,15,1572,TERNAK UNGGAS,AYAM KAMPUNG,155001,KG,2021
239,15,1572,TERNAK UNGGAS,AYAM PETELUR,231649,KG,2021
240,15,1572,TERNAK UNGGAS,AYAM PEDAGING,353156,KG,2021
241,15,1572,TERNAK UNGGAS,ITIK,0,KG,2021
242,15,1572,TERNAK UNGGAS,ITIK MANILA,0,KG,2021
243,15,1501,TERNAK BESAR,SAPI POTONG,471202.73,KG,2022
244,15,1501,TERNAK BESAR,SAPI PERAH,0,KG,2022
245,15,1501,TERNAK BESAR,KERBAU,12216.84,KG,2022
246,15,1501,TERNAK BESAR,KUDA,3675,KG,2022
247,15,1501,TERNAK KECIL,KAMBING,26615.04,KG,2022
248,15,1501,TERNAK KECIL,DOMBA,2754,KG,2022
249,15,1501,TERNAK KECIL,BABI,0,KG,2022
250,15,1501,TERNAK UNGGAS,AYAM BURAS,99842.42,KG,2022
251,15,1501,TERNAK UNGGAS,AYAM RAS PETELUR,19697.26,KG,2022
252,15,1501,TERNAK UNGGAS,AYAM BROILER,1600767.99,KG,2022
253,15,1501,TERNAK UNGGAS,ITIK,10514.9,KG,2022
254,15,1501,TERNAK UNGGAS,ITIK MANILA,0,KG,2022
255,15,1502,TERNAK BESAR,SAPI POTONG,521833.65,KG,2022
256,15,1502,TERNAK BESAR,SAPI PERAH,0,KG,2022
257,15,1502,TERNAK BESAR,KERBAU,277705.1,KG,2022
258,15,1502,TERNAK BESAR,KUDA,0,KG,2022
259,15,1502,TERNAK KECIL,KAMBING,89388.67,KG,2022
260,15,1502,TERNAK KECIL,DOMBA,14089.46,KG,2022
261,15,1502,TERNAK KECIL,BABI,3847.34,KG,2022
262,15,1502,TERNAK UNGGAS,AYAM BURAS,705889.8,KG,2022
263,15,1502,TERNAK UNGGAS,AYAM RAS PETELUR,22295.46,KG,2022
264,15,1502,TERNAK UNGGAS,AYAM BROILER,5442609.85,KG,2022
265,15,1502,TERNAK UNGGAS,ITIK,5889.21,KG,2022
266,15,1502,TERNAK UNGGAS,ITIK MANILA,0,KG,2022
267,15,1503,TERNAK BESAR,SAPI POTONG,344007.98,KG,2022
268,15,1503,TERNAK BESAR,SAPI PERAH,0,KG,2022
269,15,1503,TERNAK BESAR,KERBAU,364681.68,KG,2022
270,15,1503,TERNAK BESAR,KUDA,0,KG,2022
271,15,1503,TERNAK KECIL,KAMBING,36459.26,KG,2022
272,15,1503,TERNAK KECIL,DOMBA,14089.46,KG,2022
273,15,1503,TERNAK KECIL,BABI,0,KG,2022
274,15,1503,TERNAK UNGGAS,AYAM BURAS,280900.29,KG,2022
275,15,1503,TERNAK UNGGAS,AYAM RAS PETELUR,41025.6,KG,2022
276,15,1503,TERNAK UNGGAS,AYAM BROILER,1067178.66,KG,2022
277,15,1503,TERNAK UNGGAS,ITIK,130611.57,KG,2022
278,15,1503,TERNAK UNGGAS,ITIK MANILA,0,KG,2022
279,15,1504,TERNAK BESAR,SAPI POTONG,186293.55,KG,2022
280,15,1504,TERNAK BESAR,SAPI PERAH,0,KG,2022
281,15,1504,TERNAK BESAR,KERBAU,57802.05,KG,2022
282,15,1504,TERNAK BESAR,KUDA,0,KG,2022
283,15,1504,TERNAK KECIL,KAMBING,7071.36,KG,2022
284,15,1504,TERNAK KECIL,DOMBA,9914.4,KG,2022
285,15,1504,TERNAK KECIL,BABI,0,KG,2022
286,15,1504,TERNAK UNGGAS,AYAM BURAS,583740.3,KG,2022
287,15,1504,TERNAK UNGGAS,AYAM RAS PETELUR,5006.1,KG,2022
288,15,1504,TERNAK UNGGAS,AYAM BROILER,2667945.56,KG,2022
289,15,1504,TERNAK UNGGAS,ITIK,10233.34,KG,2022
290,15,1504,TERNAK UNGGAS,ITIK MANILA,0,KG,2022
291,15,1505,TERNAK BESAR,SAPI POTONG,395520.97,KG,2022
292,15,1505,TERNAK BESAR,SAPI PERAH,0,KG,2022
293,15,1505,TERNAK BESAR,KERBAU,80047.63,KG,2022
294,15,1505,TERNAK BESAR,KUDA,0,KG,2022
295,15,1505,TERNAK KECIL,KAMBING,119344.51,KG,2022
296,15,1505,TERNAK KECIL,DOMBA,6268.1,KG,2022
297,15,1505,TERNAK KECIL,BABI,42748.2,KG,2022
298,15,1505,TERNAK UNGGAS,AYAM BURAS,777060.31,KG,2022
299,15,1505,TERNAK UNGGAS,AYAM RAS PETELUR,602508.87,KG,2022
300,15,1505,TERNAK UNGGAS,AYAM BROILER,25644296.24,KG,2022
301,15,1505,TERNAK UNGGAS,ITIK,5587.67,KG,2022
302,15,1505,TERNAK UNGGAS,ITIK MANILA,0,KG,2022
303,15,1506,TERNAK BESAR,SAPI POTONG,264268.7,KG,2022
304,15,1506,TERNAK BESAR,SAPI PERAH,0,KG,2022
305,15,1506,TERNAK BESAR,KERBAU,31362.62,KG,2022
306,15,1506,TERNAK BESAR,KUDA,0,KG,2022
307,15,1506,TERNAK KECIL,KAMBING,14732.93,KG,2022
308,15,1506,TERNAK KECIL,DOMBA,88.13,KG,2022
309,15,1506,TERNAK KECIL,BABI,0,KG,2022
310,15,1506,TERNAK UNGGAS,AYAM BURAS,685068.12,KG,2022
311,15,1506,TERNAK UNGGAS,AYAM RAS PETELUR,21536.58,KG,2022
312,15,1506,TERNAK UNGGAS,AYAM BROILER,1200574.9,KG,2022
313,15,1506,TERNAK UNGGAS,ITIK,7805.36,KG,2022
314,15,1506,TERNAK UNGGAS,ITIK MANILA,0,KG,2022
315,15,1507,TERNAK BESAR,SAPI POTONG,251037.62,KG,2022
316,15,1507,TERNAK BESAR,SAPI PERAH,0,KG,2022
317,15,1507,TERNAK BESAR,KERBAU,6746.61,KG,2022
318,15,1507,TERNAK BESAR,KUDA,0,KG,2022
319,15,1507,TERNAK KECIL,KAMBING,11781.89,KG,2022
320,15,1507,TERNAK KECIL,DOMBA,55.08,KG,2022
321,15,1507,TERNAK KECIL,BABI,3039.87,KG,2022
322,15,1507,TERNAK UNGGAS,AYAM BURAS,15540.03,KG,2022
323,15,1507,TERNAK UNGGAS,AYAM RAS PETELUR,1030.4,KG,2022
324,15,1507,TERNAK UNGGAS,AYAM BROILER,933781.33,KG,2022
