no;kode_provinsi;kode_kabupaten_kota;kode_kecamatan;ekraf;usaha;jenis_usaha
1;15;1504;150117;FILM ANIMASI VIDEO;DAY VIDIOGRAPHY;Film, Videografer
2;15;1501;150121;FILM ANIMASI VIDEO;LC PRO VIDEOGRAFHER;Film, Videografer
3;15;1571;157102;FILM ANIMASI VIDEO;Wedding Video;Film, Videografer
4;15;1571;157108;FILM ANIMASI VIDEO;Wedding Video;Film, Videografer
5;15;1571;157106;FILM ANIMASI VIDEO;Wedding Video;Film, Videografer
6;15;1571;157101;FILM ANIMASI VIDEO;Kelas Acting Dan Pembuatan Vidio;Film, Videografer
7;15;1505;150511;FILM ANIMASI VIDEO;Jasa Video;Film, Videografer
8;15;1572;157206;FILM ANIMASI VIDEO;Videografi Anoq Kincai;Film, Videografer
9;15;1506;150602;FILM ANIMASI VIDEO;Emc Project;Film, Videografer
10;15;1504;150403;FOTOGRAFI PERIKLANAN;Kamaru Pro;-
11;15;1504;150403;FOTOGRAFI PERIKLANAN;Monores;-
12;15;1504;150403;FOTOGRAFI PERIKLANAN;Abadi Foto;-
13;15;1504;150403;FOTOGRAFI PERIKLANAN;Yora Ade Putra;-
14;15;1501;150115;FOTOGRAFI PERIKLANAN;HARIANTONI;-
15;15;1501;150109;FOTOGRAFI PERIKLANAN;IJONKZ CHE STUDIO;-
16;15;1501;150121;FOTOGRAFI PERIKLANAN;CAN STUDIO;-
17;15;1501;150105;FOTOGRAFI PERIKLANAN;FOKUS FHOTOGRAFHY;-
18;15;1501;-;FOTOGRAFI PERIKLANAN;BINTANG STUDIO;-
19;15;1501;-;FOTOGRAFI PERIKLANAN;NAILA STUDIO;-
20;15;1501;150105;FOTOGRAFI PERIKLANAN;YOGEM PHOTOGRAPHY;-
21;15;1501;-;FOTOGRAFI PERIKLANAN;LC. STUDIO;-
22;15;1501;150105;FOTOGRAFI PERIKLANAN;SIKUMBANG STUDIO;-
23;15;1501;150117;FOTOGRAFI PERIKLANAN;ZERO PHOTOGRAFHY;-
24;15;1501;-;FOTOGRAFI PERIKLANAN;NANDAR STODIO;-
25;15;1571;157101;FOTOGRAFI PERIKLANAN;Desain Dan Fotografi;Fotografi
26;15;1571;157101;FOTOGRAFI PERIKLANAN;Fotografi, Video Production;Fotografi
27;15;1571;157110;FOTOGRAFI PERIKLANAN;Praktisi Fotografi;Fotografi
28;15;1571;157110;FOTOGRAFI PERIKLANAN;Praktisi Fotografi;Fotografi
29;15;1571;157108;FOTOGRAFI PERIKLANAN;Studio Foto;Fotografi
