NO,kode_provinsi,kode_kabupaten_kota,kategori,jumlah,satuan,tahun
1,15,1501,AYAM KAMPUNG,240372,KG,2020
2,15,1501,AYAM PETELUR,2372934,KG,2020
3,15,1501,ITIK,669700,KG,2020
4,15,1502,AYAM KAMPUNG,1481338,KG,2020
5,15,1502,AYAM PETELUR,639112,KG,2020
6,15,1502,ITIK,160821,KG,2020
7,15,1503,AYAM KAMPUNG,330095,KG,2020
8,15,1503,AYAM PETELUR,310439,KG,2020
9,15,1503,ITIK,217034,KG,2020
10,15,1504,AYAM KAMPUNG,4666914,KG,2020
11,15,1504,AYAM PETELUR,0,KG,2020
12,15,1504,ITIK,424848,KG,2020
13,15,1505,AYAM KAMPUNG,2008002,KG,2020
14,15,1505,AYAM PETELUR,9016617,KG,2020
15,15,1505,ITIK,182656,KG,2020
16,15,1506,AYAM KAMPUNG,4388243,KG,2020
17,15,1506,AYAM PETELUR,7041766,KG,2020
18,15,1506,ITIK,296812,KG,2020
19,15,1507,AYAM KAMPUNG,1312418,KG,2020
20,15,1507,AYAM PETELUR,0,KG,2020
21,15,1507,ITIK,580703,KG,2020
22,15,1508,AYAM KAMPUNG,560926,KG,2020
23,15,1508,AYAM PETELUR,102233,KG,2020
24,15,1508,ITIK,453317,KG,2020
25,15,1509,AYAM KAMPUNG,402379,KG,2020
26,15,1509,AYAM PETELUR,232249,KG,2020
27,15,1509,ITIK,405563,KG,2020
28,15,1571,AYAM KAMPUNG,79386,KG,2020
29,15,1571,AYAM PETELUR,416785,KG,2020
30,15,1571,ITIK,40147,KG,2020
31,15,1572,AYAM KAMPUNG,470315,KG,2020
32,15,1572,AYAM PETELUR,4367750,KG,2020
33,15,1572,ITIK,1141427,KG,2020
34,15,1501,AYAM KAMPUNG,245181,KG,2021
35,15,1501,AYAM PETELUR,928099,KG,2021
36,15,1501,ITIK,685973,KG,2021
37,15,1502,AYAM KAMPUNG,2090337,KG,2021
38,15,1502,AYAM PETELUR,257914,KG,2021
39,15,1502,ITIK,183283,KG,2021
40,15,1503,AYAM KAMPUNG,307803,KG,2021
41,15,1503,AYAM PETELUR,248210,KG,2021
42,15,1503,ITIK,203999,KG,2021
43,15,1504,AYAM KAMPUNG,1833631,KG,2021
44,15,1504,AYAM PETELUR,242891,KG,2021
45,15,1504,ITIK,425664,KG,2021
46,15,1505,AYAM KAMPUNG,1425756,KG,2021
47,15,1505,AYAM PETELUR,30724558,KG,2021
48,15,1505,ITIK,198248,KG,2021
49,15,1506,AYAM KAMPUNG,4349519,KG,2021
50,15,1506,AYAM PETELUR,3370878,KG,2021
51,15,1506,ITIK,333837,KG,2021
52,15,1507,AYAM KAMPUNG,1318110,KG,2021
53,15,1507,AYAM PETELUR,48578.2,KG,2021
54,15,1507,ITIK,552685,KG,2021
55,15,1508,AYAM KAMPUNG,714803,KG,2021
56,15,1508,AYAM PETELUR,170048,KG,2021
57,15,1508,ITIK,409847,KG,2021
58,15,1509,AYAM KAMPUNG,445233,KG,2021
59,15,1509,AYAM PETELUR,180832,KG,2021
60,15,1509,ITIK,437434,KG,2021
61,15,1571,AYAM KAMPUNG,90547,KG,2021
62,15,1571,AYAM PETELUR,136529,KG,2021
63,15,1571,ITIK,45551,KG,2021
64,15,1572,AYAM KAMPUNG,424842,KG,2021
65,15,1572,AYAM PETELUR,2246815,KG,2021
66,15,1572,ITIK,462336,KG,2021
67,15,1501,AYAM KAMPUNG,321577.84,KG,2022
68,15,1501,AYAM RAS PETELUR,894516.46,KG,2022
69,15,1501,ITIK,617146.02,KG,2022
70,15,1502,AYAM KAMPUNG,2814032.72,KG,2022
71,15,1502,AYAM RAS PETELUR,317911.59,KG,2022
72,15,1502,ITIK,174271.1,KG,2022
73,15,1503,AYAM KAMPUNG,153168.95,KG,2022
74,15,1503,AYAM RAS PETELUR,49446.01,KG,2022
75,15,1503,ITIK,62381.2,KG,2022
76,15,1504,AYAM KAMPUNG,2343346.9,KG,2022
77,15,1504,AYAM RAS PETELUR,227432.9,KG,2022
78,15,1504,ITIK,417438.88,KG,2022
79,15,1505,AYAM KAMPUNG,1482886.32,KG,2022
80,15,1505,AYAM RAS PETELUR,33540561.54,KG,2022
81,15,1505,ITIK,218063.77,KG,2022
82,15,1506,AYAM KAMPUNG,4345316.49,KG,2022
83,15,1506,AYAM RAS PETELUR,3112718.55,KG,2022
84,15,1506,ITIK,353541,KG,2022
85,15,1507,AYAM KAMPUNG,1326252.59,KG,2022
86,15,1507,AYAM RAS PETELUR,45132.07,KG,2022
87,15,1507,ITIK,515022.81,KG,2022
88,15,1508,AYAM KAMPUNG,875614.86,KG,2022
89,15,1508,AYAM RAS PETELUR,214708.01,KG,2022
90,15,1508,ITIK,392349.36,KG,2022
91,15,1509,AYAM KAMPUNG,525254.57,KG,2022
92,15,1509,AYAM RAS PETELUR,487881.44,KG,2022
93,15,1509,ITIK,427317.01,KG,2022
94,15,1571,AYAM KAMPUNG,105291.15,KG,2022
95,15,1571,AYAM RAS PETELUR,178252.26,KG,2022
96,15,1571,ITIK,50637.39,KG,2022
97,15,1572,AYAM KAMPUNG,437861.91,KG,2022
98,15,1572,AYAM RAS PETELUR,2087167.02,KG,2022
99,15,1572,ITIK,403475.69,KG,2022
