NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_desa;nilai_idm;status_idm
1;15;JAMBI;1572;157208;1572082002;0,9848;MANDIRI
2;15;JAMBI;1572;157201;1572012014;0,9719;MANDIRI
3;15;JAMBI;1572;157202;1572022002;0,9679;MANDIRI
4;15;JAMBI;1572;157201;1572012006;0,9665;MANDIRI
5;15;JAMBI;1508;150809;1508092016;0,9663;MANDIRI
6;15;JAMBI;1572;157208;1572082004;0,9571;MANDIRI
7;15;JAMBI;1505;150501;1505012021;0,9498;MANDIRI
8;15;JAMBI;1572;157206;1572062005;0,9494;MANDIRI
9;15;JAMBI;1508;150809;1508092005;0,9494;MANDIRI
10;15;JAMBI;1502;150220;1502202001;0,9479;MANDIRI
11;15;JAMBI;1572;157206;1572062002;0,9478;MANDIRI
12;15;JAMBI;1501;150109;1501092025;0,9476;MANDIRI
13;15;JAMBI;1572;157201;1572012004;0,9459;MANDIRI
14;15;JAMBI;1505;150508;1505082007;0,9329;MANDIRI
15;15;JAMBI;1572;157206;1572062006;0,9292;MANDIRI
16;15;JAMBI;1504;150407;1504072003;0,9286;MANDIRI
17;15;JAMBI;1504;150407;1504072005;0,9271;MANDIRI
18;15;JAMBI;1572;157206;1572062004;0,9233;MANDIRI
19;15;JAMBI;1502;150210;1502102005;0,9211;MANDIRI
20;15;JAMBI;1502;150211;1502112001;0,9183;MANDIRI
