id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;ruas_jalan;panjang _sk_gubernur;baik;sedang;rusak_ringan;rusak_berat
1;15;JAMBI;1506;SEI. SAREN - TELUK NILAU - PARIT 10/ SENYERANG;32,5;30,16;1,04;1,04;0,26
2;15;JAMBI;1506;PARIT 10 / SENYERANG - MEKAR JATI - BTS. RIAU;6,083;0;4,403;1,28;0,4
3;15;JAMBI;1507;SUAK KANDIS - DESA SIMPANG/BERBAK;21,066;2;10,066;5,6;3,4
4;15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;46,97;15,4;14,369;11,201;6
5;15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;33,4;18,4;10,2;4,4;0,4
6;15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;67,5;18,4;15,68;24,2;9,22
7;15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;31,65;17;13,25;1,2;0,2
8;15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;12,874;6,6;3;2,874;0,4
9;15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;17,858;8,6;3,658;3,8;1,8
10;15;JAMBI;1505;SIMP. SUKA MAKMUR/SUNGAI BAHAR - DESA NYOGAN - SIMP. SUKA DAMAI ;30,09;7,13;5,85;8,6;8,51
11;15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;59,46;36,51;5,75;11,2;6
12;15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;51,1;31,8;12,1;5,8;1,4
13;15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;28,876;20,08;7,796;1;0
14;15;JAMBI;1509;SIMP. SUKA MAKMUR/SUNGAI BAHAR - DESA NYOGAN - SIMP. SUKA DAMAI ;30,09;7,13;5,85;8,6;8,51
15;15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;44,36;17,73;20,43;5,8;6
16;15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );25,35;11,16;10,15;3,64;1,4
17;15;JAMBI;1508; JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);21,55;8,2;11,95;1;0
18;15;JAMBI;1508;BTS. KAB. TEBO/BTS. KAB. BUNGO - KUAMANG KUNING - SIMP. KUAMANG (MERANGIN);47,57;8,5;11,4;16,67;15,8
19;15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;19,322;16,92;0,8;1,602;0
20;15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);7,434;5,4;0,4;1,434;0,2
21;15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;28,1;19,8;3,6;3,9;0,8
22;15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;8,755;5,595;2,6;0,16;0,4
23;15;JAMBI;1501;JUJUN - LEMPUR;13,822;13,22;0,4;0,202;0
24;15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;14,745;13,945;0,6;0,2;0
25;15;JAMBI;1501;KELOK SAGO - SANGGARAN AGUNG;19,978;3,5;0;16,478;0
26;15;JAMBI;1501;JALAN SEKUNGKUNG - BTS. KAB. KERINCI/ BTS. SUNGAI PENUH  BATU KURIK;7,364;6;1,364;0;0
27;15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);4,85;4,85;0;0;0
28;15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;4,3;4,1;0;0,2;0
29;15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;52,1;13,406;16,894;15;6,8
30;15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;35,593;22,79;8,6;3,403;0,8
31;15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;34,382;16,2;10,18;5,802;2,2
32;15;JAMBI;1502;DUSUN TUO - JANGKAT ;74,85;49,8;22,848;2;0,202
33;15;JAMBI;1502;SIMPANG MASURAI - KOTO TAPUS;23,2;5,025;6;10,825;1,35
34;15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;59,5;15,4;15,6;14,8;13,7
35;15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;31,6;7,2;13,4;7,8;3,2
36;15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;45,9;3,8;26,7;7,6;7,8
37;15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;37,48;6,65;15,23;13,4;2,2
38;15;JAMBI;1571;JLN. RADEN MATTAHER;1,038;0;1,038;0;0
39;15;JAMBI;1571;JLN. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;4,142;0,942;2,4;0,8;0
40;15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;2,516;0,516;1,8;0,2;0
41;15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;3,123;1;2,123;0;0
42;15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;4,069;0,8;3;0,2;0,069
43;15;JAMBI;1571;JLN. HOS COKRO AMINOTO;1,648;1,4;0,248;0;0
44;15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;3,217;3,017;0,2;0;0
45;15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;3,65;1,6;1,85;0,2;0
46;15;JAMBI;1571;JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO - JLN. MAYJEND SUTOYO;1,58;1;0,58;0;0
47;15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;4,821;1,2;2,221;1,2;0,2
48;15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;3,806;3,806;0;0;0
49;15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;2,101;2,101;0;0;0
50;15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;5,1;3,9;1,2;0;0
51;15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;2,5;0;2,5;0;0
52;15;JAMBI;1571;JLN. SUKARNO HATTA;1,932;1,932;0;0;0
53;15;JAMBI;1571;JLN. BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;1,4;1,4;0;0;0
54;15;JAMBI;1571;JLN.HJ. NURIJAH/JALAN JEPANG - JALAN LINGKAR UTARA KOTA JAMBI;8,112;3,7;0;0;4,412
