no;kode_provinsi;kode_kabupaten_kota;nama_spa;fasilitas
1;15;1572;Dr. Winda;1,3,4,5
2;15;1572;Grandnata;1,3,4,5
1;15;1503;Orange's Beauty Clinic Hair and Spa;1,3,4,5
2;15;1503;Pijat Refleksi Kakimbo;1,3,4,5
1;15;1505;Skin, Hair & Spa Clinic Center;1,3,4,5
2;15;1505;Martha Salon N' Spa;1,3,4,5
1;15;1508;Fla Salon;1,3,4,5
2;15;1508;Gliya Sukses Batrisyia Herbal;1,3,5
3;15;1508;D'Beauty Salon;1,3,5
4;15;1508;Sahabat Tegar;1,3,5
5;15;1508;Djantand;1,3,5
1;15;1571;Pesona Refleksi;1,3,4,5
2;15;1571;Refleksi Nanoku;1,3,4,5
3;15;1571;"Refleksi ""Alloy Susanto""";1,3,4,5
4;15;1571;Refleksi Golden Hand;1,3,4,5
5;15;1571;Refleksi Ken Hermawan;1,3,4,5
6;15;1571;Pijat Yesaya Refleksologi;1,3,4,5
7;15;1571;Refleksi Gemini;1,3,4,5
8;15;1571;Pijat Tradisional Ela;1,3,4,5
9;15;1571;Queen's Refleksi;1,3,4,5
10;15;1571;"Pijat Refleksi ""Mitra""";1,3,4,5
11;15;1571;"Panti Pijat ""Primadona""";1,3,4,5
12;15;1571;"Pijat Refleksi ""Ceria""";1,3,4,5
13;15;1571;Indo Sehat Refleksi;1,3,4,5
14;15;1571;Refleksi Segar Sehat;1,3,4,5
15;15;1571;Star Refleksi Keluarga;1,3,4,5
16;15;1571;"Refleksi ""Zen Health Dan Wilness""";1,3,4,5
17;15;1571;"Pijat Tradisional ""Kakiku""";1,3,4,5
18;15;1571;Yesaya Reflexiologi;1,3,4,5
19;15;1571;"Panti Pijat ""Kakiku 2""";1,3,4,5
20;15;1571;Panti Pijat Tradisional Lestari;1,3,4,5
21;15;1571;Ibu Guru;1,3,4,5
22;15;1571;Panti Pijat Cempaka;1,3,4,5
23;15;1571;Panti Pijat Melati Ukup 2;1,3,4,5
24;15;1571;Panti Pijat Idola Massage;1,3,4,5
25;15;1571;Panti Pijat/Shin She Sumarto;1,3,4,5
26;15;1571;"Pijat ""Shinse Sehat""";1,3,4,5
27;15;1571;Panti Pijat/Shin She Kuslim;1,3,4,5
28;15;1571;Panti Pijat Cahaya Star;1,3,4,5
29;15;1571;Jarimas Massage;1,3,4,5
30;15;1571;Panti Pijat Sri Rezeki;1,3,4,5
31;15;1571;Urut Tradisional Yy;1,3,4,5
32;15;1571;Pijat Refleksi Dan Urut Tradisional Bulan Jingga.;1,3,4,5
33;15;1571;Elite Refleksi (Swiss-Bel Hotel);1,3,4,5
34;15;1571;Happy Family Refleksi Dan Shiatsu.;1,3,4,5
35;15;1571;Ken Hermawan Reflexology;1,3,4,5
36;15;1571;Refleksi Aleya (Hotel Odua Weston).;1,3,4,5
37;15;1571;Casia Health Care (Bw Luxury Jambi/PT.Jambi Permai Abadi).;1,3,4,5
38;15;1571;Spa Octopus Grand;1,3,4,5
39;15;1571;Martha Tilaar Salon Day Spa;1,3,4,5
40;15;1571;Pijat Dan Mandi Spa Formosa;1,3,4,5
41;15;1571;Pijat Massage Dan Mandi Spa Emporium.;1,3,4,5
42;15;1571;Spa Abadi Suite Tower;1,3,4,5
43;15;1571;Spa Octopuss Wellness;1,3,4,5
44;15;1571;Elite Spa Dan Sauna (Swiss-Bel Hotel);1,3,4,5
45;15;1571;Spa Aleya (Hotel Odua Weston);1,3,4,5
46;15;1571;Diva Clinic Skin & Spa Body Care;1,3,4,5
47;15;1571;Massage Kesehatan & Kebugaran (Hotel Grand Malioboro);1,3,4,5
48;15;1571;Cassia Spa And Massages;1,3,4,5
1;15;1502;Sta Repleksi;1,3,4,5
2;15;1502;Trisala Hair & Spa;1,3,4,5
3;15;1502;Orange Beauty Klinik Hair And Spa;1,3,4,5
4;15;1502;Pijat Repleksi Bintang Jaya;1,3,4,5
5;15;1502;Repleksi Lestari Jaya Indah;1,3,4,5
6;15;1502;Pijat Repleksi Tradisional Js Mandiri Jaya;1,3,4,5
