no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;alamat;nama_spa;fasilitas
1;15;JAMBI;1572;Jl. M. H. Thamrin Sumur Anyir Kota Sungai Penuh;Dr. Winda;1,3,4,5
2;15;JAMBI;1572;Jl. Yos Sudarso Desa Gedang Kota Sungai Penuh;Grandnata;1,3,4,5
1;15;JAMBI;1503;Jl. Lintas Sumatera KM. 1  Sri Pelayang;Orange's Beauty Clinic Hair and Spa;1,3,4,5
2;15;JAMBI;1503;Jl. Lintas Sumatera KM. 1  Tanjung Rambai;Pijat Refleksi Kakimbo;1,3,4,5
1;15;JAMBI;1505;Jl. Jambi Muara Bulian-Muaro Jambi;Skin, Hair & Spa Clinic Center;1,3,4,5
2;15;JAMBI;1505;Jl.Lintas Timur Merlung;Martha Salon N' Spa;1,3,4,5
1;15;JAMBI;1508;Jl. Prof . M, Yamin No.50 Pasar Bawah Muaro Bungo;Fla Salon;1,3,4,5
2;15;JAMBI;1508;Jl. Prof . M, Yamin No.50 Pasar Bawah Muaro Bungo;Gliya Sukses Batrisyia Herbal;1,3,5
3;15;JAMBI;1508;Jl. Prof . M, Yamin;D'Beauty Salon;1,3,5
4;15;JAMBI;1508;Jl. Lebay Hasan Sungai Pinang;Sahabat Tegar;1,3,5
5;15;JAMBI;1508;Jl. Lebay Hasan, Sei. Pinang Muaro Bungo;Djantand;1,3,5
1;15;JAMBI;1571;Jl. Okp Kel. Talang Banjar Kec. Jambi Timur;Pesona Refleksi;1,3,4,5
2;15;JAMBI;1571;Jl. Yunus Sanis Kel. Kebun Handil Kec. Jelutung;Refleksi Nanoku;1,3,4,5
3;15;JAMBI;1571;Jl. Sumatera No.16 Kel. Kebun Handil Kec. Jelutung;"Refleksi ""Alloy Susanto""";1,3,4,5
4;15;JAMBI;1571;Jl. Sultan Thaha (Komp. Wtc) Kel. Pasar Jambi Kec. Pasar Jambi;Refleksi Golden Hand;1,3,4,5
5;15;JAMBI;1571;Jl. Ir. H. Juanda No.28 Kel. Simp. Iii Sipin Kec. Kota Baru;Refleksi Ken Hermawan;1,3,4,5
6;15;JAMBI;1571;Jl. Kol. Abunjani Kel. Selamat Kec. Danau Sipin.;Pijat Yesaya Refleksologi;1,3,4,5
7;15;JAMBI;1571;Jl. Di. Panjaitan No.5 Kel. Kebun Handil Kec. Jelutung.;Refleksi Gemini;1,3,4,5
8;15;JAMBI;1571;Jl. Setia Budi Kel. Rajawali Kec. Jambi Timur;Pijat Tradisional Ela;1,3,4,5
9;15;JAMBI;1571;Jl. Di. Panjaitan Kel. Kebun Handil Kec. Jelutung..;Queen's Refleksi;1,3,4,5
10;15;JAMBI;1571;Jl. Di. Panjaitan Kel. Kebun Handil Kec. Jelutung.;"Pijat Refleksi ""Mitra""";1,3,4,5
11;15;JAMBI;1571;Jl. Yunus Sanis Kel. Kebun Handil Kec. Jelutung.;"Panti Pijat ""Primadona""";1,3,4,5
12;15;JAMBI;1571;Jl. Di. Panjaitan Kel. Kebun Handil Kec. Jelutung;"Pijat Refleksi ""Ceria""";1,3,4,5
13;15;JAMBI;1571;Jl. Kol. Pol. M. Thaher Kel. Wijaya Pura Kec. Jambi Selatan;Indo Sehat Refleksi;1,3,4,5
14;15;JAMBI;1571;Jl. Panglima Polim Kel. Rajawali Kec. Jambi Timur.;Refleksi Segar Sehat;1,3,4,5
15;15;JAMBI;1571;Jl. Prof. Dr. M. Yamin Kel. Payo Lebar Kec. Jelutung.;Star Refleksi Keluarga;1,3,4,5
16;15;JAMBI;1571;Jl. Soekarno Hatta No.22 Kel. Pasir Putih Kec. Jambi Selatan.;"Refleksi ""Zen Health Dan Wilness""";1,3,4,5
17;15;JAMBI;1571;Jl. Raden Mattaher No.15 Kel. Orang Kayo Hitam Kec. Pasar Jambi;"Pijat Tradisional ""Kakiku""";1,3,4,5
18;15;JAMBI;1571;Jl. Kol. Abunjani Kel. Selamat Kec. Danau Sipin;Yesaya Reflexiologi;1,3,4,5
19;15;JAMBI;1571;Jl. Kol. Abunjani Kel. Selamat Kec. Danau Sipin;"Panti Pijat ""Kakiku 2""";1,3,4,5
20;15;JAMBI;1571;Jl. Yoenoes Sanis Kel. Kebun Handil Kec. Jelutung.;Panti Pijat Tradisional Lestari;1,3,4,5
21;15;JAMBI;1571;Jl. Teuku Sulaiman No.33 Kel. Pakuan Baru Kec. Jambi Selatan;Ibu Guru;1,3,4,5
22;15;JAMBI;1571;Jl. Kol. Pol. Zainal Abidin Kel. Budiman Kec. Jambi Timur.;Panti Pijat Cempaka;1,3,4,5
23;15;JAMBI;1571;Jl. Rb.Siagian Kel. Wijaya Pura Kec. Jambi Selatan;Panti Pijat Melati Ukup 2;1,3,4,5
24;15;JAMBI;1571;Jl. Kol. Pol. Zainal Abidin Kel. Budiman Kec. Jambi Timur.;Panti Pijat Idola Massage;1,3,4,5
25;15;JAMBI;1571;Jl. B. Katamso Kel. Tanjung Pinang Kec. Jambi Timur.;Panti Pijat/Shin She Sumarto;1,3,4,5
26;15;JAMBI;1571;Jl. Okh Kel. Budiman Kec. Jambi Timur.;"Pijat ""Shinse Sehat""";1,3,4,5
27;15;JAMBI;1571;Jl. B. Katamso Kel. Tanjung Pinang Kec. Jambi Timur.;Panti Pijat/Shin She Kuslim;1,3,4,5
28;15;JAMBI;1571;Jl. Lingkar Timur No.34 Kel. Talang Bakung Kec. Paal Merah.;Panti Pijat Cahaya Star;1,3,4,5
29;15;JAMBI;1571;Jl. Hp. Kusuma No.114 Kel. Sungai Asam Kec. Pasar Jambi.;Jarimas Massage;1,3,4,5
30;15;JAMBI;1571;Jl. Orang Kayo Hitam No.12 Kel. Sulanjana Kec. Jambi Timur.;Panti Pijat Sri Rezeki;1,3,4,5
31;15;JAMBI;1571;Jl. Setia Budi No.77 Kel. Kasang Kec. Jambi Timur.;Urut Tradisional Yy;1,3,4,5
32;15;JAMBI;1571;Jl. Di. Panjaitan Kel. Kebun Handil Kec. Jelutung.;Pijat Refleksi Dan Urut Tradisional Bulan Jingga.;1,3,4,5
33;15;JAMBI;1571;Jl. Prof. Dr. Soemantri Brodjonegoro Kel. Solok Sipin Kec. Danau Sipin.;Elite Refleksi (Swiss-Bel Hotel);1,3,4,5
34;15;JAMBI;1571;Jl. Kol. Pol. M. Thaher Kel. Pakuan Baru Kec. Jambi Selatan.;Happy Family Refleksi Dan Shiatsu.;1,3,4,5
35;15;JAMBI;1571;Jl. Empu Gandring Kel. Solok Sipin Kec. Danau Sipin.;Ken Hermawan Reflexology;1,3,4,5
36;15;JAMBI;1571;Jl. Jend. Gatot Subroto Kel. Sungai Asam Kec. Pasar Jambi.;Refleksi Aleya (Hotel Odua Weston).;1,3,4,5
37;15;JAMBI;1571;Jl. Soekarno-Hatta No.40 Kel. Pasir Putih Kec. Jambi Selatan;Casia Health Care (Bw Luxury Jambi/PT.Jambi Permai Abadi).;1,3,4,5
38;15;JAMBI;1571;Jl. KaPT. Pattimura Kel. Simp. Iii Sipin Kec. Kota Baru;Spa Octopus Grand;1,3,4,5
