no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_perusahaan;alamat;jenis;fasilitas
1;15;JAMBI;1572;Selatour;Jl. Sriwijaya Kota Sungai Penuh;Tour & Travel;1,3,4,5
2;15;JAMBI;1572;CV. PO. Duta Kerinci;Jl. Angkasa Pura - Hiang Kerinci Kec. Sitinjau Laut;Usaha Transportasi;1,3,5
3;15;JAMBI;1572;CV. PO. Surya Kerinci;Jl. Pancasila Kec. Tanah Kampung;Usaha Transportasi;1,3,5
4;15;JAMBI;1572;CV. Bungo Kincai;Jl. Pancasila Kec. Tanah Kampung;Usaha Transportasi;1,3,5
5;15;JAMBI;1572;CV. PO. Penawar Rindu;Jl. Pancasila Komplek Arafah Centre;Usaha Transportasi;1,3,5
6;15;JAMBI;1572;Aqobah;Jl. Sriwijaya No. 86 Kota Sungai Penuh;Tour & Travel;1,3,4,5
7;15;JAMBI;1572;CV. PO. Sinar Gunung;Jl. Sriwijaya Kota Sungai Penuh;Usaha Transportasi;1,3,5
8;15;JAMBI;1572;PT. Arifa Travelindo Utama;Jl. Yos Sudarso Kota Sungai Penuh;Tour & Travel;1,3,4,5
9;15;JAMBI;1572;CV. PO. Delta Kerinci Indah;Jl. Depati Parbo RT. 6 No. 1;Usaha Transportasi;1,3,5
10;15;JAMBI;1572;CV. PO. Gunung Kerinci;Jl. Muradi No. 12 Kota Sungai Penuh;Usaha Transportasi;1,3,5
11;15;JAMBI;1572;CV. PO. Punai Indah;Jl. Muradi No. 31 Kota Sungai Penuh;Usaha Transportasi;1,3,5
12;15;JAMBI;1572;CV. PO. Sahabat Kerinci Wisata;Jl. Komarudin No. 1 RT. 2 Koto Tinggi Sungai Penuh;Usaha Transportasi;1,3,5
13;15;JAMBI;1572;CV. PO. Rinai Transport;Jl. Komarudin RT. 2 Koto Tinggi Sungai Penuh;Usaha Transportasi;1,3,5
14;15;JAMBI;1572;CV. PO. OKI;Jl. Pancasila No. 07 Kota Sungai Penuh;Usaha Transportasi;1,3,5
15;15;JAMBI;1572;Malika Tour and Travel;Jl. Muradi Koto Renah Kota Sungai Penuh;Tour & Travel;1,3,5
