NO,kode_provinsi,kode_kabupaten_kota,komoditi,jumlah_produksi,satuan,tahun
1,15,1501,ALPUKAT,99529.5,KUINTAL,2022
2,15,1501,DUKU,14971,KUINTAL,2022
3,15,1501,DURIAN,52639,KUINTAL,2022
4,15,1501,JENGKOL,13791,KUINTAL,2022
5,15,1501,JERUK,685752,KUINTAL,2022
6,15,1501,MANGGIS,118255,KUINTAL,2022
7,15,1501,NANAS,45,KUINTAL,2022
8,15,1501,PISANG,74479.33,KUINTAL,2022
9,15,1502,ALPUKAT,15653,KUINTAL,2022
10,15,1502,DUKU,54016.2,KUINTAL,2022
11,15,1502,DURIAN,70180.76,KUINTAL,2022
12,15,1502,JENGKOL,19598.9,KUINTAL,2022
13,15,1502,JERUK,20847.5,KUINTAL,2022
14,15,1502,MANGGIS,27791.4,KUINTAL,2022
15,15,1502,NANAS,195943.76,KUINTAL,2022
16,15,1502,PISANG,30805.23,KUINTAL,2022
17,15,1503,ALPUKAT,386.3,KUINTAL,2022
18,15,1503,DUKU,3516,KUINTAL,2022
19,15,1503,DURIAN,39476,KUINTAL,2022
20,15,1503,JENGKOL,4135.7,KUINTAL,2022
21,15,1503,JERUK,10176.2,KUINTAL,2022
22,15,1503,MANGGIS,1937,KUINTAL,2022
23,15,1503,NANAS,327,KUINTAL,2022
24,15,1503,PISANG,77015.9,KUINTAL,2022
25,15,1504,ALPUKAT,81.95,KUINTAL,2022
26,15,1504,DUKU,1983.95,KUINTAL,2022
27,15,1504,DURIAN,3991.85,KUINTAL,2022
28,15,1504,JENGKOL,3434.02,KUINTAL,2022
29,15,1504,JERUK,4454.47,KUINTAL,2022
30,15,1504,MANGGIS,2406.17,KUINTAL,2022
31,15,1504,NANAS,1876.34,KUINTAL,2022
32,15,1504,PISANG,32039.72,KUINTAL,2022
33,15,1505,ALPUKAT,5372.86,KUINTAL,2022
34,15,1505,DUKU,14379.04,KUINTAL,2022
35,15,1505,DURIAN,20737.04,KUINTAL,2022
36,15,1505,JENGKOL,11679,KUINTAL,2022
37,15,1505,JERUK,15256.7,KUINTAL,2022
38,15,1505,MANGGIS,1361.05,KUINTAL,2022
39,15,1505,NANAS,957850.26,KUINTAL,2022
40,15,1505,PISANG,29459.04,KUINTAL,2022
41,15,1506,ALPUKAT,232,KUINTAL,2022
42,15,1506,DUKU,282,KUINTAL,2022
43,15,1506,DURIAN,942,KUINTAL,2022
44,15,1506,JENGKOL,8873.79,KUINTAL,2022
45,15,1506,JERUK,7027,KUINTAL,2022
46,15,1506,MANGGIS,240.7,KUINTAL,2022
47,15,1506,NANAS,40831.07,KUINTAL,2022
48,15,1506,PISANG,54862.88,KUINTAL,2022
49,15,1507,ALPUKAT,381.8,KUINTAL,2022
50,15,1507,DUKU,2477,KUINTAL,2022
51,15,1507,DURIAN,4287,KUINTAL,2022
52,15,1507,JENGKOL,2100.2,KUINTAL,2022
53,15,1507,JERUK,115133.8,KUINTAL,2022
54,15,1507,MANGGIS,883.4,KUINTAL,2022
55,15,1507,NANAS,1361,KUINTAL,2022
56,15,1507,PISANG,126145.6,KUINTAL,2022
57,15,1508,ALPUKAT,3407,KUINTAL,2022
58,15,1508,DUKU,28552.58,KUINTAL,2022
59,15,1508,DURIAN,18739.32,KUINTAL,2022
60,15,1508,JENGKOL,5596.5,KUINTAL,2022
61,15,1508,JERUK,8758.3,KUINTAL,2022
62,15,1508,MANGGIS,1213,KUINTAL,2022
63,15,1508,NANAS,238.38,KUINTAL,2022
64,15,1508,PISANG,15883.6,KUINTAL,2022
65,15,1509,ALPUKAT,1209.42,KUINTAL,2022
66,15,1509,DUKU,2991.8,KUINTAL,2022
67,15,1509,DURIAN,7146,KUINTAL,2022
68,15,1509,JENGKOL,5733.62,KUINTAL,2022
69,15,1509,JERUK,10769.99,KUINTAL,2022
70,15,1509,MANGGIS,410,KUINTAL,2022
71,15,1509,NANAS,131.75,KUINTAL,2022
72,15,1509,PISANG,8424.78,KUINTAL,2022
73,15,1571,ALPUKAT,447.31,KUINTAL,2022
74,15,1571,DUKU,56,KUINTAL,2022
75,15,1571,DURIAN,252.9,KUINTAL,2022
76,15,1571,JENGKOL,563.25,KUINTAL,2022
77,15,1571,JERUK,16,KUINTAL,2022
78,15,1571,MANGGIS,21,KUINTAL,2022
79,15,1571,NANAS,8,KUINTAL,2022
80,15,1571,PISANG,490.47,KUINTAL,2022
81,15,1572,ALPUKAT,2153.78,KUINTAL,2022
82,15,1572,DUKU,455,KUINTAL,2022
83,15,1572,DURIAN,3434,KUINTAL,2022
84,15,1572,JENGKOL,21.2,KUINTAL,2022
85,15,1572,JERUK,10671.5,KUINTAL,2022
86,15,1572,MANGGIS,1965,KUINTAL,2022
87,15,1572,NANAS,12,KUINTAL,2022
88,15,1572,PISANG,5948.4,KUINTAL,2022
89,15,1501,ALPUKAT,153343,KUINTAL,2023
90,15,1501,DUKU,920,KUINTAL,2023
91,15,1501,DURIAN,53537,KUINTAL,2023
92,15,1501,JENGKOL,18669,KUINTAL,2023
93,15,1501,JERUK,453141,KUINTAL,2023
94,15,1501,MANGGIS,87199,KUINTAL,2023
95,15,1501,NANAS,39,KUINTAL,2023
96,15,1501,PISANG,33351.48,KUINTAL,2023
97,15,1502,ALPUKAT,12339.62,KUINTAL,2023
98,15,1502,DUKU,38534.74,KUINTAL,2023
99,15,1502,DURIAN,24461,KUINTAL,2023
100,15,1502,JENGKOL,18265,KUINTAL,2023
101,15,1502,JERUK,12987,KUINTAL,2023
102,15,1502,MANGGIS,15218,KUINTAL,2023
103,15,1502,NANAS,146107.6,KUINTAL,2023
104,15,1502,PISANG,18553,KUINTAL,2023
105,15,1503,ALPUKAT,208.9,KUINTAL,2023
106,15,1503,DUKU,357.25,KUINTAL,2023
107,15,1503,DURIAN,60879.8,KUINTAL,2023
108,15,1503,JENGKOL,4495.2,KUINTAL,2023
109,15,1503,JERUK,18861.75,KUINTAL,2023
110,15,1503,MANGGIS,148,KUINTAL,2023
111,15,1503,NANAS,598.98,KUINTAL,2023
112,15,1503,PISANG,71548.6,KUINTAL,2023
113,15,1504,ALPUKAT,90.05,KUINTAL,2023
114,15,1504,DUKU,1080.94,KUINTAL,2023
115,15,1504,DURIAN,15954.39,KUINTAL,2023
116,15,1504,JENGKOL,4177.03,KUINTAL,2023
117,15,1504,JERUK,13557.92,KUINTAL,2023
118,15,1504,MANGGIS,1823.77,KUINTAL,2023
119,15,1504,NANAS,1679.17,KUINTAL,2023
120,15,1504,PISANG,32120.71,KUINTAL,2023
121,15,1505,ALPUKAT,11090.6,KUINTAL,2023
122,15,1505,DUKU,9591.36,KUINTAL,2023
123,15,1505,DURIAN,39503.48,KUINTAL,2023
124,15,1505,JENGKOL,15194.5,KUINTAL,2023
125,15,1505,JERUK,12523.02,KUINTAL,2023
126,15,1505,MANGGIS,657.8,KUINTAL,2023
127,15,1505,NANAS,1701979,KUINTAL,2023
128,15,1505,PISANG,86925.06,KUINTAL,2023
129,15,1506,ALPUKAT,296,KUINTAL,2023
130,15,1506,DUKU,203,KUINTAL,2023
131,15,1506,DURIAN,3410.48,KUINTAL,2023
132,15,1506,JENGKOL,6152.5,KUINTAL,2023
133,15,1506,JERUK,6957,KUINTAL,2023
134,15,1506,MANGGIS,2506,KUINTAL,2023
135,15,1506,NANAS,12455,KUINTAL,2023
136,15,1506,PISANG,159111.32,KUINTAL,2023
137,15,1507,ALPUKAT,1044.55,KUINTAL,2023
138,15,1507,DUKU,17532.35,KUINTAL,2023
139,15,1507,DURIAN,38107.94,KUINTAL,2023
140,15,1507,JENGKOL,3251.69,KUINTAL,2023
141,15,1507,JERUK,11214.9,KUINTAL,2023
142,15,1507,MANGGIS,1210.31,KUINTAL,2023
143,15,1507,NANAS,2552.37,KUINTAL,2023
144,15,1507,PISANG,35805.3,KUINTAL,2023
145,15,1508,ALPUKAT,640.3,KUINTAL,2023
146,15,1508,DUKU,3046.7,KUINTAL,2023
147,15,1508,DURIAN,16979.5,KUINTAL,2023
148,15,1508,JENGKOL,3544.2,KUINTAL,2023
149,15,1508,JERUK,4195.75,KUINTAL,2023
150,15,1508,MANGGIS,1315.55,KUINTAL,2023
151,15,1508,NANAS,481.4,KUINTAL,2023
152,15,1508,PISANG,11432.8,KUINTAL,2023
153,15,1509,ALPUKAT,1797.92,KUINTAL,2023
154,15,1509,DUKU,9116.15,KUINTAL,2023
155,15,1509,DURIAN,11941.22,KUINTAL,2023
156,15,1509,JENGKOL,5825.95,KUINTAL,2023
157,15,1509,JERUK,8409.33,KUINTAL,2023
158,15,1509,MANGGIS,1155.73,KUINTAL,2023
159,15,1509,NANAS,138.9,KUINTAL,2023
160,15,1509,PISANG,5966.04,KUINTAL,2023
161,15,1571,ALPUKAT,306.35,KUINTAL,2023
162,15,1571,DUKU,22,KUINTAL,2023
163,15,1571,DURIAN,202.8,KUINTAL,2023
164,15,1571,JENGKOL,1115.7,KUINTAL,2023
165,15,1571,JERUK,23.5,KUINTAL,2023
166,15,1571,MANGGIS,86,KUINTAL,2023
167,15,1571,NANAS,10.6,KUINTAL,2023
168,15,1571,PISANG,469.2,KUINTAL,2023
169,15,1572,ALPUKAT,2716.28,KUINTAL,2023
170,15,1572,DUKU,463,KUINTAL,2023
171,15,1572,DURIAN,2976,KUINTAL,2023
172,15,1572,JENGKOL,80.2,KUINTAL,2023
173,15,1572,JERUK,14607,KUINTAL,2023
174,15,1572,MANGGIS,4166,KUINTAL,2023
175,15,1572,NANAS,12,KUINTAL,2023
176,15,1572,PISANG,4992.6,KUINTAL,2023
