no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;tahun;"jumlah
"
1;15;JAMBI;1501;WISATA NUSANTARA;2012;153.389
2;15;JAMBI;1572;WISATA NUSANTARA;2012;16.698
3;15;JAMBI;1502;WISATA NUSANTARA;2012;268.43
4;15;JAMBI;1503;WISATA NUSANTARA;2012;17.065
5;15;JAMBI;1508;WISATA NUSANTARA;2012;53.421
6;15;JAMBI;1509;WISATA NUSANTARA;2012;63.912
7;15;JAMBI;1504;WISATA NUSANTARA;2012;12.782
8;15;JAMBI;1505;WISATA NUSANTARA;2012;174.872
9;15;JAMBI;1571;WISATA NUSANTARA;2012;506.08
10;15;JAMBI;1506;WISATA NUSANTARA;2012;5.65
11;15;JAMBI;1507;WISATA NUSANTARA;2012;5.94
13;15;JAMBI;1501;WISATA NUSANTARA;2013;177.243
14;15;JAMBI;1572;WISATA NUSANTARA;2013;93.784
15;15;JAMBI;1502;WISATA NUSANTARA;2013;286.826
16;15;JAMBI;1503;WISATA NUSANTARA;2013;19.146
17;15;JAMBI;1508;WISATA NUSANTARA;2013;59.936
18;15;JAMBI;1509;WISATA NUSANTARA;2013;143.413
19;15;JAMBI;1504;WISATA NUSANTARA;2013;14.341
20;15;JAMBI;1505;WISATA NUSANTARA;2013;172.096
21;15;JAMBI;1571;WISATA NUSANTARA;2013;430.239
22;15;JAMBI;1506;WISATA NUSANTARA;2013;30.442
23;15;JAMBI;1507;WISATA NUSANTARA;2013;6.665
25;15;JAMBI;1501;WISATA NUSANTARA;2014;298.237
26;15;JAMBI;1572;WISATA NUSANTARA;2014;150.022
27;15;JAMBI;1502;WISATA NUSANTARA;2014;412.943
28;15;JAMBI;1503;WISATA NUSANTARA;2014;27.53
29;15;JAMBI;1508;WISATA NUSANTARA;2014;103.236
30;15;JAMBI;1509;WISATA NUSANTARA;2014;275.296
31;15;JAMBI;1504;WISATA NUSANTARA;2014;22.941
32;15;JAMBI;1505;WISATA NUSANTARA;2014;469.821
33;15;JAMBI;1571;WISATA NUSANTARA;2014;474.746
34;15;JAMBI;1506;WISATA NUSANTARA;2014;48.698
35;15;JAMBI;1507;WISATA NUSANTARA;2014;10.661
37;15;JAMBI;1501;WISATA NUSANTARA;2015;329.175
38;15;JAMBI;1572;WISATA NUSANTARA;2015;185.825
39;15;JAMBI;1502;WISATA NUSANTARA;2015;520.309
40;15;JAMBI;1503;WISATA NUSANTARA;2015;33.077
41;15;JAMBI;1508;WISATA NUSANTARA;2015;103.548
42;15;JAMBI;1509;WISATA NUSANTARA;2015;247.766
43;15;JAMBI;1504;WISATA NUSANTARA;2015;19.821
44;15;JAMBI;1505;WISATA NUSANTARA;2015;297.319
45;15;JAMBI;1571;WISATA NUSANTARA;2015;693.745
46;15;JAMBI;1506;WISATA NUSANTARA;2015;37.165
47;15;JAMBI;1507;WISATA NUSANTARA;2015;9.911
49;15;JAMBI;1501;WISATA NUSANTARA;2016;328.965
50;15;JAMBI;1572;WISATA NUSANTARA;2016;137.069
51;15;JAMBI;1502;WISATA NUSANTARA;2016;520.862
52;15;JAMBI;1503;WISATA NUSANTARA;2016;32.897
53;15;JAMBI;1508;WISATA NUSANTARA;2016;109.655
54;15;JAMBI;1509;WISATA NUSANTARA;2016;219.31
55;15;JAMBI;1504;WISATA NUSANTARA;2016;35.638
