no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;tahun;"jumlah
"
1;15;JAMBI;1501;WISATA MANCANEGARA;2012;4.717
2;15;JAMBI;1572;WISATA MANCANEGARA;2012;15
3;15;JAMBI;1502;WISATA MANCANEGARA;2012;0
4;15;JAMBI;1503;WISATA MANCANEGARA;2012;122
5;15;JAMBI;1508;WISATA MANCANEGARA;2012;23
6;15;JAMBI;1509;WISATA MANCANEGARA;2012;22
7;15;JAMBI;1504;WISATA MANCANEGARA;2012;46
8;15;JAMBI;1505;WISATA MANCANEGARA;2012;203
9;15;JAMBI;1571;WISATA MANCANEGARA;2012;4
10;15;JAMBI;1506;WISATA MANCANEGARA;2012;55
11;15;JAMBI;1507;WISATA MANCANEGARA;2012;28
12;15;JAMBI;1501;WISATA MANCANEGARA;2013;4.96
13;15;JAMBI;1572;WISATA MANCANEGARA;2013;18
14;15;JAMBI;1502;WISATA MANCANEGARA;2013;0
15;15;JAMBI;1503;WISATA MANCANEGARA;2013;198
16;15;JAMBI;1508;WISATA MANCANEGARA;2013;40
17;15;JAMBI;1509;WISATA MANCANEGARA;2013;30
18;15;JAMBI;1504;WISATA MANCANEGARA;2013;20
19;15;JAMBI;1505;WISATA MANCANEGARA;2013;198
20;15;JAMBI;1571;WISATA MANCANEGARA;2013;4.355
21;15;JAMBI;1506;WISATA MANCANEGARA;2013;51
22;15;JAMBI;1507;WISATA MANCANEGARA;2013;50
23;15;JAMBI;1501;WISATA MANCANEGARA;2014;5.464
24;15;JAMBI;1572;WISATA MANCANEGARA;2014;33
25;15;JAMBI;1502;WISATA MANCANEGARA;2014;0
26;15;JAMBI;1503;WISATA MANCANEGARA;2014;131
27;15;JAMBI;1508;WISATA MANCANEGARA;2014;25
28;15;JAMBI;1509;WISATA MANCANEGARA;2014;20
29;15;JAMBI;1504;WISATA MANCANEGARA;2014;46
30;15;JAMBI;1505;WISATA MANCANEGARA;2014;182
31;15;JAMBI;1571;WISATA MANCANEGARA;2014;4.105
32;15;JAMBI;1506;WISATA MANCANEGARA;2014;81
33;15;JAMBI;1507;WISATA MANCANEGARA;2014;30
34;15;JAMBI;1501;WISATA MANCANEGARA;2015;4.31
35;15;JAMBI;1572;WISATA MANCANEGARA;2015;32
36;15;JAMBI;1502;WISATA MANCANEGARA;2015;0
37;15;JAMBI;1503;WISATA MANCANEGARA;2015;108
38;15;JAMBI;1508;WISATA MANCANEGARA;2015;54
39;15;JAMBI;1509;WISATA MANCANEGARA;2015;40
40;15;JAMBI;1504;WISATA MANCANEGARA;2015;38
41;15;JAMBI;1505;WISATA MANCANEGARA;2015;230
42;15;JAMBI;1571;WISATA MANCANEGARA;2015;5.888
43;15;JAMBI;1506;WISATA MANCANEGARA;2015;22
44;15;JAMBI;1507;WISATA MANCANEGARA;2015;54
45;15;JAMBI;1501;WISATA MANCANEGARA;2016;6.477
46;15;JAMBI;1572;WISATA MANCANEGARA;2016;30
47;15;JAMBI;1502;WISATA MANCANEGARA;2016;0
48;15;JAMBI;1503;WISATA MANCANEGARA;2016;157
49;15;JAMBI;1508;WISATA MANCANEGARA;2016;36
50;15;JAMBI;1509;WISATA MANCANEGARA;2016;24
51;15;JAMBI;1504;WISATA MANCANEGARA;2016;54
52;15;JAMBI;1505;WISATA MANCANEGARA;2016;378
53;15;JAMBI;1571;WISATA MANCANEGARA;2016;4.834
54;15;JAMBI;1506;WISATA MANCANEGARA;2016;36
55;15;JAMBI;1507;WISATA MANCANEGARA;2016;42
56;15;JAMBI;1501;WISATA MANCANEGARA;2017;1.386
57;15;JAMBI;1572;WISATA MANCANEGARA;2017;13
58;15;JAMBI;1502;WISATA MANCANEGARA;2017;0
59;15;JAMBI;1503;WISATA MANCANEGARA;2017;108
60;15;JAMBI;1508;WISATA MANCANEGARA;2017;16
61;15;JAMBI;1509;WISATA MANCANEGARA;2017;27
62;15;JAMBI;1504;WISATA MANCANEGARA;2017;54
63;15;JAMBI;1505;WISATA MANCANEGARA;2017;545
