NO;kode_provinsi;kode_kabupaten_kota;koomoditi;luas_panen;satuan;tahun
1;15;1501;BAWANG MERAH;2000.1;HEKTAR;2022
2;15;1501;CABE MERAH;4721.5;HEKTAR;2022
3;15;1501;CABE RAWIT;766.3;HEKTAR;2022
4;15;1501;KENTANG;9050;HEKTAR;2022
5;15;1501;KUBIS;3230;HEKTAR;2022
6;15;1501;SAWI;1052;HEKTAR;2022
7;15;1501;SEMANGKA;0;HEKTAR;2022
8;15;1501;TOMAT;979.95;HEKTAR;2022
9;15;1501;WORTEL;593;HEKTAR;2022
10;15;1502;BAWANG MERAH;61.5;HEKTAR;2022
11;15;1502;CABE MERAH;803;HEKTAR;2022
12;15;1502;CABE RAWIT;328.5;HEKTAR;2022
13;15;1502;KENTANG;262;HEKTAR;2022
14;15;1502;KUBIS;53;HEKTAR;2022
15;15;1502;SAWI;45;HEKTAR;2022
16;15;1502;SEMANGKA;110.5;HEKTAR;2022
17;15;1502;TOMAT;78.5;HEKTAR;2022
18;15;1502;WORTEL;0;HEKTAR;2022
19;15;1503;BAWANG MERAH;1.5;HEKTAR;2022
20;15;1503;CABE MERAH;71.7;HEKTAR;2022
21;15;1503;CABE RAWIT;81.37;HEKTAR;2022
22;15;1503;KENTANG;0;HEKTAR;2022
23;15;1503;KUBIS;0;HEKTAR;2022
24;15;1503;SAWI;20.32;HEKTAR;2022
25;15;1503;SEMANGKA;72.7;HEKTAR;2022
26;15;1503;TOMAT;19.46;HEKTAR;2022
27;15;1503;WORTEL;0;HEKTAR;2022
28;15;1504;BAWANG MERAH;3;HEKTAR;2022
29;15;1504;CABE MERAH;100;HEKTAR;2022
30;15;1504;CABE RAWIT;84;HEKTAR;2022
31;15;1504;KENTANG;0;HEKTAR;2022
32;15;1504;KUBIS;0;HEKTAR;2022
33;15;1504;SAWI;0;HEKTAR;2022
34;15;1504;SEMANGKA;47;HEKTAR;2022
35;15;1504;TOMAT;3;HEKTAR;2022
36;15;1504;WORTEL;0;HEKTAR;2022
37;15;1505;BAWANG MERAH;4;HEKTAR;2022
38;15;1505;CABE MERAH;222.25;HEKTAR;2022
39;15;1505;CABE RAWIT;63.75;HEKTAR;2022
40;15;1505;KENTANG;0;HEKTAR;2022
41;15;1505;KUBIS;0;HEKTAR;2022
42;15;1505;SAWI;60;HEKTAR;2022
43;15;1505;SEMANGKA;36.5;HEKTAR;2022
44;15;1505;TOMAT;20.75;HEKTAR;2022
45;15;1505;WORTEL;0;HEKTAR;2022
46;15;1506;BAWANG MERAH;0;HEKTAR;2022
47;15;1506;CABE MERAH;95;HEKTAR;2022
48;15;1506;CABE RAWIT;59;HEKTAR;2022
49;15;1506;KENTANG;0;HEKTAR;2022
50;15;1506;KUBIS;0;HEKTAR;2022
51;15;1506;SAWI;0;HEKTAR;2022
52;15;1506;SEMANGKA;85;HEKTAR;2022
53;15;1506;TOMAT;5;HEKTAR;2022
54;15;1506;WORTEL;0;HEKTAR;2022
55;15;1507;BAWANG MERAH;0;HEKTAR;2022
