NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
1;15;1501;BAWANG MERAH;151909.95;KUINTAL;2022
2;15;1501;CABE MERAH;892592.1;KUINTAL;2022
3;15;1501;CABE RAWIT;84285.5;KUINTAL;2022
4;15;1501;KENTANG;1798422;KUINTAL;2022
5;15;1501;KUBIS;832860;KUINTAL;2022
6;15;1501;SAWI;236254;KUINTAL;2022
7;15;1501;SEMANGKA;0;KUINTAL;2022
8;15;1501;TOMAT;471259.25;KUINTAL;2022
9;15;1501;WORTEL;109242;KUINTAL;2022
10;15;1502;BAWANG MERAH;5175;KUINTAL;2022
11;15;1502;CABE MERAH;54982;KUINTAL;2022
12;15;1502;CABE RAWIT;20762;KUINTAL;2022
13;15;1502;KENTANG;48160;KUINTAL;2022
14;15;1502;KUBIS;10284;KUINTAL;2022
15;15;1502;SAWI;1666;KUINTAL;2022
16;15;1502;SEMANGKA;20030;KUINTAL;2022
17;15;1502;TOMAT;6000;KUINTAL;2022
18;15;1502;WORTEL;0;KUINTAL;2022
19;15;1503;BAWANG MERAH;15;KUINTAL;2022
20;15;1503;CABE MERAH;1310.5;KUINTAL;2022
21;15;1503;CABE RAWIT;1590.1;KUINTAL;2022
22;15;1503;KENTANG;0;KUINTAL;2022
23;15;1503;KUBIS;0;KUINTAL;2022
24;15;1503;SAWI;359.9;KUINTAL;2022
25;15;1503;SEMANGKA;781;KUINTAL;2022
26;15;1503;TOMAT;154.2;KUINTAL;2022
27;15;1503;WORTEL;0;KUINTAL;2022
28;15;1504;BAWANG MERAH;12;KUINTAL;2022
29;15;1504;CABE MERAH;3903;KUINTAL;2022
30;15;1504;CABE RAWIT;3914;KUINTAL;2022
31;15;1504;KENTANG;0;KUINTAL;2022
32;15;1504;KUBIS;0;KUINTAL;2022
33;15;1504;SAWI;0;KUINTAL;2022
34;15;1504;SEMANGKA;1190;KUINTAL;2022
35;15;1504;TOMAT;130;KUINTAL;2022
36;15;1504;WORTEL;0;KUINTAL;2022
37;15;1505;BAWANG MERAH;112;KUINTAL;2022
38;15;1505;CABE MERAH;5845.2;KUINTAL;2022
39;15;1505;CABE RAWIT;2536.5;KUINTAL;2022
40;15;1505;KENTANG;0;KUINTAL;2022
41;15;1505;KUBIS;0;KUINTAL;2022
42;15;1505;SAWI;2441;KUINTAL;2022
43;15;1505;SEMANGKA;1968.5;KUINTAL;2022
44;15;1505;TOMAT;1245.5;KUINTAL;2022
45;15;1505;WORTEL;0;KUINTAL;2022
46;15;1506;BAWANG MERAH;0;KUINTAL;2022
47;15;1506;CABE MERAH;4278;KUINTAL;2022
