kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;bidang_pendidikan;jumlah
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;2
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;1
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;10
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;1
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;0
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1501;KERINCI;150105;AIR HANGAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;9
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;1
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;16
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;4
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;13
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;5
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
