no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_usaha;jenis;fasilitas
1;15;JAMBI;1506;150602;Futsal Beringin;BUATAN;1,3,5
2;15;JAMBI;1506;150606;Kolam Renang Alam Asri;BUATAN;1,3,5
3;15;JAMBI;1501;150116;Azila Toyz;PERMAINAN ANAK;1,3,4
4;15;JAMBI;1501;150109;Karaoke Telaga Zam Zam;KARAOKE;1,3,4
5;15;JAMBI;1503;150303;Karaoke King's;KARAOKE;1,3,4
6;15;JAMBI;1503;150308;Karaoke Wak Geng;KARAOKE;1,2,3,4
7;15;JAMBI;1503;150303;Karaoke Sayang;KARAOKE;1,3,4
8;15;JAMBI;1503;150303;King's Billyard;SARANA OLAHRAGA;1,3,4
9;15;JAMBI;1503;150303;Futsal Tepian Cik Minah;SARANA OLAHRAGA;1,3,5
10;15;JAMBI;1503;150309;Idola Fashion;PERMAINAN ANAK;1,3
11;15;JAMBI;1506;150601;Kolam Renang;KOLAM RENANG;1,3
12;15;JAMBI;1508;150803;Mars Karaoke;KARAOKE;1,3,4
13;15;JAMBI;1508;150811;Inul Vizta Muara Bungo;KARAOKE;1,3,4
14;15;JAMBI;1508;150803;Wiltop Plaza;KARAOKE, DISKOTIK;1,3,4
15;15;JAMBI;1571;157104;Swan Musik Lounge / PT.Batanghari Propertindo;BIOSKOP;1,3,4,5
16;15;JAMBI;1571;157109;Bioskop Rumah Film;BIOSKOP;1,3,4,5
17;15;JAMBI;1571;157104;"Bioskop ""Cinema 21""";BIOSKOP;1,3,4,5
18;15;JAMBI;1571;157103;PT. Cinemaxx Global Pasifik;BIOSKOP;1,3,4,5
19;15;JAMBI;1571;157110;Mini Bioskop Kinos / PT. Kinerja Cepat Sukses;BIOSKOP;1,3,4,5
20;15;JAMBI;1571;157110;New Legend Billyard;SARANA OLAHRAGA;1,3,4,5
21;15;JAMBI;1571;157104;"Billyard ""Golden Palace""";SARANA OLAHRAGA;1,3,4,5
22;15;JAMBI;1571;157108;"Billyard ""Dua Saudara""";SARANA OLAHRAGA;1,3,4,5
23;15;JAMBI;1571;157107;"Billyard ""Cahaya Prima""";SARANA OLAHRAGA;1,3,4,5
24;15;JAMBI;1571;157102;Diklat Billyard - Club 9 Billyar Snoker;SARANA OLAHRAGA;1,3,4,5
25;15;JAMBI;1571;157103;"Billyard ""Kito""";SARANA OLAHRAGA;1,3,4,5
26;15;JAMBI;1571;157102;Country Billyard;SARANA OLAHRAGA;1,3,4,5
27;15;JAMBI;1571;157104;"Permainan Anak-Anak ""Amazone Game Center""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,5
28;15;JAMBI;1571;157111;"Permainan Anak-Anak ""Happy World Out Door Tropi Mart ";PERMAINAN ANAK;1,3,4,5
29;15;JAMBI;1571;157110;"Permainan Anak-Anak ""Happy World""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,5
30;15;JAMBI;1571;157104;"Permainan Anak-Anak ""Zone 2000 Ramayana""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,5
31;15;JAMBI;1571;157104;"Permainan ""Kereta Api""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,6
32;15;JAMBI;1571;157104;"Permainan Anak-Anak ""Happy Kids""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,7
33;15;JAMBI;1571;157103;Yulis Baby ShopPermainan Ketangkasan;PERMAINAN ANAK;1,3,4,8
34;15;JAMBI;1571;157109;"Permainan Anak-Anak ""Kampoeng Radja""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,9
35;15;JAMBI;1571;157108;"Permainan Anak-Anak ""Happy World""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,10
36;15;JAMBI;1571;157103;"Permainan Anak-Anak ""Fun City""Permainan Ketangkasan";PERMAINAN ANAK;1,3,4,11
37;15;JAMBI;1571;157109;Permainan Anak-Anak Happy WorldPermainan Ketangkasan;PERMAINAN ANAK;1,3,4,12
38;15;JAMBI;1571;157103;Permainan Anak-Anak Element Family Fun (Lippo Mall)Permainan Ketangkasan;PERMAINAN ANAK;1,3,4,12
39;15;JAMBI;1571;157103;Fun City Talang BakungPermainan Ketangkasan ;PERMAINAN ANAK;
40;15;JAMBI;1571;157103;PlayzonaPermainan Ketangkasan;PERMAINAN ANAK;
41;15;JAMBI;1571;157103;Permainan Anak-Anak Enha Playground (Enha)Permainan Ketangkasan;PERMAINAN ANAK;
42;15;JAMBI;1571;157111;Kampoeng Organik Permainan Ketangkasan;PERMAINAN ANAK;1,3,4,12
43;15;JAMBI;1571;157110;Diskotik Grand Hotel;DISKOTIK;1,3,4,13
44;15;JAMBI;1571;157103;Karaoke Elsa Dua;KARAOKE;1,3,4,14
45;15;JAMBI;1571;157107;Karaoke Royal Garden;KARAOKE;1,3,4,15
46;15;JAMBI;1571;157108;Karaoke Hernita;KARAOKE;1,3,4,16
47;15;JAMBI;1571;157103;Karaoke Casanova;KARAOKE;1,3,4,5
48;15;JAMBI;1571;157104;Karaoke Inul Vizta Family Ktv.;KARAOKE;1,3,4,5
49;15;JAMBI;1571;157104;Karaoke Amazone Game Center;KARAOKE;1,3,4,5
50;15;JAMBI;1571;157104;"Karaoke "" Golden Princes """;KARAOKE;1,3,4,5
51;15;JAMBI;1571;157103;Karaoke Cempaka;KARAOKE;1,3,4,5
52;15;JAMBI;1571;157103;"Karaoke ""Ira Family""";KARAOKE;1,3,4,5
53;15;JAMBI;1571;157103;"Karaoke ""Levi""";KARAOKE;1,3,4,5
54;15;JAMBI;1571;157108;"Karaoke ""Happy Puppy""";KARAOKE;1,3,4,5
55;15;JAMBI;1571;157108;Karaoke Diva Family;KARAOKE;1,3,4,5
56;15;JAMBI;1571;157108;Karaoke Charly;KARAOKE;1,3,4,5
57;15;JAMBI;1571;157108;Karaoke Hawai;KARAOKE;1,3,4,5
58;15;JAMBI;1571;157110;Karaoke Lyrics;KARAOKE;1,3,4,5
59;15;JAMBI;1571;157104;"Karaoke ""Master Piece""";KARAOKE;1,3,4,5
60;15;JAMBI;1571;157108;Karaoke Rosse Nandau;KARAOKE;1,3,4,5
