id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;satuan;tahun;jumlah_penduduk
1;15;JAMBI;1501;LAKI-LAKI;JIWA;2018;118656
2;15;JAMBI;1501;PEREMPUAN;JIWA;2018;119135
3;15;JAMBI;1502;LAKI-LAKI;JIWA;2018;196265
4;15;JAMBI;1502;PEREMPUAN;JIWA;2018;187215
5;15;JAMBI;1503;LAKI-LAKI;JIWA;2018;150732
6;15;JAMBI;1503;PEREMPUAN;JIWA;2018;145253
7;15;JAMBI;1504;LAKI-LAKI;JIWA;2018;137686
8;15;JAMBI;1504;PEREMPUAN;JIWA;2018;132280
9;15;JAMBI;1505;LAKI-LAKI;JIWA;2018;223309
10;15;JAMBI;1505;PEREMPUAN;JIWA;2018;208996
11;15;JAMBI;1506;LAKI-LAKI;JIWA;2018;112118
12;15;JAMBI;1506;PEREMPUAN;JIWA;2018;106295
13;15;JAMBI;1506;LAKI-LAKI;JIWA;2018;170045
14;15;JAMBI;1506;PEREMPUAN;JIWA;2018;158298
15;15;JAMBI;1508;LAKI-LAKI;JIWA;2018;179709
16;15;JAMBI;1508;PEREMPUAN;JIWA;2018;169051
17;15;JAMBI;1509;LAKI-LAKI;JIWA;2018;187677
18;15;JAMBI;1509;PEREMPUAN;JIWA;2018;179505
19;15;JAMBI;1571;LAKI-LAKI;JIWA;2018;300566
20;15;JAMBI;1571;PEREMPUAN;JIWA;2018;297537
21;15;JAMBI;1572;LAKI-LAKI;JIWA;2018;44618
22;15;JAMBI;1572;PEREMPUAN;JIWA;2018;45326
23;15;JAMBI;1501;LAKI-LAKI;JIWA;2019;119196
24;15;JAMBI;1501;PEREMPUAN;JIWA;2019;119486
25;15;JAMBI;1502;LAKI-LAKI;JIWA;2019;199033
26;15;JAMBI;1502;PEREMPUAN;JIWA;2019;189895
27;15;JAMBI;1503;LAKI-LAKI;JIWA;2019;153659
28;15;JAMBI;1503;PEREMPUAN;JIWA;2019;148249
29;15;JAMBI;1504;LAKI-LAKI;JIWA;2019;139178
30;15;JAMBI;1504;PEREMPUAN;JIWA;2019;133701
31;15;JAMBI;1505;LAKI-LAKI;JIWA;2019;228998
32;15;JAMBI;1505;PEREMPUAN;JIWA;2019;214366
33;15;JAMBI;1506;LAKI-LAKI;JIWA;2019;112865
34;15;JAMBI;1506;PEREMPUAN;JIWA;2019;107120
35;15;JAMBI;1506;LAKI-LAKI;JIWA;2019;172821
36;15;JAMBI;1506;PEREMPUAN;JIWA;2019;161111
37;15;JAMBI;1508;LAKI-LAKI;JIWA;2019;182614
38;15;JAMBI;1508;PEREMPUAN;JIWA;2019;171871
39;15;JAMBI;1509;LAKI-LAKI;JIWA;2019;191571
40;15;JAMBI;1509;PEREMPUAN;JIWA;2019;183199
41;15;JAMBI;1571;LAKI-LAKI;JIWA;2019;303818
42;15;JAMBI;1571;PEREMPUAN;JIWA;2019;300918
43;15;JAMBI;1572;LAKI-LAKI;JIWA;2019;45101
44;15;JAMBI;1572;PEREMPUAN;JIWA;2019;45809
45;15;JAMBI;1501;LAKI-LAKI;JIWA;2020;119604
46;15;JAMBI;1501;PEREMPUAN;JIWA;2020;120002
47;15;JAMBI;1502;LAKI-LAKI;JIWA;2020;201681
48;15;JAMBI;1502;PEREMPUAN;JIWA;2020;192493
49;15;JAMBI;1503;LAKI-LAKI;JIWA;2020;156612
50;15;JAMBI;1503;PEREMPUAN;JIWA;2020;150973
51;15;JAMBI;1504;LAKI-LAKI;JIWA;2020;140475
52;15;JAMBI;1504;PEREMPUAN;JIWA;2020;135029
53;15;JAMBI;1505;LAKI-LAKI;JIWA;2020;234684
54;15;JAMBI;1505;PEREMPUAN;JIWA;2020;219840
55;15;JAMBI;1506;LAKI-LAKI;JIWA;2020;113729
56;15;JAMBI;1506;PEREMPUAN;JIWA;2020;107890
57;15;JAMBI;1506;LAKI-LAKI;JIWA;2020;175628
58;15;JAMBI;1506;PEREMPUAN;JIWA;2020;163658
59;15;JAMBI;1508;LAKI-LAKI;JIWA;2020;185502
60;15;JAMBI;1508;PEREMPUAN;JIWA;2020;174691
61;15;JAMBI;1509;LAKI-LAKI;JIWA;2020;195278
62;15;JAMBI;1509;PEREMPUAN;JIWA;2020;187033
63;15;JAMBI;1571;LAKI-LAKI;JIWA;2020;307060
64;15;JAMBI;1571;PEREMPUAN;JIWA;2020;304293
65;15;JAMBI;1572;LAKI-LAKI;JIWA;2020;45528
66;15;JAMBI;1572;PEREMPUAN;JIWA;2020;46211
