no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_rumah _makan;satuan;Alamat;Fasilitas;jumlah_tenaga_kerja;meja;Kursi
1;15;JAMBI;1507;RM. Tasya Jaya;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Tanjab Timur;1,3,5;2;5;20
2;15;JAMBI;1507;Putra Pelabi Warung Nasi Ibuk Anis;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Tanjab Timur;1,3,5;2;4;16
3;15;JAMBI;1507;Wr. Mama Rizky;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Tanjab Timur;1,3,5;3;6;16
4;15;JAMBI;1507;Warung Makan Diajeng;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Tanjab Timur;1,3,5;2;4;16
5;15;JAMBI;1507;Bakso Solo;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Tanjab Timur;1,3,5;2;4;16
6;15;JAMBI;1507;Mi Ayam Bakso;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Rantau Karya;1,3,5;3;6;24
7;15;JAMBI;1507;Mi Ayam Bakso Wonogiri Mas Har;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Rantau Karya;1,3,5;2;5;20
8;15;JAMBI;1507; Nasi Uduk Dan Pecel Lele;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Rantau Karya;1,3,5;2;4;16
9;15;JAMBI;1507;Pecel Lele Almira;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Rantau Karya;1,3,5;2;5;20
10;15;JAMBI;1507;RM. Rantau Lima;UNIT;Jl. Lintas Jambi-Muara Sabak, Kab. Rantau Karya;1,3,5;3;6;24
11;15;JAMBI;1507;RM. Murah Meriah;UNIT;Jl. Lintas Jambi-Muara Sabak Desa Kota Baru Geragai;1,3,5;2;4;16
12;15;JAMBI;1507;Sate Kacang;UNIT;Jl. Lintas Jambi-Muara Sabak Desa Kota Baru;1,3,5;2;5;20
