NO;kode_provinsi;nama_provinsi;kode kabupaten/kota;USAHA MIKRO;USAHA KECIL;USAHA MENENGAH;JUMLAH;TENAGA KERJA
1;15;JAMBI;1502;4.877;693;13;5.583;13.981
2;15;JAMBI;1571;44.307;3.506; - ;47.813;143.439
3;15;JAMBI;1503;3.602;478;10;4.090;9.826
4;15;JAMBI;1572;6.856;1.076;1.699;9.631;12.279
5;15;JAMBI;1501;11.044;1.106;125;12.275;17.824
6;15;JAMBI;1504;18.432;175;10;18.617;35.542
7;15;JAMBI;1508;2.327;881;290;3.498;2.933
8;15;JAMBI;1506;7.432;1.048; - ;8.480;10.454
9;15;JAMBI;1509;1.268; - ; - ;1.268;1.984
10;15;JAMBI;1505;41.234; - ; - ;41.234;119.674
11;15;JAMBI;1507;17.658;1.135; - ;18.793;6.696
