NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;usaha_mikro;usaha_kecil;usaha_menengah;jumlah;tenaga_kerja;tahun
1;15;JAMBI;1501;11.044;1.106;125;12.275;17.824;2022
2;15;JAMBI;1502;4.877;693;13;5.583;13.981;2022
3;15;JAMBI;1503;3.602;478;10;4.090;9.826;2022
4;15;JAMBI;1504;18.432;175;10;18.617;35.542;2022
5;15;JAMBI;1505;41.234;0;0;41.234;119.674;2022
6;15;JAMBI;1506;7.432;1.048;0;8.480;10.454;2022
7;15;JAMBI;1507;17.658;1.135;0;18.793;6.696;2022
8;15;JAMBI;1508;2.327;881;290;3.498;2.933;2022
9;15;JAMBI;1509;1.268;0;0;1.268;1.984;2022
10;15;JAMBI;1571;44.307;3.506;0;47.813;143.439;2022
11;15;JAMBI;1572;6.856;1.076;1.699;9.631;12.279;2022
12;15;JAMBI;1501;8.235;646;69;8.950;12.187;2023
13;15;JAMBI;1502;7.476;693;13;8.182;16.103;2023
14;15;JAMBI;1503;3.465;107;10;3.582;5.292;2023
15;15;JAMBI;1504;17.957;138;69;18.164;35.324;2023
16;15;JAMBI;1505;49.618;0;0;49.618;119.674;2023
17;15;JAMBI;1506;8.656;1.048;0;9.704;10.806;2023
18;15;JAMBI;1507;20.421;1.135;253;21.809;7.388;2023
19;15;JAMBI;1508;4.234;881;290;5.405;3.135;2023
20;15;JAMBI;1509;9.280;0;0;9.280;755;2023
21;15;JAMBI;1571;47.763;3.835;0;51.598;149.629;2023
22;15;JAMBI;1572;12.208;1.125;181;13.514;13.366;2023
