no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data;tenaga_kerja;jumlah_tenaga_kerja;fasilitas;jenis_kamar;jumlah;jumlah_tempat_tidur
1;15;JAMBI;1508;150803;1508031007;Hotel Amaris;HOTEL BERBINTANG ;L;1;3,7;Standar;5;8
2;15;JAMBI;1508;150803;1508031023;Hotel Semag;HOTEL BERBINTANG ;L;1;0;Standar;5;12
3;15;JAMBI;1508;150803;1508031008;Hotel Bungo Plaza;HOTEL BERBINTANG ;L;1;3,7;Standar;6;12
4;15;JAMBI;1571;157102;1508131001;Hotel Bw Luxury Jambi;HOTEL BERBINTANG ;L;2;3,7;Standar;7;10
5;15;JAMBI;1571;157110;1571101001;Hotel Ratu ;HOTEL BERBINTANG ;L;2;3,7;Standar;12;24
6;15;JAMBI;1571;157104;1571041004;Hotel Abadi Suite Tower;HOTEL BERBINTANG ;L;2;3,7;Standar;13;25
7;15;JAMBI;1571;157110;1571101005;Hotel Shang Ratu ;HOTEL BERBINTANG ;L;2;3,7;Standar;6;10
8;15;JAMBI;1571;157110;1571101002;Hotel Aston Jambi ;HOTEL BERBINTANG ;L;1;3,7;Standar;5;8
9;15;JAMBI;1571;157109;1571091003;PT. Putra Psp Rumah Kito Guest House;HOTEL BERBINTANG ;L;3;3,7;Standar;5;8
10;15;JAMBI;1571;157110;1571101005;Swiss-Bel Hotel ;HOTEL BERBINTANG ;L;2;3,7;Standar;6;10
11;15;JAMBI;1571;157104;1501192015;Hotel Abadi Grand ;HOTEL BERBINTANG ;L;2;3,7;Standar;5;8
12;15;JAMBI;1571;157104;1501192015;Hotel Ceria ;HOTEL BERBINTANG ;L;2;3,7,10,13 ;Standar;15;15
13;15;JAMBI;1571;157107;1571071005;Hotel Cahaya Prima;HOTEL BERBINTANG ;L;5;3,7,10,13 ;Standar, Deluxe Superior ;18;18
14;15;JAMBI;1571;157104;1571041003;Hotel Grand Malioboro;HOTEL BERBINTANG ;L;5;3,7,10,13 ;Standar, Deluxe Superior ;24;38
15;15;JAMBI;1571;157104;1501192015;Hotel Ratu Permata Hotelindo;HOTEL BERBINTANG ;L;2;3,47,10,13 ;Standar, Deluxe Superior ;13;15
16;15;JAMBI;1571;157110;1571101005;Hotel Luminor ;HOTEL BERBINTANG ;L;0;3,13;Standar;25;35
17;15;JAMBI;1571;157108;1571081004;Hotel Matahari I;HOTEL BERBINTANG ;L;0;3,13;Standar;6;6
18;15;JAMBI;1571;157109;1571091001;Hotel Harvest Golden;HOTEL BERBINTANG ;L;0;3,13;Standar;15;20
19;15;JAMBI;1571;157104;1571041003;Hotel Wiltop;HOTEL BERBINTANG ;L;0;3,13;Standar, Deluxe ;25;30
20;15;JAMBI;1571;157102;1508131001;Hotel Cosmo;HOTEL BERBINTANG ;L;0;3,13;Standar;17;25
21;15;JAMBI;1571;157101;1571011001;Hotel Grand;HOTEL BERBINTANG ;L;0;3,13;Standar;20;36
22;15;JAMBI;1571;157107;1571071005;Hotel Royal Garden ;HOTEL BERBINTANG ;L;0;3,13;Standar;14;23
23;15;JAMBI;1571;157104;1571041003;Hotel Duta ;HOTEL BERBINTANG ;L;0;3,13;Standar;15;30
24;15;JAMBI;1571;157104;1571041003;Hotel Infinity ;HOTEL BERBINTANG ;L;0;3,13;Standar, Deluxe ;35;45
25;15;JAMBI;1571;157104;1571041004;Hotel Pundi Rezeki;HOTEL BERBINTANG ;L;0;3,13;Standar;10;15
26;15;JAMBI;1571;157110;1571101004;Hotel Marisa;HOTEL BERBINTANG ;L;0;3,13;Standar, Deluxe ;37;43
27;15;JAMBI;1571;157102;1571021003;Hotel Safera ;HOTEL BERBINTANG ;L;0;3,13;Standar;20;25
28;15;JAMBI;1571;157108;1503092004;Hotel Harisman Sentosa ;HOTEL BERBINTANG ;L;0;3,13;Standar;20;25
29;15;JAMBI;1571;157104;1571041004;Hotel Jambi Raya ;HOTEL BERBINTANG ;L;0;3,13;Standar;5;9
30;15;JAMBI;1571;157102;1571021003;Hotel Pundi Rezeki Thehok ;HOTEL BERBINTANG ;L;0;3,13;Standar;6;6
31;15;JAMBI;1571;157104;1571041001;Octopuss Hotel Dan Spa ;HOTEL BERBINTANG ;L;0;3,13;Standar;8;8
32;15;JAMBI;1571;157111;1571111005;Hotel Mj's;HOTEL BERBINTANG ;L;0;3,13;Standar;5;10
33;15;JAMBI;1571;157109;1571091001;V Hotel ;HOTEL BERBINTANG ;L;0;3,7,10,13 ;Standar;17;20
34;15;JAMBI;1508;150803;1508031007;Hotel Amaris;HOTEL BERBINTANG ;L;0;3,7,10,13 ;Standar, Superior ;19;36
35;15;JAMBI;1508;150803;1508031023;Hotel Semag;HOTEL BERBINTANG ;L;0;3,7,10,13 ;Standar, Superior ;25;31
36;15;JAMBI;1508;150803;1508031008;Hotel Bungo Plaza;HOTEL BERBINTANG ;L;0;3,7,10,13 ;Standar, Superior ;22;35
37;15;JAMBI;1571;157102;1508131001;Hotel Bw Luxury Jambi;HOTEL BERBINTANG ;L;0;3,7,10,13,20 ;Standar, Superior, Deluxe ;28;43
38;15;JAMBI;1571;157110;1571101001;Hotel Ratu ;HOTEL BERBINTANG ;L;0;3,7,10,13,20 ;Standar, Superior, Deluxe ;29;47
39;15;JAMBI;1571;157104;1571041004;Hotel Abadi Suite Tower;HOTEL BERBINTANG ;L;0;3,7,10,13,20 ;Standar, Superior, Deluxe, Suit ;33;55
40;15;JAMBI;1571;157110;1571101005;Hotel Shang Ratu ;HOTEL BERBINTANG ;L;0;1,3,7,10,13,20 ;Standar, Superior, Deluxe, Suit ;48;66
41;15;JAMBI;1571;157110;1571101002;Hotel Aston Jambi ;HOTEL BERBINTANG ;L;0;3,4,7,10,13,20 ;Standar, Superior, Deluxe, Suit ;30;50
42;15;JAMBI;1571;157109;1571091003;PT. Putra Psp Rumah Kito Guest House;HOTEL BERBINTANG ;L;0;3,13;Standar;5;9
43;15;JAMBI;1571;157110;1571101005;Swiss-Bel Hotel ;HOTEL BERBINTANG ;L;4;3,7,10,13 ;Standar, Deluxe, Superior ;15;20
44;15;JAMBI;1571;157104;1571041004;Hotel Abadi Grand ;HOTEL BERBINTANG ;L;3;3,7,10,13 ;Standar, Deluxe, Superior ;23;30
45;15;JAMBI;1571;157104;1571041004;Hotel Ceria ;HOTEL BERBINTANG ;L;2;3,7,10,13 ;Standar, Deluxe, Superior ;8;8
46;15;JAMBI;1571;157107;1571071005;Hotel Cahaya Prima;HOTEL BERBINTANG ;L;2;3,7,10,13 ;Standar, Deluxe, Superior ;5;8
47;15;JAMBI;1571;157104;1571041003;Hotel Grand Malioboro;HOTEL BERBINTANG ;L;1;3,7,10,13 ;Standar;5;8
48;15;JAMBI;1571;157104;1571041004;Hotel Ratu Permata Hotelindo;HOTEL BERBINTANG ;L;4;3,4,7,10,13 ;Standar;6;8
49;15;JAMBI;1571;157110;1571101005;Hotel Luminor ;HOTEL BERBINTANG ;L;2;3,7,10,13 ;Standar;4;5
50;15;JAMBI;1571;157108;1571081004;Hotel Matahari I;HOTEL BERBINTANG ;L;3;3,10,13 ;Standar, Deluxe, Superior ;8;8
51;15;JAMBI;1571;157109;1571091001;Hotel Harvest Golden;HOTEL BERBINTANG ;L;1;3,7;Standar;5;5
