NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
1;15;1501;JAHE;1681912;KG;2022
2;15;1501;KENCUR;135351;KG;2022
3;15;1501;KUNYIT;389057;KG;2022
4;15;1501;LAOS;294288;KG;2022
5;15;1502;JAHE;594911;KG;2022
6;15;1502;KENCUR;77308;KG;2022
7;15;1502;KUNYIT;152343;KG;2022
8;15;1502;LAOS;249623;KG;2022
9;15;1503;JAHE;37829;KG;2022
10;15;1503;KENCUR;9981;KG;2022
11;15;1503;KUNYIT;26958;KG;2022
12;15;1503;LAOS;17987;KG;2022
13;15;1504;JAHE;9720;KG;2022
14;15;1504;KENCUR;570;KG;2022
15;15;1504;KUNYIT;28640;KG;2022
16;15;1504;LAOS;510;KG;2022
17;15;1505;JAHE;4543;KG;2022
18;15;1505;KENCUR;2910;KG;2022
19;15;1505;KUNYIT;35328;KG;2022
20;15;1505;LAOS;32548;KG;2022
21;15;1506;JAHE;29319;KG;2022
22;15;1506;KENCUR;226;KG;2022
23;15;1506;KUNYIT;3061;KG;2022
24;15;1506;LAOS;4714;KG;2022
25;15;1507;JAHE;158619;KG;2022
26;15;1507;KENCUR;10357;KG;2022
27;15;1507;KUNYIT;26007;KG;2022
28;15;1507;LAOS;169451;KG;2022
29;15;1508;JAHE;13379;KG;2022
30;15;1508;KENCUR;18177;KG;2022
31;15;1508;KUNYIT;11568;KG;2022
32;15;1508;LAOS;8352;KG;2022
33;15;1509;JAHE;2074;KG;2022
34;15;1509;KENCUR;1579;KG;2022
35;15;1509;KUNYIT;2175;KG;2022
36;15;1509;LAOS;2878;KG;2022
37;15;1571;JAHE;3671;KG;2022
38;15;1571;KENCUR;528;KG;2022
39;15;1571;KUNYIT;7200;KG;2022
40;15;1571;LAOS;1403;KG;2022
41;15;1572;JAHE;17218;KG;2022
42;15;1572;KENCUR;7660;KG;2022
43;15;1572;KUNYIT;14902;KG;2022
44;15;1572;LAOS;5947;KG;2022
45;15;1501;JAHE;1412641;KG;2023
46;15;1501;KENCUR;6385;KG;2023
47;15;1501;KUNYIT;367693;KG;2023
48;15;1501;LAOS;225549;KG;2023
49;15;1502;JAHE;66164;KG;2023
50;15;1502;KENCUR;74206;KG;2023
51;15;1502;KUNYIT;128451;KG;2023
52;15;1502;LAOS;204349;KG;2023
53;15;1503;JAHE;20654;KG;2023
54;15;1503;KENCUR;13925;KG;2023
55;15;1503;KUNYIT;25266;KG;2023
56;15;1503;LAOS;19526;KG;2023
57;15;1504;JAHE;646;KG;2023
58;15;1504;KENCUR;0;KG;2023
59;15;1504;KUNYIT;1494;KG;2023
60;15;1504;LAOS;148;KG;2023
61;15;1505;JAHE;11376;KG;2023
62;15;1505;KENCUR;7638;KG;2023
63;15;1505;KUNYIT;34506;KG;2023
64;15;1505;LAOS;18629;KG;2023
65;15;1506;JAHE;2236;KG;2023
66;15;1506;KENCUR;97;KG;2023
67;15;1506;KUNYIT;2817;KG;2023
68;15;1506;LAOS;1857;KG;2023
69;15;1507;JAHE;366541;KG;2023
70;15;1507;KENCUR;7462;KG;2023
71;15;1507;KUNYIT;2327;KG;2023
72;15;1507;LAOS;191342;KG;2023
73;15;1508;JAHE;1433;KG;2023
74;15;1508;KENCUR;13832;KG;2023
75;15;1508;KUNYIT;15918;KG;2023
76;15;1508;LAOS;10466;KG;2023
77;15;1509;JAHE;2093;KG;2023
78;15;1509;KENCUR;1319;KG;2023
79;15;1509;KUNYIT;1798;KG;2023
80;15;1509;LAOS;2093;KG;2023
81;15;1571;JAHE;3269;KG;2023
82;15;1571;KENCUR;1266;KG;2023
83;15;1571;KUNYIT;2855;KG;2023
84;15;1571;LAOS;2083;KG;2023
85;15;1572;JAHE;719;KG;2023
86;15;1572;KENCUR;1975;KG;2023
87;15;1572;KUNYIT;5884;KG;2023
88;15;1572;LAOS;371;KG;2023
