NO;kode_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun
1;15;1501;JAHE;4.84;KG/M²;2022
2;15;1501;KENCUR;7.46;KG/M²;2022
3;15;1501;KUNYIT;3.53;KG/M²;2022
4;15;1501;LAOS;4.7;KG/M²;2022
5;15;1502;JAHE;1.57;KG/M²;2022
6;15;1502;KENCUR;2.03;KG/M²;2022
7;15;1502;KUNYIT;2.08;KG/M²;2022
8;15;1502;LAOS;2.13;KG/M²;2022
9;15;1503;JAHE;2.1;KG/M²;2022
10;15;1503;KENCUR;1.35;KG/M²;2022
11;15;1503;KUNYIT;1.74;KG/M²;2022
12;15;1503;LAOS;1.7;KG/M²;2022
13;15;1504;JAHE;2.26;KG/M²;2022
14;15;1504;KENCUR;1.9;KG/M²;2022
15;15;1504;KUNYIT;1.88;KG/M²;2022
16;15;1504;LAOS;3.21;KG/M²;2022
17;15;1505;JAHE;0.6;KG/M²;2022
18;15;1505;KENCUR;0.72;KG/M²;2022
19;15;1505;KUNYIT;0.85;KG/M²;2022
20;15;1505;LAOS;2.04;KG/M²;2022
21;15;1506;JAHE;2.32;KG/M²;2022
22;15;1506;KENCUR;6.46;KG/M²;2022
23;15;1506;KUNYIT;2.06;KG/M²;2022
24;15;1506;LAOS;3.75;KG/M²;2022
25;15;1507;JAHE;3.75;KG/M²;2022
26;15;1507;KENCUR;1.96;KG/M²;2022
27;15;1507;KUNYIT;2.37;KG/M²;2022
28;15;1507;LAOS;3.61;KG/M²;2022
29;15;1508;JAHE;0.95;KG/M²;2022
30;15;1508;KENCUR;1.18;KG/M²;2022
31;15;1508;KUNYIT;1.48;KG/M²;2022
32;15;1508;LAOS;1.6;KG/M²;2022
33;15;1509;JAHE;1.09;KG/M²;2022
34;15;1509;KENCUR;1.09;KG/M²;2022
35;15;1509;KUNYIT;1.09;KG/M²;2022
36;15;1509;LAOS;1.06;KG/M²;2022
37;15;1571;JAHE;1.81;KG/M²;2022
38;15;1571;KENCUR;0.67;KG/M²;2022
39;15;1571;KUNYIT;0.55;KG/M²;2022
40;15;1571;LAOS;4.07;KG/M²;2022
41;15;1572;JAHE;2.68;KG/M²;2022
42;15;1572;KENCUR;2.95;KG/M²;2022
43;15;1572;KUNYIT;3.93;KG/M²;2022
44;15;1572;LAOS;4.36;KG/M²;2022
45;15;1501;JAHE;4.45;KG/M²;2023
46;15;1501;KENCUR;3.35;KG/M²;2023
47;15;1501;KUNYIT;3.18;KG/M²;2023
48;15;1501;LAOS;3.67;KG/M²;2023
49;15;1502;JAHE;1.47;KG/M²;2023
50;15;1502;KENCUR;1.97;KG/M²;2023
51;15;1502;KUNYIT;1.68;KG/M²;2023
52;15;1502;LAOS;1.83;KG/M²;2023
53;15;1503;JAHE;1.39;KG/M²;2023
54;15;1503;KENCUR;1.3;KG/M²;2023
55;15;1503;KUNYIT;1.86;KG/M²;2023
56;15;1503;LAOS;1.61;KG/M²;2023
57;15;1504;JAHE;2.64;KG/M²;2023
58;15;1504;KENCUR;0;KG/M²;2023
59;15;1504;KUNYIT;2.87;KG/M²;2023
60;15;1504;LAOS;4.93;KG/M²;2023
61;15;1505;JAHE;0.72;KG/M²;2023
62;15;1505;KENCUR;0.55;KG/M²;2023
63;15;1505;KUNYIT;0.78;KG/M²;2023
64;15;1505;LAOS;1.07;KG/M²;2023
65;15;1506;JAHE;0.66;KG/M²;2023
66;15;1506;KENCUR;12.13;KG/M²;2023
67;15;1506;KUNYIT;6.71;KG/M²;2023
68;15;1506;LAOS;2.28;KG/M²;2023
69;15;1507;JAHE;3.5;KG/M²;2023
70;15;1507;KENCUR;1.85;KG/M²;2023
71;15;1507;KUNYIT;2.12;KG/M²;2023
72;15;1507;LAOS;6.9;KG/M²;2023
73;15;1508;JAHE;1.38;KG/M²;2023
74;15;1508;KENCUR;1;KG/M²;2023
75;15;1508;KUNYIT;1.59;KG/M²;2023
76;15;1508;LAOS;1.71;KG/M²;2023
77;15;1509;JAHE;1.09;KG/M²;2023
78;15;1509;KENCUR;1.11;KG/M²;2023
79;15;1509;KUNYIT;1.1;KG/M²;2023
80;15;1509;LAOS;1.11;KG/M²;2023
81;15;1571;JAHE;1.86;KG/M²;2023
82;15;1571;KENCUR;2.29;KG/M²;2023
83;15;1571;KUNYIT;0.96;KG/M²;2023
84;15;1571;LAOS;0.59;KG/M²;2023
85;15;1572;JAHE;4.51;KG/M²;2023
86;15;1572;KENCUR;2.88;KG/M²;2023
87;15;1572;KUNYIT;3.67;KG/M²;2023
88;15;1572;LAOS;4.61;KG/M²;2023
