 ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;kategori_industri;jenis_produk;jumlah_produksi;satuan;status;tahun
1;15;JAMBI;1502;150205;1502032018;RATNA;RATNA;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;17200;KG;AKTIF;2023
2;15;JAMBI;1502;150205;1503082004;ASNAWI;ASNAWI;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
3;15;JAMBI;1502;150205;1503082004;INDRA;INDRA;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
4;15;JAMBI;1502;150205;1503082004;DAHOM;WAHAB;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
5;15;JAMBI;1502;150205;1503082004;JA'FAR;JA'FAR;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
6;15;JAMBI;1502;150205;1503082004;M. YUSUF;M. YUSUF;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
7;15;JAMBI;1502;150205;1503082004;ABDULLAH;AHMAD;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
8;15;JAMBI;1502;150205;1503082004;BURHAN;BURHAN;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;2880;KG;AKTIF;2023
9;15;JAMBI;1502;150205;1503082004;A. KADIR;A. KADIR;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
10;15;JAMBI;1502;150205;1503082004;ARSYAD;ARSYAD;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
11;15;JAMBI;1502;150205;1503082004;YUSUF;YUSUF;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
12;15;JAMBI;1502;150205;1503082004;AMAD;AMAD;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;3750;KG;AKTIF;2023
13;15;JAMBI;1502;150205;1503082004;ISMAIL ;ISMAIL ;PO;10722;INDUSTRI GULA MERAH;INDUSTRI MAKANAN;GULA MERAH;1440;KG;AKTIF;2023
