kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian; jumlah_kerugian 
15;JAMBI;1572;157208;20/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1572;157208;20/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1572;157208;20/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1572;157208;20/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
15;JAMBI;1572;157208;20/01/2022;JIWA;JIWA;0; Rp- 
15;JAMBI;1508;150807;01/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150807;01/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150807;01/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150807;01/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
15;JAMBI;1508;150807;01/01/2022;JIWA;JIWA;0; Rp- 
15;JAMBI;1508;150813;01/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150813;01/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150813;01/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150813;01/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
15;JAMBI;1508;150813;01/01/2022;JIWA;JIWA;0; Rp- 
15;JAMBI;1508;150806;01/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150806;01/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150806;01/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150806;01/01/2022;KEPALA KELUARGA;JIWA;20; Rp- 
15;JAMBI;1508;150806;01/01/2022;JIWA;JIWA;90; Rp- 
15;JAMBI;1508;150810;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;KEPALA KELUARGA;JIWA;318; Rp- 
15;JAMBI;1508;150810;02/01/2022;JIWA;JIWA;1272; Rp- 
15;JAMBI;1508;150810;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;KEPALA KELUARGA;JIWA;64; Rp- 
15;JAMBI;1508;150810;02/01/2022;JIWA;JIWA;206; Rp- 
15;JAMBI;1508;150810;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150810;02/01/2022;KEPALA KELUARGA;JIWA;39; Rp- 
15;JAMBI;1508;150810;02/01/2022;JIWA;JIWA;185; Rp- 
15;JAMBI;1508;150802;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150802;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150802;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150802;02/01/2022;KEPALA KELUARGA;JIWA;350; Rp- 
15;JAMBI;1508;150802;02/01/2022;JIWA;JIWA;1097; Rp- 
15;JAMBI;1508;150802;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150802;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150802;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150802;02/01/2022;KEPALA KELUARGA;JIWA;13; Rp- 
15;JAMBI;1508;150802;02/01/2022;JIWA;JIWA;53; Rp- 
15;JAMBI;1508;150814;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;JIWA;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
15;JAMBI;1508;150814;02/01/2022;JIWA;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;KEPALA KELUARGA;JIWA;120; Rp- 
15;JAMBI;1508;150809;02/01/2022;JIWA;JIWA;483; Rp- 
15;JAMBI;1508;150809;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;KEPALA KELUARGA;JIWA;45; Rp- 
15;JAMBI;1508;150809;02/01/2022;JIWA;JIWA;87; Rp- 
15;JAMBI;1508;150809;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
15;JAMBI;1508;150809;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
