id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;kbli;jenis_industri;nama_perusahaan;tenaga_kerja;keterangan;kategori_perusahaan;satuan;tahun
1;15;JAMBI;1509;150902;1509022012;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL), TANDAN BUAH SEGAR KELAPA SAWIT;PT. SATYA KISMA USAHA TEBORA;116;SIINAS;B;PERUSAHAAN;2023
2;15;JAMBI;1509;150902;1509022012;1262;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL), TANDAN BUAH SEGAR KELAPA SAWIT;PT. SATYA KISMA USAHA TEBORA;116;SIINAS;B;PERUSAHAAN;2023
3;15;JAMBI;1509;150909;1509092003;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. SURYA SUMBER SAWIT ABADI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
4;15;JAMBI;1509;150908;1509082004;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. PERKEBUNAN NUSANTARA VI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
5;15;JAMBI;1509;150902;1503062010;10431;PABRIK KELAPA SAWIT, (CRUDE PALM OIL ( CPO );PT. PERSADA HARAPAN KAHURIPAN;60;SIINAS;B;PERUSAHAAN;2023
6;15;JAMBI;1509;150908;1509082005;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO), INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CPKO), PERKEBUNAN BUAH KELAPA SAWIT, PERDAGANGAN BESAR BUAH YANG MENGANDUNG MINYAK;PT. SELARAS MITRA SARIMBA;0;SIINAS;B;PERUSAHAAN;2023
7;15;JAMBI;1509;150905;1509052007;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL), INDUSTRI MINYAK MENTAH INTI KELAPA SAWIT (CRUDE PALM KERNEL OIL);PT. RIGUNAS AGRI UTAMA;93;AKTIF, SIINAS;B;PERUSAHAAN;2023
8;15;JAMBI;1509;150901;1502052007;10431;CPO;PT. TEBO PLASMA INTI LESTARI;130;AKTIF, SIINAS;B;PERUSAHAAN;2023
9;15;JAMBI;1507;150710;1507102001;10432;PABRIK MINYAK KELAPA SAWIT;PT. MUARA JAMBI SAWIT LESTARI;127;AKTIF, SIINAS;B;PERUSAHAAN;2023
10;15;JAMBI;1507;150701;1502142005;30111;INDUSTRI KAPAL DAN PERAHU;PT. BAHARI TEMBESI LESTARI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
11;15;JAMBI;1504;150407;1504072003;10432;PABRIK MINYAK KELAPA SAWIT;PT. ASIA SAWIT LESTARI;73;AKTIF, SIINAS;B;PERUSAHAAN;2023
12;15;JAMBI;1504;150504;1505042003;1262;PERKEBUNAN KELAPA SAWIT TERPADU DENGAN INDUSTRI PENGOLAHAN MENJADI MINYAK SAWIT (CPO) DAN INTI SAWIT (KERNEL);PT. BATANGHARI SAWIT SEJAHTERA;149;AKTIF, SIINAS;B;PERUSAHAAN;2023
13;15;JAMBI;1504;150401;1504012016;1262;PERKEBUNAN BUAH KELAPA SAWIT DAN INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. SAWIT JAMBI LESTARI;120;AKTIF, SIINAS;B;PERUSAHAAN;2023
14;15;JAMBI;1504;150401;1504012016;10431;PERKEBUNAN BUAH KELAPA SAWIT DAN INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. SAWIT JAMBI LESTARI;120;AKTIF, SIINAS;B;PERUSAHAAN;2023
15;15;JAMBI;1504;150406;1504062003;1262;PERKEBUNAN KELAPA SAWIT DAN INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. CITRA MULIA MANUNGGAL;0;SIINAS;B;PERUSAHAAN;2023
16;15;JAMBI;1504;150406;1504062003;10431;PERKEBUNAN KELAPA SAWIT DAN INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. CITRA MULIA MANUNGGAL;0;SIINAS;B;PERUSAHAAN;2023
17;15;JAMBI;1504;150407;1504072001;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO);PT. BERKAT SAWIT UTAMA;147;AKTIF, SIINAS;B;PERUSAHAAN;2023
18;15;JAMBI;1504;150408;1504082001;10431;INDUSTRI MINYAK MAKAN KELAPA SAWIT (CRUDE PALM OIL);PT. INTI INDOSAWIT SUBUR;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
19;15;JAMBI;1504;150404;1504041003;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO);PT. KEDATON MULIA PRIMAS;104;SIINAS;B;PERUSAHAAN;2023
20;15;JAMBI;1504;150404;1504042010;10431;INDUSTRI MINYAK MAKAN KELAPA SAWIT (CRUDE PALM OIL);PT. KURNIA BATANG HARI BERJAYA;182;AKTIF, SIINAS;B;PERUSAHAAN;2023
21;15;JAMBI;1504;150404;1504042004;10431;INDUSTRI MINYAK KELAPA SAWIT (CPO);PT. PERKEBUNAN NUSANTARA VI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
22;15;JAMBI;1508;150806;1508062006;22123;INDUSTRI KARET REMAH (CRUMB RUBBER);PT. ANUGRAH BUNGO LESTARI;163;SIINAS;B;PERUSAHAAN;2023
23;15;JAMBI;1508;150804;1508042004;10431;INDUSTRI PENGOLAHAN MINYAK MENTAH KELAPA SAWIT;PT. SAWIT JUJUHAN ABADI;0;AKTIF, SIINAS;B;PERUSAHAAN;2023
24;15;JAMBI;1508;150809;1502112007;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CPO);PT. MEGASAWINDO PERKASA POM;200;AKTIF, SIINAS;B;PERUSAHAAN;2023
25;15;JAMBI;1508;150811;1508111001;31003;INDUSTRI FURNITUR DARI PLASTIK, INDUSTRI FURNITUR LAINNYA;PT. BUNGO PERMAI LESTARI;0;SIINAS;B;PERUSAHAAN;2023
26;15;JAMBI;1508;150811;1508111001;31009;INDUSTRI FURNITUR DARI PLASTIK, INDUSTRI FURNITUR LAINNYA;PT. BUNGO PERMAI LESTARI;0;SIINAS;B;PERUSAHAAN;2023
27;15;JAMBI;1501;150109;1501192003;10763;INDUSTRI PENGOLAHAN TEH;PT. PERKEBUNAN NUSANTARA VI;1565;AKTIF, SIINAS;B;PERUSAHAAN;2023
28;15;JAMBI;1571;157105;1571051001;22123;INDUSTRI CRUMB RUBBER;PT. ANGKASA RAYA DJAMBI;323;SIINAS;B;PERUSAHAAN;2023
29;15;JAMBI;1571;157111;1571111001;0;-;PT. PT. KARYA CIPTA BUANA INDUSTRIAL;0;SIINAS;B;PERUSAHAAN;2023
30;15;JAMBI;1571;157102;1508131001;45301; (PERDAGANGAN BESAR SUKU CADANG DAN AKSESORI MOBIL ),(REPARASI MOBIL ), (PERDAGANGAN BESAR MOBIL BARU );PT. CITRA THAMRIN MOTOR;0;SIINAS;B;PERUSAHAAN;2023
31;15;JAMBI;1571;157102;1508131001;45201; (PERDAGANGAN BESAR SUKU CADANG DAN AKSESORI MOBIL ),(REPARASI MOBIL ), (PERDAGANGAN BESAR MOBIL BARU );PT. CITRA THAMRIN MOTOR;0;SIINAS;B;PERUSAHAAN;2023
32;15;JAMBI;1571;157102;1508131001;45101; (PERDAGANGAN BESAR SUKU CADANG DAN AKSESORI MOBIL ),(REPARASI MOBIL ), (PERDAGANGAN BESAR MOBIL BARU );PT. CITRA THAMRIN MOTOR;0;SIINAS;B;PERUSAHAAN;2023
33;15;JAMBI;1571;157107;1571071001;45201;(REPARASI MOBIL ), (PERDAGANGAN BESAR MOBIL BARU);PT. ASTRA INTERNATIONAL;0;SIINAS;B;PERUSAHAAN;2023
34;15;JAMBI;1571;157107;1571071001;45101;(REPARASI MOBIL ), (PERDAGANGAN BESAR MOBIL BARU);PT. ASTRA INTERNATIONAL;0;SIINAS;B;PERUSAHAAN;2023
35;15;JAMBI;1571;157107;1571101005;45201; (REPARASI MOBIL );PT. WILTOP AUTO;0;SIINAS;B;PERUSAHAAN;2023
36;15;JAMBI;1571;157111;1571111002;16211;(INDUSTRI PLYWOOD & VENEER );CV. RAJAWALI ALAM SEMESTA;221;SIINAS;B;PERUSAHAAN;2023
37;15;JAMBI;1571;157111;1571111005;31009; (INDUSTRI BARANG DARI KARET UNTUK KEPERLUAN RUMAH TANGGA );PT. CAHAYAMURNI ANGSODUO;121;AKTIF, SIINAS;B;PERUSAHAAN;2023
38;15;JAMBI;1571;157107;1571071005;10740;(INDUSTRI MAKARONI, MIE DAN PRODUK SEJENISNYA );TBK INDOFOOD CBP SUKSES MAKMUR TBK.;235;AKTIF, SIINAS;B;PERUSAHAAN;2023
39;15;JAMBI;1571;157105;1571051006;22123;(CRUMB RUBBER );PT. HADJI DJAMALOEDIN AND HADJI SHAMSOEDIN RUBBER REMILLING;268;AKTIF, SIINAS;B;PERUSAHAAN;2023
40;15;JAMBI;1571;157103;1571031001;22123; INDUSTRI KARET REMAH (CRUMB RUBBER);PT. BATANGHARI TEMBESI;266;AKTIF, SIINAS;B;PERUSAHAAN;2023
41;15;JAMBI;1571;157105;1571051006;22123; INDUSTRI KARET REMAH (CRUMB RUBBER);PT. DJAMBI WARAS;257;AKTIF, SIINAS;B;PERUSAHAAN;2023
