id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;no badan hukum;tanggal badan hukum;email;website;aktif;ketua;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun ind usaha;bulan;tahun
1;15;JAMBI;1508;150806;1505092004;Koperasi Cahaya Utama;6/BH/III/96;19/03/1996;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
2;15;JAMBI;1508;150806;1508062003;Koperasi Unit Desa Durian Rampak;318/BH/XV;10/01/1985;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
3;15;JAMBI;1508;150806;-;Koperasi Unit Desa Harapan Jaya;679/BH/XV;21/12/1995;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
4;15;JAMBI;1508;150806;1508062010;Koperasi Unit Desa Insun Medal;692/BH/XV;12/03/1986;-;-;TRUE;RUSMEN, A. MD;Primer Kabupaten/Kota;Produsen;KUD;PERTANIAN, KEHUTANAN DAN PERIKANAN;Cukup Berkualitas (CB);Belum Dinilai;0;0;2021;JANUARI;2023
5;15;JAMBI;1508;150806;1508092005;Koperasi San Mukti;574/BH/IV/84;02/04/1984;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
6;15;JAMBI;1508;150806;1508062008;Koperasi Pertanian Sumber Mitra;152/BH/XV;07/03/2001;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
7;15;JAMBI;1508;150806;1508062011;Koperasi Unit Desa Sumber U kita;690/BH/XV;03/03/1986;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
8;15;JAMBI;1508;150806;1508092011;Koperasi Unit Desa Tunas Kraya;684/BH/XV;27/07/1984;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
9;15;JAMBI;1508;150806;1508062008;Koperasi Karyawan Bumi Sari;702/BH/KWK.5/X/1995;10/10/1995;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
10;15;JAMBI;1508;150806;1508062003;Koperasi Simpan Pinjam Mitra Usaha Mandiri;168/BH/XV;10/06/2002;-;-;TRUE;-;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
11;15;JAMBI;1508;150806;1508062007;Koperasi Simpan Pinjam Harapan Utama;157/BH/XV;28/02/2002;-;-;TRUE;-;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
12;15;JAMBI;1508;150806;1508062001;Koperasi Simpan Pinjam Jaya Makmur;12/BH/XV;29/03/1999;-;-;TRUE;-;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
13;15;JAMBI;1508;150806;-;Koperasi Karyawan Palma Astra Lestari;37/BH/XV;17/10/1997;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
14;15;JAMBI;1508;150806;1508062002;Koperasi Pertanian Wono Winangun;134/BH/XV;07/05/2000;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
