id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;no badan hukum;tanggal badan hukum;email;website;aktif;ketua;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun ind usaha;bulan;tahun 
1;15;JAMBI;1504;150401;1504011001;Koperasi Kembang Paseban;500/BH/IX/96;23/09/1996;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Perkebunan;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
2;15;JAMBI;1504;150401;1504012004;Koperasi Perk Mulya Lestari;2/BH/X/00;31/10/2000;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
3;15;JAMBI;1504;150401;-;Koperasi Al-Himatul Ulya;34/BH/VII/00;30/07/2000;-;-;FALSE;-;Primer Kabupaten/Kota;Pemasaran;Kop. Pasar;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
4;15;JAMBI;1504;150401;1504012012;Koperasi Darusalam;26/BH/VII/00;12/07/2000;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Koppontren;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
5;15;JAMBI;1504;150401;1504012004;Koperasi Karya Sengkati;15/BH/XI/01;05/11/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
6;15;JAMBI;1504;150401;-;Koperasi Paseban Mandiri;10/BH/VI/01;05/06/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Perkebunan;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
7;15;JAMBI;1504;150401;1504012002;Koperasi Sari Makmur;16/BH/IV/99;22/04/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
8;15;JAMBI;1504;150401;1504012004;Koperasi Sengkati Mandiri;13/BH/IX/01;07/09/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Perkebunan;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
9;15;JAMBI;1504;150401;1504012007;Koperasi Setia Makmur;8/BH/VI01;30/05/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
10;15;JAMBI;1504;150401;1504011001;Koperasi Pegawai Negeri Hakatra;665/BH/XV;03/09/1985;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
11;15;JAMBI;1504;150401;1504012018;Koperasi Rizki Alam Bersamo;006444/BH/M.KUKM.2/XII/2017;06/12/2017;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
12;15;JAMBI;1504;150401;1504012007;KOPERASI PERKEBUNAN TUNAS HARAPAN JAYA;518/05/BH/DPPK/05;17/03/2005;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
13;15;JAMBI;1504;150401;1504012012;KOPERASI UNIT DESA SUMBER REZEKI;1047/BH/XV;01/07/1993;-;-;TRUE;MAHMUD;Primer Kabupaten/Kota;Produsen;KUD;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
14;15;JAMBI;1504;150401;1504011001;Koperasi Berkah Sukses Ardhatun;005468/BH/M.KUKM.2/X/2017;02/10/2017;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
15;15;JAMBI;1504;150401;1504011001;KOPERASI JASA SINAR MERSAM ABADI;AHU-0004279.AH.01.26.TAHUN 2020;20/07/2020;-;-;TRUE;-;Primer Kabupaten/Kota;Jasa;Kop. Lainnya;PERTANIAN BIJI-BIJIAN PENGHASIL MINYAK MAKAN;-;-;0;0;-;JANUARI;2023
16;15;JAMBI;1504;150401;1504011001;KOPERASI MEKAR SAKTI PASEBAN;518/02/BH/DPPK/2003;17/01/2003;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
17;15;JAMBI;1504;150401;1504011001;KOPERASI BERNAI ARO;02/BH/VI.5/2012;21/02/2012;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
18;15;JAMBI;1504;150401;1504011001;KOPERASI SUNGAI PELUMPUNG;19 TAHUN  2015;02/01/2015;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
