id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;no badan hukum;tanggal badan hukum;email;website;aktif;ketua;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun ind usaha;bulan;tahun
1;15;JAMBI;1501;150101;1501011004;Koperasi Serba Usaha Rajo Tani;400/Kep.397/VI.6/2013;17/09/2013;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
2;15;JAMBI;1501;150101;1501011004;Koperasi Serba Usaha Anak Anum;559/BH/PAD/KWK.5/IX/1996;28/09/1996;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
3;15;JAMBI;1501;150101;1501012013;Koperasi Serba Usaha Alai sakti;31/BH/KDK.55/VIII/99;04/08/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
4;15;JAMBI;1501;150101;1501012006;Koperasi Pemasaran Rawa Indah Tuntas;009334/BH/M.KUKM.2/VIII/2018;15/08/2018;-;-;TRUE;H.ADRIANUS RUSDI;Primer Kabupaten/Kota;Pemasaran;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
5;15;JAMBI;1501;150101;1501011004;Koperasi Pegawai Negeri SMPN Lempur;239/BH/XV;30/09/1996;smplempur@gmail.com;-;TRUE;ARLIS, SPD;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;Cukup Berkualitas (CB);Cukup Sehat;16;10;2020;JANUARI;2023
6;15;JAMBI;1501;150101;1501011004;KOPERASI PRODUSEN AGROFORESTRY GOENOENG RAJA KOERINTJI;AHU-0000187.AH.01.29.TAHUN 2023;12/01/2023;-;-;TRUE;DAMRI;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
7;15;JAMBI;1501;150107;1501072008;koperasi Mersi Paku Wojo;400/Kep.430/VI.6/2011;11/11/2011;-;-;TRUE; AHMAD YANI ;Primer Kabupaten/Kota;Pemasaran;Kop. Perkebunan;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
8;15;JAMBI;1501;150107;1501072010;Koperasi Serba Usaha Bumi Rencong Telang;23/BH/kdk.55/VI/99;04/06/1999;-;-;FALSE;"BUSTAMI ILYAS			";Primer Kabupaten/Kota;Produsen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
9;15;JAMBI;1501;150107;1501072011;KOPERASI PRODUSEN LONGKA ALAM SAKTI;AHU-0000194.AH.01.29.TAHUN 2023;12/01/2023;-;-;TRUE;SAPRIYAWAN;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
10;15;JAMBI;1501;150107;1501072007;Koperasi Produksi Robusta Jaya Tuntas;007529/BH/M.KUKM.2/II/2018;27/01/2018;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Perkebunan;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
