id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;no badan hukum;tanggal badan hukum;email;website;aktif;ketua;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun ind usaha;bulan;tahun
1;15;JAMBI;1571;157107;1571071004;Koperasi Akper;38/BH/IX/81;09/09/1981;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
2;15;JAMBI;1571;157107;1571091001;Koperasi Batangahri Pos;2/BH/II/98;02/02/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
3;15;JAMBI;1571;157107;1507112005;Koperasi Berdikari;128/BH/IX/01;09/09/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
4;15;JAMBI;1571;157107;1571071002;Koperasi Bima Sakti;722/BH/VIII/86;08/08/1986;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
5;15;JAMBI;1571;157107;-;Koperasi Karyawan Bina Karyawan;15/BH/KDK.56/98;01/01/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
6;15;JAMBI;1571;157107;1571071002;Koperasi Karya Nakerdukpil;455.A/BH/XV/1987;01/01/1987;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
7;15;JAMBI;1571;157107;1571071004;Koperasi Karya Abadi ( P. Agama );1049/BH/VII/94;07/07/1994;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
8;15;JAMBI;1571;157107;1571071005;Koperasi Kenali Indah;803/BH/II/88;02/02/1988;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
9;15;JAMBI;1571;157107;-;Koperasi Jasa Keuangan Syariah Baitul Maal Wattamwil Al-Amanah;75/BH/KWK.5/IX/95;09/09/1995;-;-;FALSE;-;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam dan Pembiayaan Syariah;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
10;15;JAMBI;1571;157107;-;Koperasi AI Jannah;28/BH/VII/01;07/07/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
11;15;JAMBI;1571;157107;1571071004;Koperasi Balitbangda;32/BH/IX/01;09/09/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
12;15;JAMBI;1571;157107;1571071004;Koperasi Bdn Kes Bangsa;36/BH/X/02;10/10/2002;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
13;15;JAMBI;1571;157107;1571091001;Koperasi Beradat;31/BH/X/98;10/10/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
14;15;JAMBI;1571;157107;1571071001;Koperasi Bhakti Abadi;16/BH/VI/00;06/06/2000;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Wredatama;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
15;15;JAMBI;1571;157107;1571071006;Koperasi Cempaka Mina;21/BH/KDK.56/X/98;03/10/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Nelayan;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
16;15;JAMBI;1571;157107;-;Koperasi Dasa Dharma Ranting;6/BH/III/00;03/03/2000;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Veteran;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
17;15;JAMBI;1571;157107;1507112005;Koperasi Gita Wirausaha;63/BH/KDK.56/V/99;05/05/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
18;15;JAMBI;1571;157107;1571071012;Koperasi Harapan Maju;45/BH/KDK.56/IV/99;09/04/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
19;15;JAMBI;1571;157107;-;Koperasi Jaya Lestari;48/BH/KDK.56/IV/99;12/04/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
20;15;JAMBI;1571;157107;1571071002;Koperasi Jhudiramolfa;53/BH/KDK.56/IV/99;30/04/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
21;15;JAMBI;1571;157107;1571071001;Koperasi Karya Bangun Bangsa;65/BH/KDK.56/V/99;12/05/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
22;15;JAMBI;1571;157107;1571071005;Koperasi Karya Jasa Kota Jambi;30/BH/KDK.56/III/99;11/03/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
23;15;JAMBI;1571;157107;1571091001;Koperasi Karya Maju;36/BH/DISPERINDAGKOP/XI/2001;12/11/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
24;15;JAMBI;1571;157107;1571071006;Koperasi Kenari Indah;107/BH/X/99;10/10/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Kepolisian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
25;15;JAMBI;1571;157107;-;Koperasi Mahatidana;8/BH/III/98;03/03/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
26;15;JAMBI;1571;157107;1571071002;Koperasi Maju Jaya;4/BH/KDK.56/III/00;15/03/2000;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
27;15;JAMBI;1571;157107;1571071002;Koperasi Mayang Permai;51/BH/KDK.56/IV/99;29/04/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
28;15;JAMBI;1571;157107;1571091001;Koperasi Mekar Sari;02/BH/KDK.56/I/2001;03/01/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JANUARI;2023
29;15;JAMBI;1571;157107;1571071006;Koperasi Mesjid Darus Salam;74/BH/VI/99;06/06/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Angkatan Darat;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
30;15;JAMBI;1571;157107;1571071006;Koperasi Mesjid Nurul Islam;69/BH/V/99;05/05/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kopinkra;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
31;15;JAMBI;1571;157107;1571071004;Koperasi Pedagang Sembako Jbi;6/BH/VIII/98;08/08/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
32;15;JAMBI;1571;157107;1571071004;Koperasi Pinang Merah DPRD Kota;113/BH/XII/99;12/12/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
33;15;JAMBI;1571;157107;1571071002;Koperasi Putra Dhinar;83/BH/KDK.56/VII/99;03/07/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
34;15;JAMBI;1571;157107;-;Koperasi PWI;922/BH/VI/91;06/06/1991;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
35;15;JAMBI;1571;157107;-;Koperasi Rawasari;20/BH/X/98;10/10/1998;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kopkar;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JANUARI;2023
36;15;JAMBI;1571;157107;1507112005;Koperasi Rembulan;55/BH/KDK.56/I/99;05/01/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JANUARI;2023
37;15;JAMBI;1571;157107;1571071006;Koperasi Serba Guna;30/BH/IX/01;09/09/2001;-;-;FALSE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JANUARI;2023
38;15;JAMBI;1571;157107;1571071004;Koperasi Pegawai Negeri Serba Prima;73/BH/KWK.5/XII/94;27/05/1994;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JANUARI;2023
