NO;kode_provinsi;kode_kabupaten_kota;nama;jumlah_produksi;satuan;tahun
1;15;1501;PADI;87517.43;TON;2022
2;15;1501;JANGUNG;4459.33;TON;2022
3;15;1501;KEDELAI;66.44;TON;2022
4;15;1501;KACANG TANAH;1406.33;TON;2022
5;15;1501;KACANG HIJAU;11.9;TON;2022
6;15;1501;UBI KAYU;7865.72;TON;2022
7;15;1501;UBI JALAR;28200.61;TON;2022
8;15;1502;PADI;23019.21;TON;2022
9;15;1502;JANGUNG;3758.22;TON;2022
10;15;1502;KEDELAI;222.81;TON;2022
11;15;1502;KACANG TANAH;460.29;TON;2022
12;15;1502;KACANG HIJAU;20.1;TON;2022
13;15;1502;UBI KAYU;11375.81;TON;2022
14;15;1502;UBI JALAR;6327.64;TON;2022
15;15;1503;PADI;13470.68;TON;2022
16;15;1503;JANGUNG;644.1;TON;2022
17;15;1503;KEDELAI;13.57;TON;2022
18;15;1503;KACANG TANAH;103.45;TON;2022
19;15;1503;KACANG HIJAU;10.6;TON;2022
20;15;1503;UBI KAYU;4143.55;TON;2022
21;15;1503;UBI JALAR;397.3;TON;2022
22;15;1504;PADI;22383.81;TON;2022
23;15;1504;JANGUNG;1231.02;TON;2022
24;15;1504;KEDELAI;97.47;TON;2022
25;15;1504;KACANG TANAH;256.15;TON;2022
26;15;1504;KACANG HIJAU;3;TON;2022
27;15;1504;UBI KAYU;3716.98;TON;2022
28;15;1504;UBI JALAR;700.79;TON;2022
29;15;1505;PADI;18599.51;TON;2022
30;15;1505;JANGUNG;2060.76;TON;2022
31;15;1505;KEDELAI;21.14;TON;2022
32;15;1505;KACANG TANAH;218.76;TON;2022
33;15;1505;KACANG HIJAU;1;TON;2022
34;15;1505;UBI KAYU;2480.75;TON;2022
35;15;1505;UBI JALAR;849.12;TON;2022
36;15;1506;PADI;24562.32;TON;2022
37;15;1506;JANGUNG;6326.32;TON;2022
38;15;1506;KEDELAI;208.27;TON;2022
39;15;1506;KACANG TANAH;131.58;TON;2022
40;15;1506;KACANG HIJAU;0;TON;2022
41;15;1506;UBI KAYU;2042.39;TON;2022
