id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal badan hukum;aktif;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun_industri_usaha;bulan
1;15;JAMBI;1501;150101;1501011004;KOPERASI SERBA USAHA RAJO TANI;9/17/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
2;15;JAMBI;1501;150101;1501012013;KOPERASI SERBA USAHA ANAK ANUM;9/28/1996;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JUNI
3;15;JAMBI;1501;150101;1501012013;KOPERASI SERBA USAHA ALAI SAKTI;8/4/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
4;15;JAMBI;1501;150101;1501012006;KOPERASI PEMASARAN RAWA INDAH TUNTAS;8/15/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
5;15;JAMBI;1501;150101;1501011004;KOPERASI PEGAWAI NEGERI SMPN LEMPUR;9/30/1996;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
6;15;JAMBI;1501;150101;1501011004;KOPERASI PRODUSEN AGROFORESTRY GOENOENG RAJA KOERINTJI;1/12/2023;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;INDUSTRI PENGOLAHAN KOPI;-;-;0;0;-;JUNI
7;15;JAMBI;1501;150107;1501072008;KOPERASI MERSI PAKU WOJO;11/11/2011;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Perkebunan;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
8;15;JAMBI;1501;150107;1501072010;KOPERASI SERBA USAHA BUMI RENCONG TELANG;6/4/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JUNI
9;15;JAMBI;1501;150107;1501072011;KOPERASI PRODUSEN LONGKA ALAM SAKTI;1/12/2023;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;INDUSTRI PENGOLAHAN KOPI;-;-;0;0;-;JUNI
10;15;JAMBI;1501;150107;1501072007;KOPERASI PRODUKSI ROBUSTA JAYA TUNTAS;1/27/2018;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Perkebunan;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
11;15;JAMBI;1501;150107;1501072004;KOPERASI JAYA BERSAMA;5/24/2010;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
