id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;jumlah_puting_beliung;tahun
1;15;JAMBI;1504;150407;25;2022
2;15;JAMBI;1504;150406;0;2022
3;15;JAMBI;1504;150401;0;2022
4;15;JAMBI;1504;150403;150;2022
5;15;JAMBI;1504;150405;50;2022
6;15;JAMBI;1508;150811;0;2022
7;15;JAMBI;1508;150810;25;2022
8;15;JAMBI;1501;150105;0;2022
9;15;JAMBI;1501;150121;0;2022
10;15;JAMBI;1501;150111;0;2022
11;15;JAMBI;1501;150102;50;2022
12;15;JAMBI;1501;150123;0;2022
13;15;JAMBI;1501;150119;0;2022
14;15;JAMBI;1501;150116;0;2022
15;15;JAMBI;1501;150118;0;2022
16;15;JAMBI;1572;157202;50;2022
17;15;JAMBI;1572;157208;25;2022
18;15;JAMBI;1502;150202;25;2022
19;15;JAMBI;1502;150210;25;2022
20;15;JAMBI;1502;150206;25;2022
21;15;JAMBI;1502;150204;25;2022
22;15;JAMBI;1502;150214;25;2022
23;15;JAMBI;1505;150509;0;2022
24;15;JAMBI;1505;150501;0;2022
25;15;JAMBI;1505;150506;0;2022
26;15;JAMBI;1505;150505;25;2022
27;15;JAMBI;1505;150507;0;2022
28;15;JAMBI;1505;150508;0;2022
29;15;JAMBI;1506;150603;0;2022
30;15;JAMBI;1506;150602;0;2022
31;15;JAMBI;1506;150601;0;2022
32;15;JAMBI;1507;150706;25;2022
33;15;JAMBI;1507;150708;25;2022
34;15;JAMBI;1507;150703;0;2022
35;15;JAMBI;1507;150701;0;2022
36;15;JAMBI;1509;150904;25;2022
37;15;JAMBI;1509;150907;25;2022
38;15;JAMBI;1509;150903;0;2022
39;15;JAMBI;1504;150407;0;2023
40;15;JAMBI;1504;150406;0;2023
41;15;JAMBI;1504;150401;0;2023
42;15;JAMBI;1504;150403;20;2023
43;15;JAMBI;1504;150405;0;2023
44;15;JAMBI;1508;150811;25;2023
45;15;JAMBI;1508;150810;0;2023
46;15;JAMBI;1501;150105;75;2023
47;15;JAMBI;1501;150121;25;2023
48;15;JAMBI;1501;150111;25;2023
49;15;JAMBI;1501;150102;0;2023
50;15;JAMBI;1501;150123;0;2023
51;15;JAMBI;1501;150119;25;2023
52;15;JAMBI;1501;150116;25;2023
53;15;JAMBI;1501;150118;25;2023
54;15;JAMBI;1572;157202;20;2023
55;15;JAMBI;1572;157208;0;2023
56;15;JAMBI;1502;150202;0;2023
57;15;JAMBI;1502;150210;0;2023
58;15;JAMBI;1502;150206;0;2023
59;15;JAMBI;1502;150204;0;2023
60;15;JAMBI;1502;150214;0;2023
61;15;JAMBI;1505;150509;25;2023
62;15;JAMBI;1505;150501;50;2023
63;15;JAMBI;1505;150506;0;2023
64;15;JAMBI;1505;150505;25;2023
65;15;JAMBI;1505;150507;25;2023
66;15;JAMBI;1505;150508;0;2023
67;15;JAMBI;1506;150603;25;2023
68;15;JAMBI;1506;150602;25;2023
69;15;JAMBI;1506;150601;25;2023
70;15;JAMBI;1507;150706;0;2023
71;15;JAMBI;1507;150708;0;2023
72;15;JAMBI;1507;150703;50;2023
73;15;JAMBI;1507;150701;0;2023
74;15;JAMBI;1509;150904;0;2023
75;15;JAMBI;1509;150907;75;2023
76;15;JAMBI;1509;150903;25;2023
77;15;JAMBI;1504;150407;0;2024
78;15;JAMBI;1504;150406;40;2024
79;15;JAMBI;1504;150401;80;2024
80;15;JAMBI;1504;150403;20;2024
81;15;JAMBI;1504;150405;0;2024
82;15;JAMBI;1508;150811;0;2024
83;15;JAMBI;1508;150810;0;2024
84;15;JAMBI;1501;150105;0;2024
85;15;JAMBI;1501;150121;0;2024
86;15;JAMBI;1501;150111;0;2024
87;15;JAMBI;1501;150102;0;2024
88;15;JAMBI;1501;150123;20;2024
89;15;JAMBI;1501;150119;0;2024
90;15;JAMBI;1501;150116;0;2024
91;15;JAMBI;1501;150118;0;2024
92;15;JAMBI;1572;157202;0;2024
93;15;JAMBI;1572;157208;0;2024
94;15;JAMBI;1502;150202;0;2024
95;15;JAMBI;1502;150210;0;2024
96;15;JAMBI;1502;150206;0;2024
97;15;JAMBI;1502;150204;0;2024
98;15;JAMBI;1502;150214;0;2024
99;15;JAMBI;1505;150509;0;2024
100;15;JAMBI;1505;150501;0;2024
101;15;JAMBI;1505;150506;20;2024
102;15;JAMBI;1505;150505;0;2024
103;15;JAMBI;1505;150507;0;2024
104;15;JAMBI;1505;150508;20;2024
105;15;JAMBI;1506;150603;0;2024
106;15;JAMBI;1506;150602;0;2024
107;15;JAMBI;1506;150601;0;2024
108;15;JAMBI;1507;150706;20;2024
109;15;JAMBI;1507;150708;0;2024
110;15;JAMBI;1507;150703;0;2024
111;15;JAMBI;1507;150701;20;2024
112;15;JAMBI;1509;150904;0;2024
113;15;JAMBI;1509;150907;0;2024
114;15;JAMBI;1509;150903;0;2024
115;15;JAMBI;;;;
116;15;JAMBI;;;;
117;15;JAMBI;;;;
118;15;JAMBI;;;;
119;15;JAMBI;;;;
120;15;JAMBI;;;;
121;15;JAMBI;;;;
122;15;JAMBI;;;;
123;15;JAMBI;;;;
124;15;JAMBI;;;;
125;15;JAMBI;;;;
126;15;JAMBI;;;;
127;15;JAMBI;;;;
128;15;JAMBI;;;;
129;15;JAMBI;;;;
130;15;JAMBI;;;;
131;15;JAMBI;;;;
132;15;JAMBI;;;;
133;15;JAMBI;;;;
134;15;JAMBI;;;;
135;15;JAMBI;;;;
136;15;JAMBI;;;;
137;15;JAMBI;;;;
138;15;JAMBI;;;;
139;15;JAMBI;;;;
140;15;JAMBI;;;;
141;15;JAMBI;;;;
142;15;JAMBI;;;;
143;15;JAMBI;;;;
144;15;JAMBI;;;;
145;15;JAMBI;;;;
146;15;JAMBI;;;;
147;15;JAMBI;;;;
148;15;JAMBI;;;;
149;15;JAMBI;;;;
150;15;JAMBI;;;;
151;15;JAMBI;;;;
152;15;JAMBI;;;;
153;15;JAMBI;;;;
154;15;JAMBI;;;;
155;15;JAMBI;;;;
156;15;JAMBI;;;;
157;15;JAMBI;;;;
158;15;JAMBI;;;;
159;15;JAMBI;;;;
160;15;JAMBI;;;;
161;15;JAMBI;;;;
162;15;JAMBI;;;;
163;15;JAMBI;;;;
164;15;JAMBI;;;;
165;15;JAMBI;;;;
166;15;JAMBI;;;;
167;15;JAMBI;;;;
168;15;JAMBI;;;;
169;15;JAMBI;;;;
170;15;JAMBI;;;;
171;15;JAMBI;;;;
172;15;JAMBI;;;;
173;15;JAMBI;;;;
174;15;JAMBI;;;;
175;15;JAMBI;;;;
