id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian; jumlah_kerugian 
1;15;JAMBI;1507;150708;25/04/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
2;15;JAMBI;1507;150708;25/04/2022;LUKA BERAT;JIWA;0; Rp- 
3;15;JAMBI;1507;150708;25/04/2022;LUKA RINGAN;JIWA;0; Rp- 
4;15;JAMBI;1507;150708;25/04/2022;RUSAK TOTAL;UNIT;0; Rp- 
5;15;JAMBI;1507;150708;25/04/2022;RUMAH RUSAK BERAT;UNIT;4; Rp- 
6;15;JAMBI;1507;150708;25/04/2022;RUMAH RUSAK RINGAN;UNIT;1; Rp- 
7;15;JAMBI;1507;150708;25/04/2022;TERGENANG;UNIT;0; Rp- 
8;15;JAMBI;1507;150708;25/04/2022;TERENDAM;UNIT;0; Rp- 
9;15;JAMBI;1507;150708;25/04/2022;KIOS;UNIT;0; Rp- 
10;15;JAMBI;1507;150708;25/04/2022;BANGUNAN LAIN;UNIT;0; Rp- 
11;15;JAMBI;1507;150708;25/04/2022;KEPALA KELUARGA;JIWA;6; Rp- 
12;15;JAMBI;1507;150708;25/04/2022;JIWA;JIWA;22; Rp- 
13;15;JAMBI;1507;150708;25/04/2022;SEKOLAH;UNIT;0; Rp- 
14;15;JAMBI;1507;150708;25/04/2022;KANTOR;UNIT;0; Rp- 
15;15;JAMBI;1507;150708;25/04/2022;TEMPAT IBADAH;JIWA;0; Rp- 
16;15;JAMBI;1507;150708;25/04/2022;SARANA KESEHATAN;UNIT;0; Rp- 
17;15;JAMBI;1507;150708;25/04/2022;PASAR;UNIT;0; Rp- 
18;15;JAMBI;1507;150708;25/04/2022;JEMBATAN;UNIT;0; Rp- 
19;15;JAMBI;1507;150708;25/04/2022;JALAN;TITIK;0; Rp- 
20;15;JAMBI;1507;150708;25/04/2022;JALAN;KM;0; Rp- 
21;15;JAMBI;1507;150708;25/04/2022;IRIGASI;HA;0; Rp- 
22;15;JAMBI;1507;150708;25/04/2022;KEBUN;HEKTAR;0; Rp- 
23;15;JAMBI;1507;150708;25/04/2022;KOLAM;HA;0; Rp- 
