id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kebakaran
1;15;JAMBI;1501;150118;13/02/2022;KEBUN;HEKTAR;0,5
2;15;JAMBI;1501;150111;15/02/2022;KEBUN;HEKTAR;1,5
3;15;JAMBI;1501;150111;16/02/2022;KEBUN;HEKTAR;1
4;15;JAMBI;1572;157208;26/03/2022;KEBUN;HEKTAR;1
5;15;JAMBI;1572;157202;27/03/2022;KEBUN;HEKTAR;0,5
6;15;JAMBI;1572;157208;29/03/2022;KEBUN;HEKTAR;0,5
7;15;JAMBI;1572;157208;31/03/2022;KEBUN;HEKTAR;1,5
8;15;JAMBI;1501;150118;23/03/2022;LAHAN TIDUR;HEKTAR;0,5
9;15;JAMBI;1501;150122;28/03/2022;KEBUN;HEKTAR;0,25
10;15;JAMBI;1572;157208;02/04/2022;KEBUN;HEKTAR;2,5
11;15;JAMBI;1572;157208;02/04/2022;KEBUN;HEKTAR;1
12;15;JAMBI;1501;150122;03/04/2022;KEBUN;HEKTAR;1
13;15;JAMBI;1505;150503;16/05/2022;KEBUN;HEKTAR;5
14;15;JAMBI;1505;150504;12/08/2022;KEBUN;HEKTAR;0,4
15;15;JAMBI;1505;150503;18/08/2022;KEBUN;HEKTAR;5
16;15;JAMBI;1506;150607;12/08/2022;KEBUN;HEKTAR;2
17;15;JAMBI;1506;150612;15/08/2022;KEBUN;HEKTAR;1
18;15;JAMBI;1506;150606;19/08/2022;KEBUN;HEKTAR;1
19;15;JAMBI;1506;150604;21/08/2022;KEBUN;HEKTAR;1
20;15;JAMBI;1505;150504;12/08/2022;KEBUN;HEKTAR;0,4
21;15;JAMBI;1505;150503;18/08/2022;KEBUN;HEKTAR;5
22;15;JAMBI;1506;150607;12/08/2022;KEBUN;HEKTAR;2
23;15;JAMBI;1506;150612;15/08/2022;KEBUN;HEKTAR;1
24;15;JAMBI;1506;150606;19/08/2022;KEBUN;HEKTAR;1
25;15;JAMBI;1506;150604;21/08/2022;KEBUN;HEKTAR;1
26;15;JAMBI;1504;150401;13/12/2022;RUMAH RUSAK BERAT;UNIT;3
27;15;JAMBI;1504;150401;13/12/2022;KEPALA KELUARGA;JIWA;3
28;15;JAMBI;1504;150401;13/12/2022;JIWA;JIWA;7
29;15;JAMBI;1504;150401;13/12/2022;KEBUN;HEKTAR;5
30;15;JAMBI;1501;150111;20/12/2022;KEBUN;HEKTAR;5
31;15;JAMBI;1572;157202;22/12/2022;KEBUN;HEKTAR;0,5
32;15;JAMBI;1501;150111;25/12/2022;KEBUN;HEKTAR;5
33;15;JAMBI;1508;150817;08/01/2023;KEBUN;HEKTAR;1
34;15;JAMBI;1505;150505;05/02/2023;LAHAN TIDUR;HEKTAR;1 ha
35;15;JAMBI;1505;150502;09/02/2023;MENINGGAL DUNIA;JIWA;1
36;15;JAMBI;1505;150502;09/02/2023;LAHAN TIDUR;HEKTAR;15x50m
37;15;JAMBI;1504;150401;17/06/2023;KEBUN/HUTAN;HA;1
38;15;JAMBI;1504;150504;18/06/2023;KEBUN/HUTAN;HA;1
39;15;JAMBI;1504;150402;24/06/2023;KEBUN/HUTAN;HA;1
40;15;JAMBI;1504;150402;24/06/2023;KEBUN/HUTAN;HA;1
41;15;JAMBI;1504;150403;25/06/2023;KEBUN/HUTAN;HA;1
42;15;JAMBI;1504;150403;30/06/2023;KEBUN/HUTAN;HA;1
43;15;JAMBI;1504;150407;16/07/2023;KEBUN/HUTAN;HA;1,5
44;15;JAMBI;1504;150407;27/07/2023;RUMAH RUSAK BERAT;UNIT;1
45;15;JAMBI;1504;150407;27/07/2023;KEBUN/HUTAN;HA;1
46;15;JAMBI;1504;150403;29/07/2023;KEBUN/HUTAN;HA;1
47;15;JAMBI;1504;150405;29/07/2023;KEBUN/HUTAN;HA;2
48;15;JAMBI;1504;150403;30/07/2023;KEBUN/HUTAN;HA;2
49;15;JAMBI;1504;150401;31/07/2023;KEBUN/HUTAN;HA;1
50;15;JAMBI;1504;150402;31/07/2023;KEBUN/HUTAN;HA;0,1
51;15;JAMBI;1504;150403;31/07/2023;KEBUN/HUTAN;HA;0,5
52;15;JAMBI;1504;150403;31/07/2023;KEBUN/HUTAN;HA;9
53;15;JAMBI;1506;150607;25/07/2023;KEBUN/HUTAN;HA;0,6
54;15;JAMBI;1506;150601;29/07/2023;KEBUN/HUTAN;HA;2
55;15;JAMBI;1502;150210;12/08/2023;KEBUN/HUTAN;HA;1
56;15;JAMBI;1508;150813;12/08/2023;RUMAH RUSAK BERAT;UNIT;1
57;15;JAMBI;1504;150403;01/08/2023;SAWAH;HA;45414
58;15;JAMBI;1504;150404;05/08/2023;SAWAH;HA;30
59;15;JAMBI;1504;150405;10/08/2023;SAWAH;HA;2
60;15;JAMBI;1504;150403;10/08/2023;SAWAH;HA;20
61;15;JAMBI;1504;150403;11/08/2023;SAWAH;HA;20
62;15;JAMBI;1504;150403;24/08/2023;SAWAH;HA;4
63;15;JAMBI;1504;150403;25/08/2023;SAWAH;HA;45413
64;15;JAMBI;1507;150706;01/08/2023;IRIGASI;HA;0,5
65;15;JAMBI;1507;150705;01/08/2023;IRIGASI;HA;2
66;15;JAMBI;1507;150705;01/08/2023;IRIGASI;HA;3
67;15;JAMBI;1507;150709;02/08/2023;IRIGASI;HA;0,7
68;15;JAMBI;1507;150709;13/08/2023;RUMAH RUSAK BERAT;UNIT;1
69;15;JAMBI;1507;150702;28/08/2023;RUMAH RUSAK BERAT;UNIT;2
70;15;JAMBI;1502;150208;26/09/2023;KEBUN/HUTAN;HA;1
71;15;JAMBI;1502;150202;27/09/2023;KEBUN/HUTAN;HA;1,5
72;15;JAMBI;1502;150211;27/09/2023;KEBUN/HUTAN;HA;1,5
73;15;JAMBI;1502;150211;30/09/2023;KEBUN/HUTAN;HA;1,5
74;15;JAMBI;1502;150203;30/09/2023;KEBUN/HUTAN;HA;1,5
75;15;JAMBI;1501;150101;11/09/2023;KEBUN/HUTAN;HA;2,5
76;15;JAMBI;1501;150111;12/09/2023;KEBUN/HUTAN;HA;5
77;15;JAMBI;1501;150120;13/09/2023;KEBUN/HUTAN;HA;2
78;15;JAMBI;1504;150403;01/09/2023;KEBUN/HUTAN;HA;20
79;15;JAMBI;1504;150401;02/09/2023;KEBUN/HUTAN;HA;0,24
80;15;JAMBI;1504;150403;02/09/2023;KEBUN/HUTAN;HA;0,5
81;15;JAMBI;1504;150403;02/09/2023;KEBUN/HUTAN;HA;2
82;15;JAMBI;1504;150403;03/09/2023;KEBUN/HUTAN;HA;1
83;15;JAMBI;1504;150407;08/09/2023;KEBUN/HUTAN;HA;1
84;15;JAMBI;1504;150407;13/09/2023;KEBUN/HUTAN;HA;2
85;15;JAMBI;1504;150407;14/09/2023;KEBUN/HUTAN;HA;2
86;15;JAMBI;1504;150403;15/09/2023;KEBUN/HUTAN;HA;10
87;15;JAMBI;1504;150403;16/09/2023;KEBUN/HUTAN;HA;2
88;15;JAMBI;1504;150403;17/09/2023;KEBUN/HUTAN;HA;0,4
89;15;JAMBI;1504;150402;18/09/2023;KEBUN/HUTAN;HA;1,5
90;15;JAMBI;1504;150403;18/09/2023;KEBUN/HUTAN;HA;5
91;15;JAMBI;1504;150403;20/09/2023;KEBUN/HUTAN;HA;2
92;15;JAMBI;1504;150403;24/09/2023;KEBUN/HUTAN;HA;0,15
93;15;JAMBI;1504;150402;24/09/2023;KEBUN/HUTAN;HA;5
94;15;JAMBI;1504;150402;25/09/2023;KEBUN/HUTAN;HA;3
95;15;JAMBI;1504;150403;26/09/2023;KEBUN/HUTAN;HA;6
96;15;JAMBI;1504;150406;26/09/2023;KEBUN/HUTAN;HA;1,5
97;15;JAMBI;1504;150406;27/09/2023;KEBUN/HUTAN;HA;4
98;15;JAMBI;1504;150407;27/09/2023;KEBUN/HUTAN;HA;15
99;15;JAMBI;1504;150403;27/09/2023;KEBUN/HUTAN;HA;5
100;15;JAMBI;1504;150403;28/09/2023;KEBUN/HUTAN;HA;0,25
101;15;JAMBI;1504;150403;28/09/2023;KEBUN/HUTAN;HA;1
102;15;JAMBI;1504;150403;29/09/2023;KEBUN/HUTAN;HA;5
103;15;JAMBI;1504;150405;30/09/2023;KEBUN/HUTAN;HA;3
