id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian
1;15;JAMBI;1508;150807;01/01/2022;MENINGGAL DUNIA;JIWA;0
2;15;JAMBI;1508;150807;01/01/2022;LUKA BERAT;JIWA;0
3;15;JAMBI;1508;150807;01/01/2022;LUKA RINGAN;JIWA;0
4;15;JAMBI;1508;150807;01/01/2022;RUSAK TOTAL;UNIT;0
5;15;JAMBI;1508;150807;01/01/2022;RUMAH RUSAK BERAT;UNIT;0
6;15;JAMBI;1508;150807;01/01/2022;RUMAH RUSAK RINGAN;UNIT;0
7;15;JAMBI;1508;150807;01/01/2022;TERGENANG;UNIT;0
8;15;JAMBI;1508;150807;01/01/2022;TERENDAM;UNIT;0
9;15;JAMBI;1508;150807;01/01/2022;KIOS;UNIT;0
10;15;JAMBI;1508;150807;01/01/2022;BANGUNAN LAIN;UNIT;0
11;15;JAMBI;1508;150807;01/01/2022;KEPALA KELUARGA;JIWA;0
12;15;JAMBI;1508;150807;01/01/2022;JIWA;JIWA;0
13;15;JAMBI;1508;150807;01/01/2022;SEKOLAH;UNIT;0
14;15;JAMBI;1508;150807;01/01/2022;KANTOR;UNIT;0
15;15;JAMBI;1508;150807;01/01/2022;TEMPAT IBADAH;JIWA;0
16;15;JAMBI;1508;150807;01/01/2022;SARANA KESEHATAN;UNIT;0
17;15;JAMBI;1508;150807;01/01/2022;PASAR;UNIT;0
18;15;JAMBI;1508;150807;01/01/2022;JEMBATAN;UNIT;0
19;15;JAMBI;1508;150807;01/01/2022;JALAN;TITIK;4
20;15;JAMBI;1508;150807;01/01/2022;JALAN;KM;0
21;15;JAMBI;1508;150807;01/01/2022;IRIGASI;HA;0
22;15;JAMBI;1508;150807;01/01/2022;KEBUN;HEKTAR;0
23;15;JAMBI;1508;150807;01/01/2022;KOLAM;HA;0
24;15;JAMBI;1508;150807;01/01/2022;SAWAH;HA;0
25;15;JAMBI;1508;150807;01/01/2022;LAHAN TIDUR;HEKTAR;0
26;15;JAMBI;1508;150813;01/01/2022;MENINGGAL DUNIA;JIWA;0
27;15;JAMBI;1508;150813;01/01/2022;LUKA BERAT;JIWA;0
28;15;JAMBI;1508;150813;01/01/2022;LUKA RINGAN;JIWA;0
29;15;JAMBI;1508;150813;01/01/2022;RUSAK TOTAL;UNIT;0
30;15;JAMBI;1508;150813;01/01/2022;RUMAH RUSAK BERAT;UNIT;0
31;15;JAMBI;1508;150813;01/01/2022;RUMAH RUSAK RINGAN;UNIT;0
32;15;JAMBI;1508;150813;01/01/2022;TERGENANG;UNIT;0
33;15;JAMBI;1508;150813;01/01/2022;TERENDAM;UNIT;0
34;15;JAMBI;1508;150813;01/01/2022;KIOS;UNIT;0
35;15;JAMBI;1508;150813;01/01/2022;BANGUNAN LAIN;UNIT;0
36;15;JAMBI;1508;150813;01/01/2022;KEPALA KELUARGA;JIWA;0
37;15;JAMBI;1508;150813;01/01/2022;JIWA;JIWA;0
