kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1506;TANJUNG JABUNG BARAT;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;BAIK;30,16;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;BAIK;0;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SUAK KANDIS 0 DESA SIMPANG/BERBAK;BAIK;0;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;BAIK;15,2;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SP. LAGAN - SP. PELABI/ ZONA V;BAIK;14,4;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMPANG TALANG PUDAK - SUAK KANDIS;BAIK;17;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SUNGAI DUREN - SUNGAI BULUH;BAIK;23,2;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;BAIK;1,6;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;BAIK;8,8;KILOMETER;2022
15;JAMBI;1509;TEBO;MUARA TEBO - SIMP. LOGPON;BAIK;32,708;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;BAIK;34,4;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. SAWMIL - SIMP. LOGPON ;BAIK;24,476;KILOMETER;2022
15;JAMBI;1508;BUNGO;MA. BUNGO - PENINJAUAN - JUNCTION;BAIK;27,129;KILOMETER;2022
15;JAMBI;1508;BUNGO;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );BAIK;18,175;KILOMETER;2022
15;JAMBI;1508;BUNGO;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);BAIK;10,2;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;BAIK;8,2;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;JL. SUDIRMAN (MA.BULIAN);BAIK;5;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;BAIK;16,4;KILOMETER;2022
15;JAMBI;1501;KERINCI;SANGGARAN AGUNG - JUJUN;BAIK;6,555;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - LEMPUR;BAIK;13,422;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;BAIK;14,345;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;JALAN DEPATI PARBO (SUNGAI PENUH);BAIK;4,85;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;BAIK;3,7;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;BAIK;42,21;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. PULAU. RENGAS -  MUARA SIAU;BAIK;22,793;KILOMETER;2022
15;JAMBI;1502;MERANGIN;MUARA SIAU - DUSUN TUO ;BAIK;19,4;KILOMETER;2022
15;JAMBI;1502;MERANGIN;DUSUN TUO - JANGKAT ;BAIK;61,057;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PELAWAN - SEI. SALAK ;BAIK;20;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;BAIK;2;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;BAIK;1,6;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;BAIK;7,2;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;BAIK;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;BAIK;0,8;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SUTOMO;BAIK;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;BAIK;1,716;KILOMETER;2022
