id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;daerah_rawa;kondisi;luas_rawa;satuan;tahun
1;15;JAMBI;1507;SEI. AYAM;BAIK;0;HEKTAR;2022
2;15;JAMBI;1506;SEI. SENYERANG;BAIK;268;HEKTAR;2022
3;15;JAMBI;1506;TELUK KETAPANG;BAIK;300;HEKTAR;2022
4;15;JAMBI;1506;TELUK NILAU;BAIK;1.223;HEKTAR;2022
5;15;JAMBI;1507;KOTO KANDIS;BAIK;969;HEKTAR;2022
6;15;JAMBI;1507;NIPAH PANJANG I - II;BAIK;585;HEKTAR;2022
7;15;JAMBI;1507;RANTAU RASAU;BAIK;1.509;HEKTAR;2022
8;15;JAMBI;1507;SIMPANG DATUK;BAIK;1.050;HEKTAR;2022
9;15;JAMBI;1507;SIMPANG PUDING;BAIK;1.392;HEKTAR;2022
10;15;JAMBI;1507;SUNGAI RAYA;BAIK;1.080;HEKTAR;2022
11;15;JAMBI;1507;SEI. AYAM;SEDANG;0;HEKTAR;2022
12;15;JAMBI;1506;SEI. SENYERANG;SEDANG;725;HEKTAR;2022
13;15;JAMBI;1506;TELUK KETAPANG;SEDANG;950;HEKTAR;2022
14;15;JAMBI;1506;TELUK NILAU;SEDANG;0;HEKTAR;2022
15;15;JAMBI;1507;KOTO KANDIS;SEDANG;0;HEKTAR;2022
16;15;JAMBI;1507;NIPAH PANJANG I - II;SEDANG;715;HEKTAR;2022
17;15;JAMBI;1507;RANTAU RASAU;SEDANG;0;HEKTAR;2022
18;15;JAMBI;1507;SIMPANG DATUK;SEDANG;0;HEKTAR;2022
19;15;JAMBI;1507;SIMPANG PUDING;SEDANG;0;HEKTAR;2022
20;15;JAMBI;1507;SUNGAI RAYA;SEDANG;0;HEKTAR;2022
21;15;JAMBI;1507;SEI. AYAM;RUSAK RINGAN;0;HEKTAR;2022
22;15;JAMBI;1506;SEI. SENYERANG;RUSAK RINGAN;325;HEKTAR;2022
23;15;JAMBI;1506;TELUK KETAPANG;RUSAK RINGAN;0;HEKTAR;2022
24;15;JAMBI;1506;TELUK NILAU;RUSAK RINGAN;287;HEKTAR;2022
25;15;JAMBI;1507;KOTO KANDIS;RUSAK RINGAN;108;HEKTAR;2022
26;15;JAMBI;1507;NIPAH PANJANG I - II;RUSAK RINGAN;0;HEKTAR;2022
27;15;JAMBI;1507;RANTAU RASAU;RUSAK RINGAN;225;HEKTAR;2022
28;15;JAMBI;1507;SIMPANG DATUK;RUSAK RINGAN;0;HEKTAR;2022
29;15;JAMBI;1507;SIMPANG PUDING;RUSAK RINGAN;208;HEKTAR;2022
30;15;JAMBI;1507;SUNGAI RAYA;RUSAK RINGAN;120;HEKTAR;2022
31;15;JAMBI;1507;SEI. AYAM;RUSAK BERAT;0;HEKTAR;2022
32;15;JAMBI;1506;SEI. SENYERANG;RUSAK BERAT;0;HEKTAR;2022
33;15;JAMBI;1506;TELUK KETAPANG;RUSAK BERAT;0;HEKTAR;2022
34;15;JAMBI;1506;TELUK NILAU;RUSAK BERAT;0;HEKTAR;2022
35;15;JAMBI;1507;KOTO KANDIS;RUSAK BERAT;0;HEKTAR;2022
36;15;JAMBI;1507;NIPAH PANJANG I - II;RUSAK BERAT;0;HEKTAR;2022
37;15;JAMBI;1507;RANTAU RASAU;RUSAK BERAT;0;HEKTAR;2022
38;15;JAMBI;1507;SIMPANG DATUK;RUSAK BERAT;0;HEKTAR;2022
39;15;JAMBI;1507;SIMPANG PUDING;RUSAK BERAT;0;HEKTAR;2022
40;15;JAMBI;1507;SUNGAI RAYA;RUSAK BERAT;0;HEKTAR;2022
