id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_ruas;nama_ruas_jalan;no_jembatan_rekomendasi;nama_jembatan;panjang;satuan;tahun
1;15;JAMBI;1571;P.005;JLN. GAJAH MADA - JLN HAYAM  W URUK;P.11.005.001;GAJAH MADA;21;METER;2024
2;15;JAMBI;1571;P.009;JLN. SRI SOEDEWI  - H A MANAP  - JLN ARIEF RAHMAN  HAKIM;P.11.009.001;H.A.MANAP;16;METER;2024
3;15;JAMBI;1571;P.010;JLN. RE MARTADINATA JLN JEND.  A. YANI - JLN. JEND.  MT HARYONO;P.11.010.001; MT HARYONO;8;METER;2024
4;15;JAMBI;1571;P.011;JLN. ADE IRMA SURYANI  - JLN DR. SWABESI  - JLN. KH ABDUL  MALIK;P.11.011.001;SEI. BULURAN  I;22,8;METER;2024
5;15;JAMBI;1571;P.011;JLN. ADE IRMA SURYANI  - JLN DR. SWABESI  - JLN. KH ABDUL  MALIK;P.11.011.002;SEI. BULURAN  II;40,5;METER;2024
6;15;JAMBI;1571;P.013;JLN. ABDUL RAHMAN SALEH;P.11.013.001;BOX BARU 1B;3,5;METER;2024
7;15;JAMBI;1571;P.014;JLN. PATIMURA  JAMBI;P.11.014.001;KENALI  BESAR;12,6;METER;2024
8;15;JAMBI;1571;P.016;JLN. RB. SIAGIAN;P.11.016.001;BOX BARU 2B ;3,5;METER;2024
9;15;JAMBI;1571;P.017;SIMP.ALKAL-BANDARA SULTAN THAHA-LINGKAR TIMUR;P.11.017.001;BOX BARU 1B;8,5;METER;2024
10;15;JAMBI;1571;P.017;SIMP.ALKAL-BANDARA SULTAN THAHA-LINGKAR TIMUR;P.11.017.002;BOX BARU 2B ;3,5;METER;2024
11;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.001;SEI. PEMANTUN;14,8;METER;2024
12;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.002;SEI. PUTIH;23;METER;2024
13;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.003;SEI. PEMUSIRAN;36;METER;2024
14;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.004;SEI. PUDING;20;METER;2024
15;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.005;SEI. BETUNG;25,5;METER;2024
16;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.006;SEI. RONGGO;20;METER;2024
17;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.007;SEI. SUAK SAUNG;16,7;METER;2024
18;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.008;SEI. SUAK TAPA;23,3;METER;2024
19;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.009;SEI. KAYU ARO;17;METER;2024
20;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.010;SEI. PETANANG;41,5;METER;2024
21;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.011;SEI. PENYANTAN;26;METER;2024
22;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.012;BOX BARU;4;METER;2024
23;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.013;SEI. DINGIN;18;METER;2024
24;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.014;SEI. LAIS;20;METER;2024
25;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.015;SEI. TALI GAW E;23;METER;2024
26;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.016;SEI. MENGKUANG;26;METER;2024
27;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.017;SEI. SUAK BALAM;24;METER;2024
28;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.018;BOX BARU 2B ;7;METER;2024
29;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.019;SEI. MARALANG;17;METER;2024
30;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.020;SEI. PENING;23,5;METER;2024
31;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.021;SEI. COPET;19,5;METER;2024
32;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.022;SEI. PINTASAN  MENDUNG;22,7;METER;2024
33;15;JAMBI;1505;P.021;TALANG  DUKU / SP. PUDAK  - SUAK KANDIS;P.11.021.023;KUMPEH  SUAK KANDIS;200;METER;2024
34;15;JAMBI;1505;P.022;SUAK KANDIS  - DESA SIMPANG  /BERBAK;P.11.022.001;SEI. JEBUS;26,5;METER;2024
35;15;JAMBI;1505;P.022;SUAK KANDIS  - DESA SIMPANG  /BERBAK;P.11.022.002;SEI. PALU;21;METER;2024
36;15;JAMBI;1505;P.022;SUAK KANDIS  - DESA SIMPANG  /BERBAK;P.11.022.003;SEI. BODO;21;METER;2024
