kode_provinsi;kode_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
15;1571;LKP REVO;0201230009089;01/02/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. kopal Ramli  Lrg. Murai Batu No.161
15;1572;LPKS KERINCI BERKARYA;0501230031706;01/05/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Depati Parbo
15;1505;BUM DESA MEGARIONA TANGKIT BARU ;2001230070245;01/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Syekh Muh Said I
15;1505;LEMBAGA FITRI PRAMONO;3001230003003;01/30/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Tri Tunggal No. 01 
15;1506;TAMAN KANAK KANAK MAFATIHUL HUDA;3001230014749;01/30/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Karya Jaya
15;1571;HAFIFAH;3101230015325;01/31/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kh.M Saleh No. 37
15;1571;LEMBAGA PENDIDIKAN TARUNA SAKINAH;0102230018565;02/01/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Raden Wijaya No.103
15;1571;QUANTUM SMART;0902230020619;02/09/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Perumnas Aur Duri Blok. D No. 381
15;1571;MIFTAHUL JANNAH 2;1402230085972;02/14/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Temenggung Jakfar
15;1571;AZ ZAHRA;1402230088725;02/14/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kh. M. Saleh
15;1571;KASIH IBU;1602230031599;02/16/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. M.Yamin Perum Kreasi Pura 1 Blok D 
15;1571;SATUAN PAUD SEJENIS SIRSAK;2002230032854;02/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Hmo Bafadhal No. 08
15;1571;TK ISLAM TERPADU AL AZKA;2002230042177;02/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. H. Ibrahim No. 02
