no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
1;15;JAMBI;1571;KOTA JAMBI;01/02/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. kopal Ramli  Lrg. Murai Batu No.161
2;15;JAMBI;1572;KOTA SUNGAI PENUH;01/05/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Depati Parbo
3;15;JAMBI;1505;MUARO JAMBI;01/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Syekh Muh Said I
4;15;JAMBI;1505;MUARO JAMBI;01/30/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Tri Tunggal No. 01 
5;15;JAMBI;1506;TANJUNG JABUNG BARAT;01/30/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Karya Jaya
6;15;JAMBI;1571;KOTA JAMBI;01/31/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kh.M Saleh No. 37
7;15;JAMBI;1571;KOTA JAMBI;02/01/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Raden Wijaya No.103
8;15;JAMBI;1571;KOTA JAMBI;02/09/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Perumnas Aur Duri Blok. D No. 381
9;15;JAMBI;1571;KOTA JAMBI;02/14/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Temenggung Jakfar
10;15;JAMBI;1571;KOTA JAMBI;02/14/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kh. M. Saleh
11;15;JAMBI;1571;KOTA JAMBI;02/16/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. M.Yamin Perum Kreasi Pura 1 Blok D 
12;15;JAMBI;1571;KOTA JAMBI;02/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Hmo Bafadhal No. 08
13;15;JAMBI;1571;KOTA JAMBI;02/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. H. Ibrahim No. 02
14;15;JAMBI;1571;KOTA JAMBI;02/28/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl Dr. Purwadi Km 9,5 Rt 24 Kel Aur Kenali Kec Telanai Pura
15;15;JAMBI;1501;KERINCI;03/02/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Siulak Deras Mudik
16;15;JAMBI;1571;KOTA JAMBI;03/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl Gr Djamin Dt Bagindo No 52 
17;15;JAMBI;1501;KERINCI;03/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Koto Lebuh Tinggi
18;15;JAMBI;1501;KERINCI;03/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Siulak Deras Mudik
19;15;JAMBI;1501;KERINCI;03/08/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Baru Semerah
20;15;JAMBI;1571;KOTA JAMBI;03/14/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Kirana Iii Kampung Manggis 
21;15;JAMBI;1571;KOTA JAMBI;03/21/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Raden Pamuk
22;15;JAMBI;1571;KOTA JAMBI;03/29/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Prabu Siliwangi
23;15;JAMBI;1505;MUARO JAMBI;04/05/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Poros Unit Iv, Jalur Iv
24;15;JAMBI;1505;MUARO JAMBI;04/13/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kh. Ahmad Dahlan No. 12
25;15;JAMBI;1506;TANJUNG JABUNG BARAT;05/09/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Sd 14 / V 
26;15;JAMBI;1506;TANJUNG JABUNG BARAT;05/17/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Dusun Barat
27;15;JAMBI;1501;KERINCI;05/17/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Telago Biru
28;15;JAMBI;1505;MUARO JAMBI;05/19/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Rondang
29;15;JAMBI;1506;TANJUNG JABUNG BARAT;06/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Lintas Timur
30;15;JAMBI;1505;MUARO JAMBI;06/08/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jebus
31;15;JAMBI;1505;MUARO JAMBI;06/13/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Pertamina Rt.16 Dusun Iii Sungai Serandi
32;15;JAMBI;1571;KOTA JAMBI;06/21/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. A. Saleh
33;15;JAMBI;1506;TANJUNG JABUNG BARAT;07/06/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Kuala Dasal
34;15;JAMBI;1506;TANJUNG JABUNG BARAT;07/18/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Dusun Margo Rukun
35;15;JAMBI;1504;BATANGHARI;07/24/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jln. Baru 
36;15;JAMBI;1505;MUARO JAMBI;07/31/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Lintas Timur Km. 29
37;15;JAMBI;1506;TANJUNG JABUNG BARAT;07/31/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kempas Jaya 
38;15;JAMBI;1506;TANJUNG JABUNG BARAT;08/09/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Siswa
39;15;JAMBI;1501;KERINCI;08/20/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Raya Sungai Sikai, No 15  Rt 04 Desa Sungai Sikai Kec Gunung Tujuh Jambi
40;15;JAMBI;1571;KOTA JAMBI;09/11/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan  Sumber Rejo Rt 28 Kel.Mayang Mengurai Kec.Alam Barajo Kota Jambi
41;15;JAMBI;1571;KOTA JAMBI;10/12/2023;PMDN;Non UMK;BADAN HUKUM LAINNYA;Jl. Kapten Pattimura, Simpang Iv Sipin, Kec. Telanaipura, Kota Jambi
42;15;JAMBI;1506;TANJUNG JABUNG BARAT;10/19/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jalan Kemiri 
43;15;JAMBI;1571;KOTA JAMBI;10/21/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Kapten Ud Sunaryo Rt 8 No. 9 Kel. Talang Bakung Kec. Paal Merah Kota Jambi
44;15;JAMBI;1505;MUARO JAMBI;10/26/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Desa Kasang Pudak
45;15;JAMBI;1571;KOTA JAMBI;11/30/2023;PMDN;UMK;BADAN HUKUM LAINNYA;Jl. Ir. H. Juanda
