id ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
1;15;JAMBI;1571;KOTA JAMBI;ANUGERAH MITRA TRAKTOR;0201230024738;01/02/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Sumatera Nomor 48
2;15;JAMBI;1505;MUARO JAMBI;NIZZAM JAMBI INTERMEDIA;0301230008045;01/03/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Dusun Teng Tuo
3;15;JAMBI;1571;KOTA JAMBI;ARYA PLASINDO PERKASA;0301230029217;01/03/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Raden Fatah
4;15;JAMBI;1571;KOTA JAMBI;KOSA GROUP INDONESIA;0401230012625;01/04/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Abdul Chatab No. 47
5;15;JAMBI;1503;SAROLANGUN;MEDIA CAHAYA INDAH;0401230022584;01/04/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Lintas Sumatera
6;15;JAMBI;1571;KOTA JAMBI;FAMILY ALAM BAROKAH;0401230033707;01/04/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Perumnas Aur Duri Indah
7;15;JAMBI;1571;KOTA JAMBI;FIKRI PUTRA TUNGGAL;0401230034892;01/04/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Depati Purbo
8;15;JAMBI;1571;KOTA JAMBI;PRIMA VANTONI NUSANTARA;0401230040255;01/04/2023;PMDN;Non UMK;PERSEROAN TERBATAS (PT);Jl. Lingkar Timur No 91
9;15;JAMBI;1501;KERINCI;GIHON MAGGOT INDONESIA;0401230042992;01/04/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Desa Telun Berasap
10;15;JAMBI;1571;KOTA JAMBI;ORASI MEDIA GROUP;0401230057324;01/04/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Lorong Pattimura
11;15;JAMBI;1571;KOTA JAMBI;TRANSA BUMI BARA;0501230041077;01/05/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Orang Kayo Hitam No. 18
12;15;JAMBI;1571;KOTA JAMBI;SRIKANDI BATANGHARI INDONESIA;0501230048639;01/05/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Jawa No. 27
13;15;JAMBI;1571;KOTA JAMBI;ANDOEN ENERGI BERSAMA;0501230049629;01/05/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan H Agus Salim Nomor 61B
14;15;JAMBI;1571;KOTA JAMBI;KOPASTAMA MEDIA GROUP;0501230049743;01/05/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl Penerangan, Perum Panorama Sakura Asri Blok T 62
15;15;JAMBI;1508;BUNGO;HARIAN MEDIA SEJAHTERA;0501230049789;01/05/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan R. M. Thaher
16;15;JAMBI;1508;BUNGO;MUARA ENIM ENERGY PRIMA;0601230030686;01/06/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Teuku Umar
17;15;JAMBI;1571;KOTA JAMBI;RAJA KAISAR ALIFAH TRANSPORT;1101230000146;01/11/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Abadi No. 01
18;15;JAMBI;1572;KOTA SUNGAI PENUH;NATAMA ITALOHO PERKASA;1201230041918;01/12/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Desa Sungai Ning, Kecamatan Sungai Bungkal, Kota Sungai Penuh, Provinsi Jambi
19;15;JAMBI;1505;MUARO JAMBI;GEM INTERNATIONAL TRADE JAMBI;1201230042649;01/12/2023;PMA;Non UMK;PERSEROAN TERBATAS (PT);Jalan Jembatan Aur Duri Ii Muara Sabak Kilometer 12 Nomor 04
20;15;JAMBI;1505;MUARO JAMBI;SEJAHTERA REZEKI BERSAMA;1201230043358;01/12/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Perumahan Aston Villa Blok V No. 17
21;15;JAMBI;1571;KOTA JAMBI;CAKRA NUNGGAL INDONESIA;1201230058526;01/12/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Berbah Dalam
22;15;JAMBI;1509;TEBO;HANOGAR JAYA PERKASA;1201230060776;01/12/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Lintas Tebo-Bungo Km 12
23;15;JAMBI;1571;KOTA JAMBI;SRS AGRO INTERNATIONAL;1201230071587;01/12/2023;PMDN;Non UMK;PERSEROAN TERBATAS (PT);Perum Griya Citra Pesona, Jalan Tp Sriwijaya
24;15;JAMBI;1571;KOTA JAMBI;GANESHA MANGGALA INDONESIA;1301230040705;01/13/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl.H.Mangku Umar Perumahan Bumi Mayang Mangurai Blok Widuri Nomor 6
25;15;JAMBI;1571;KOTA JAMBI;SUMBER PANCA COAL MINING;1401230008365;01/14/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Yunus Sanis Rt.03 No.17
26;15;JAMBI;1571;KOTA JAMBI;AKHA JAYA PERMATA;1601230062207;01/16/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Lingkar Barat Perumahan Annisa Asri 3 Blok I1
27;15;JAMBI;1508;BUNGO;BUKIT BATU SUKSES;1601230066351;01/16/2023;PMDN;Non UMK;PERSEROAN TERBATAS (PT);Sungai Kerjan
28;15;JAMBI;1508;BUNGO;UMUL QURA MEDICAL CENTRE;1701230039756;01/17/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jln. Lintas Sumatera Km.61 Tukum Ii
29;15;JAMBI;1505;MUARO JAMBI;TRANS INDO SEJAHTERA;1701230043128;01/17/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Sungai Gelam
30;15;JAMBI;1504;BATANGHARI;PASIR MUARA BULIAN;1701230052817;01/17/2023;PMDN;Non UMK;PERSEROAN TERBATAS (PT);Jl. Lintas Jambi - Muara Bulian No. 42
31;15;JAMBI;1571;KOTA JAMBI;GENTA ADZIMAN SEJAHTERA;1701230074913;01/17/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Liposos Ii Perumahan Graha Bumi Eka Jaya
32;15;JAMBI;1571;KOTA JAMBI;AMIMA PUTRA PRATAMA;1701230078726;01/17/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Raden Sayuti Perumahan Permata Asri 2 Blok F7
33;15;JAMBI;1571;KOTA JAMBI;KERTAPATI JAMBI BERSAMA;1901230005749;01/19/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Yulius Usman
34;15;JAMBI;1506;TANJUNG JABUNG BARAT;BERKAH MEDIA WASAKA;1901230022671;01/19/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl Kh Dewantara
35;15;JAMBI;1571;KOTA JAMBI;RIDHO SUKSES ANUGRAH;1901230047612;01/19/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Ruko Lazio Residence Blok A No. 31 Jl. Dr. Tazar 
36;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SUKSES BERSAMA MADUNIA;1901230073104;01/19/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jl. Lintas Sbk Jambi
37;15;JAMBI;1571;KOTA JAMBI;ANDITHIRA CAHAYA ASIA;1901230073576;01/19/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Komp. Perum Sevilla Blok C No.04
38;15;JAMBI;1571;KOTA JAMBI;BUMI ARTHA BERSINERGI;1901230078372;01/19/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Jalan Rb. Siagian 
39;15;JAMBI;1571;KOTA JAMBI;ANUGRAH ULTIMA GROUP;2001230000642;01/20/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Komplek Teluk Permai No. 19
40;15;JAMBI;1571;KOTA JAMBI;BERKAH ENGINEERING SAMUDRA TIRTA;2001230002126;01/20/2023;PMDN;UMK;PERSEROAN TERBATAS (PT);Komplek Pertokoan Pasar Villa Kenali Permai Blok N1 Nomor 3
