id;kode_provinsi;nama_provinsi;tahun_ajaran;bentuk_pendidikan;jumlah
1;15;JAMBI;2019/2020 GANJIL;SD;24.509
2;15;JAMBI;2019/2020 GANJIL;SMP;10.498
3;15;JAMBI;2019/2020 GANJIL;SMA;5.665
4;15;JAMBI;2019/2020 GANJIL;SMK;4.136
5;15;JAMBI;2019/2020 GANJIL;SLB;350
6;15;JAMBI;2019/2020 GANJIL;KB;0
7;15;JAMBI;2019/2020 GANJIL;PKBM;0
8;15;JAMBI;2019/2020 GANJIL;SKB;0
9;15;JAMBI;2019/2020 GANJIL;SPS;0
10;15;JAMBI;2019/2020 GANJIL;TK;0
11;15;JAMBI;2019/2020 GANJIL;TPA;0
12;15;JAMBI;2019/2020 GENAP;SD;24.428
13;15;JAMBI;2019/2020 GENAP;SMP;10.457
14;15;JAMBI;2019/2020 GENAP;SMA;5.716
15;15;JAMBI;2019/2020 GENAP;SMK;4.121
16;15;JAMBI;2019/2020 GENAP;SLB;364
17;15;JAMBI;2019/2020 GENAP;KB;0
18;15;JAMBI;2019/2020 GENAP;PKBM;0
19;15;JAMBI;2019/2020 GENAP;SKB;0
20;15;JAMBI;2019/2020 GENAP;SPS;0
21;15;JAMBI;2019/2020 GENAP;TK;0
22;15;JAMBI;2019/2020 GENAP;TPA;0
23;15;JAMBI;2020/2021 GANJIL;SD;24.504
24;15;JAMBI;2020/2021 GANJIL;SMP;10.641
25;15;JAMBI;2020/2021 GANJIL;SMA;5.784
26;15;JAMBI;2020/2021 GANJIL;SMK;4.176
27;15;JAMBI;2020/2021 GANJIL;TK;3.860
28;15;JAMBI;2020/2021 GANJIL;KB;3.807
29;15;JAMBI;2020/2021 GANJIL;PKBM;787
30;15;JAMBI;2020/2021 GANJIL;SPS;397
31;15;JAMBI;2020/2021 GANJIL;SLB;376
32;15;JAMBI;2020/2021 GANJIL;TPA;136
33;15;JAMBI;2020/2021 GANJIL;SKB;65
34;15;JAMBI;2020/2021 GENAP;SD;25.014
35;15;JAMBI;2020/2021 GENAP;SMP;11.044
36;15;JAMBI;2020/2021 GENAP;SMA;5.801
37;15;JAMBI;2020/2021 GENAP;SMK;4.276
38;15;JAMBI;2020/2021 GENAP;TK;4.091
39;15;JAMBI;2020/2021 GENAP;KB;4.073
40;15;JAMBI;2020/2021 GENAP;PKBM;830
41;15;JAMBI;2020/2021 GENAP;SPS;411
42;15;JAMBI;2020/2021 GENAP;SLB;380
43;15;JAMBI;2020/2021 GENAP;TPA;151
44;15;JAMBI;2020/2021 GENAP;SKB;81
45;15;JAMBI;2021/2022 GANJIL;SD;24.962
46;15;JAMBI;2021/2022 GANJIL;SMP;10.985
47;15;JAMBI;2021/2022 GANJIL;SMA;5.856
48;15;JAMBI;2021/2022 GANJIL;SMK;4.312
49;15;JAMBI;2021/2022 GANJIL;TK;4.099
50;15;JAMBI;2021/2022 GANJIL;KB;3.933
51;15;JAMBI;2021/2022 GANJIL;PKBM;742
52;15;JAMBI;2021/2022 GANJIL;SLB;395
53;15;JAMBI;2021/2022 GANJIL;SPS;373
54;15;JAMBI;2021/2022 GANJIL;TPA;135
55;15;JAMBI;2021/2022 GANJIL;SKB;76
56;15;JAMBI;2021/2022 GENAP;SD;24.899
57;15;JAMBI;2021/2022 GENAP;SMP;11.018
58;15;JAMBI;2021/2022 GENAP;SMA;5.861
59;15;JAMBI;2021/2022 GENAP;SMK;4.299
60;15;JAMBI;2021/2022 GENAP;TK;4.135
61;15;JAMBI;2021/2022 GENAP;KB;3.955
62;15;JAMBI;2021/2022 GENAP;PKBM;720
63;15;JAMBI;2021/2022 GENAP;SLB;401
64;15;JAMBI;2021/2022 GENAP;SPS;370
65;15;JAMBI;2021/2022 GENAP;TPA;129
66;15;JAMBI;2021/2022 GENAP;SKB;78
67;15;JAMBI;2022/2023 GANJIL;SD;24.840
68;15;JAMBI;2022/2023 GANJIL;SMP;10.985
69;15;JAMBI;2022/2023 GANJIL;SMA;5.890
70;15;JAMBI;2022/2023 GANJIL;SMK;4.308
71;15;JAMBI;2022/2023 GANJIL;TK;4.233
72;15;JAMBI;2022/2023 GANJIL;KB;3.992
73;15;JAMBI;2022/2023 GANJIL;PKBM;611
74;15;JAMBI;2022/2023 GANJIL;SLB;400
75;15;JAMBI;2022/2023 GANJIL;SPS;376
76;15;JAMBI;2022/2023 GANJIL;TPA;135
77;15;JAMBI;2022/2023 GANJIL;SKB;98
78;15;JAMBI;2022/2023 GENAP;SD;24.802
79;15;JAMBI;2022/2023 GENAP;SMP;10.935
80;15;JAMBI;2022/2023 GENAP;SMA;5.885
81;15;JAMBI;2022/2023 GENAP;SMK;4.273
82;15;JAMBI;2022/2023 GENAP;TK;4.248
83;15;JAMBI;2022/2023 GENAP;KB;3.962
84;15;JAMBI;2022/2023 GENAP;PKBM;605
85;15;JAMBI;2022/2023 GENAP;SLB;407
86;15;JAMBI;2022/2023 GENAP;SPS;383
87;15;JAMBI;2022/2023 GENAP;TPA;147
88;15;JAMBI;2022/2023 GENAP;SKB;96
