id;kode_provinsi;nama_provinsi;tahun_ajaran;bentuk_pendidikan;jumlah
1;15;JAMBI;2019/2020 GANJIL;SD;136.918
2;15;JAMBI;2019/2020 GANJIL;SMP;86.754
3;15;JAMBI;2019/2020 GANJIL;SMA;58.313
4;15;JAMBI;2019/2020 GANJIL;SMK;40.435
5;15;JAMBI;2019/2020 GANJIL;SLB;1.967
6;15;JAMBI;2019/2020 GANJIL;KB;0
7;15;JAMBI;2019/2020 GANJIL;PKBM;0
8;15;JAMBI;2019/2020 GANJIL;SKB;0
9;15;JAMBI;2019/2020 GANJIL;SPS;0
10;15;JAMBI;2019/2020 GANJIL;TK;0
11;15;JAMBI;2019/2020 GANJIL;TPA;0
12;15;JAMBI;2019/2020 GENAP;SD;135.796
13;15;JAMBI;2019/2020 GENAP;SMP;87.859
14;15;JAMBI;2019/2020 GENAP;SMA;58.277
15;15;JAMBI;2019/2020 GENAP;SMK;40.321
16;15;JAMBI;2019/2020 GENAP;SLB;1.942
17;15;JAMBI;2019/2020 GENAP;KB;0
18;15;JAMBI;2019/2020 GENAP;PKBM;0
19;15;JAMBI;2019/2020 GENAP;SKB;0
20;15;JAMBI;2019/2020 GENAP;SPS;0
21;15;JAMBI;2019/2020 GENAP;TK;0
22;15;JAMBI;2019/2020 GENAP;TPA;0
23;15;JAMBI;2020/2021 GANJIL;SD;135.854
24;15;JAMBI;2020/2021 GANJIL;SMP;83.249
25;15;JAMBI;2020/2021 GANJIL;SMA;60.491
26;15;JAMBI;2020/2021 GANJIL;KB;53.791
27;15;JAMBI;2020/2021 GANJIL;TK;47.398
28;15;JAMBI;2020/2021 GANJIL;SMK;40.470
29;15;JAMBI;2020/2021 GANJIL;PKBM;29.082
30;15;JAMBI;2020/2021 GANJIL;SPS;5.687
31;15;JAMBI;2020/2021 GANJIL;SLB;2.004
32;15;JAMBI;2020/2021 GANJIL;TPA;1.019
33;15;JAMBI;2020/2021 GANJIL;SKB;2.121
34;15;JAMBI;2020/2021 GENAP;SD;132.261
35;15;JAMBI;2020/2021 GENAP;SMP;71.515
36;15;JAMBI;2020/2021 GENAP;SMA;48.265
37;15;JAMBI;2020/2021 GENAP;SMK;31.210
38;15;JAMBI;2020/2021 GENAP;TK;15.010
39;15;JAMBI;2020/2021 GENAP;KB;53.646
40;15;JAMBI;2020/2021 GENAP;PKBM;24.093
41;15;JAMBI;2020/2021 GENAP;SPS;5.599
42;15;JAMBI;2020/2021 GENAP;SLB;1.845
43;15;JAMBI;2020/2021 GENAP;TPA;1.163
44;15;JAMBI;2020/2021 GENAP;SKB;1.101
45;15;JAMBI;2021/2022 GANJIL;SD;136.833
46;15;JAMBI;2021/2022 GANJIL;SMP;83.727
47;15;JAMBI;2021/2022 GANJIL;SMA;59.841
48;15;JAMBI;2021/2022 GANJIL;SMK;40.642
49;15;JAMBI;2021/2022 GANJIL;TK;47.049
50;15;JAMBI;2021/2022 GANJIL;KB;56.654
51;15;JAMBI;2021/2022 GANJIL;PKBM;27.902
52;15;JAMBI;2021/2022 GANJIL;SLB;2.010
53;15;JAMBI;2021/2022 GANJIL;SPS;5.360
54;15;JAMBI;2021/2022 GANJIL;TPA;1.146
55;15;JAMBI;2021/2022 GANJIL;SKB;1.484
56;15;JAMBI;2021/2022 GENAP;SD;136.700
57;15;JAMBI;2021/2022 GENAP;SMP;83.673
58;15;JAMBI;2021/2022 GENAP;SMA;59.553
59;15;JAMBI;2021/2022 GENAP;SMK;40.217
60;15;JAMBI;2021/2022 GENAP;TK;47.068
61;15;JAMBI;2021/2022 GENAP;KB;55.730
62;15;JAMBI;2021/2022 GENAP;PKBM;26.961
63;15;JAMBI;2021/2022 GENAP;SLB;2.052
64;15;JAMBI;2021/2022 GENAP;SPS;5.398
65;15;JAMBI;2021/2022 GENAP;TPA;1.360
66;15;JAMBI;2021/2022 GENAP;SKB;1.616
67;15;JAMBI;2022/2023 GANJIL;SD;137.757
68;15;JAMBI;2022/2023 GANJIL;SMP;84.840
69;15;JAMBI;2022/2023 GANJIL;SMA;59.392
70;15;JAMBI;2022/2023 GANJIL;SMK;39.722
71;15;JAMBI;2022/2023 GANJIL;TK;50.338
72;15;JAMBI;2022/2023 GANJIL;KB;57.560
73;15;JAMBI;2022/2023 GANJIL;PKBM;24.893
74;15;JAMBI;2022/2023 GANJIL;SLB;2.193
75;15;JAMBI;2022/2023 GANJIL;SPS;5.860
76;15;JAMBI;2022/2023 GANJIL;TPA;1.345
77;15;JAMBI;2022/2023 GANJIL;SKB;1.742
78;15;JAMBI;2022/2023 GENAP;SD;369.348
79;15;JAMBI;2022/2023 GENAP;SMP;119.424
80;15;JAMBI;2022/2023 GENAP;SMA;78.598
81;15;JAMBI;2022/2023 GENAP;SMK;49.903
82;15;JAMBI;2022/2023 GENAP;TK;50.103
83;15;JAMBI;2022/2023 GENAP;KB;55.907
84;15;JAMBI;2022/2023 GENAP;PKBM;24.543
85;15;JAMBI;2022/2023 GENAP;SLB;2.184
86;15;JAMBI;2022/2023 GENAP;SPS;5.490
87;15;JAMBI;2022/2023 GENAP;TPA;1.335
88;15;JAMBI;2022/2023 GENAP;SKB;1.725
