No;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_sekolah;tipe;jenjang_pendidikan;akreditasi;tahun_akreditasi;tahun_terbit_sertifikat_akreditasi;tahun_berakhir_sertifikat_akreditasi;status
1;15;JAMBI;1571;157110;SMAN 1 KOTA JAMBI;NEGERI;SMA;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
2;15;JAMBI;1571;157103;SMAN 2 KOTA JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
3;15;JAMBI;1571;157108;SMAN 3 KOTA JAMBI;NEGERI;SMA;A;2020;15/12/2020;15/12/2025;Akreditasi 2020
4;15;JAMBI;1571;157107;SMAN 4 KOTA JAMBI;NEGERI;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
5;15;JAMBI;1571;157101;SMAN 5 KOTA JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
6;15;JAMBI;1571;157107;SMAN 6 KOTA JAMBI;NEGERI;SMA;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
7;15;JAMBI;1571;157106;SMAN 7 KOTA JAMBI;NEGERI;SMA;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
8;15;JAMBI;1571;157107;SMAN 8 KOTA JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
9;15;JAMBI;1571;157111;SMAN 9 KOTA JAMBI;NEGERI;SMA;A;2020;15/12/2020;15/12/2025;Akreditasi 2020
10;15;JAMBI;1571;157101;SMAN 10 KOTA JAMBI;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
11;15;JAMBI;1571;157109;SMAN 11 KOTA JAMBI;NEGERI;SMA;A;2023;04/12/2023;31/12/2028;Akreditasi 2023
12;15;JAMBI;1571;157109;SMAN 12 KOTA JAMBI;NEGERI;SMA;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
13;15;JAMBI;1571;157111;SMAN 13 KOTA JAMBI;NEGERI;SMA;C;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
14;15;JAMBI;1571;157109;SMAN 14 KOTA JAMBI;NEGERI;SMA;BT;BT;0;0;Rencana Akreditasi 2024
15;15;JAMBI;1571;157108;SMA DIAN HARAPAN JAMBI;SWASTA;SMA;BT;BT;0;0;Rencana Akreditasi 2024
16;15;JAMBI;1571;157109;SMA NURUL KHOIR JAMBI;SWASTA;SMA;BT;BT;0;0;Rencana Akreditasi 2024
17;15;JAMBI;1571;157102;SMAS SINAR BIJAKSANA GUANG MING;SWASTA;SMA;BT;BT;0;0;Rencana Akreditasi 2024
18;15;JAMBI;1571;157111;SMA EL MUNDO;SWASTA;SMA;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
19;15;JAMBI;1571;157110;SMA JAMBI IX LURAH;SWASTA;SMA;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
20;15;JAMBI;1571;157102;SMA S SURYA IBU;SWASTA;SMA;B;2023;28/04/2023;28/04/2028;Akreditasi 2023
21;15;JAMBI;1571;157102;SMA TRI SUKSES BOARDING SCHOOL JAMBI;SWASTA;SMA;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
22;15;JAMBI;1571;157110;SMAS ADHYAKSA I;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
23;15;JAMBI;1571;157103;SMAS ATTAUFIQ;SWASTA;SMA;A;2023;21/11/2023;21/11/2028;Akreditasi 2023
24;15;JAMBI;1571;157108;SMAS BINA KASIH;SWASTA;SMA;A;2022;21/11/2022;21/11/2027;Akreditasi 2022
25;15;JAMBI;1571;157102;SMAS DHARMA BHAKTI 3;SWASTA;SMA;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
26;15;JAMBI;1571;157108;SMAS DHARMA BHAKTI 4;SWASTA;SMA;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
27;15;JAMBI;1571;157110;SMAS FERDY FERRY PUTRA;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
28;15;JAMBI;1571;157110;SMAS ISLAM AL FALAH;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
29;15;JAMBI;1571;157101;SMAS IT AL- AZHAR;SWASTA;SMA;A;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
30;15;JAMBI;1571;157111;SMAS MEGATAMA;SWASTA;SMA;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
31;15;JAMBI;1571;157101;SMAS MUHAMMADIYAH;SWASTA;SMA;C;2022;21/11/2022;21/11/2027;Akreditasi 2022
32;15;JAMBI;1571;157103;SMAS NASIONAL SARIPUTRA;SWASTA;SMA;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
33;15;JAMBI;1571;157102;SMAS NOMMENSEN;SWASTA;SMA;B;2022;21/11/2022;21/11/2027;Akreditasi 2022
34;15;JAMBI;1571;157110;SMAS NUSANTARA;SWASTA;SMA;A;2023;12/12/2023;12/12/2024;
35;15;JAMBI;1571;157111;SMAS PELITA RAYA;SWASTA;SMA;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
36;15;JAMBI;1571;157110;SMAS PERTIWI I KOTA JAMBI;SWASTA;SMA;B;2023;12/12/2023;12/12/2028;Akreditasi 2023
37;15;JAMBI;1571;157108;SMAS PGRI 2;SWASTA;SMA;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
38;15;JAMBI;1571;157107;SMAS PURNAMA;SWASTA;SMA;A;2023;04/12/2023;31/12/2028;Akreditasi 2023
39;15;JAMBI;1571;157103;SMAS UNGGUL SAKTI;SWASTA;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
40;15;JAMBI;1571;157102;SMAS XAVERIUS 1;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
41;15;JAMBI;1571;157101;SMAS XAVERIUS 2;SWASTA;SMA;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
42;15;JAMBI;1571;157111;SMAS YADIKA;SWASTA;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
43;15;JAMBI;1571;157103;SMAS YPWI MUSLIMAT;SWASTA;SMA;B;2020;15/12/2020;15/12/2025;Akreditasi 2020
44;15;JAMBI;1571;157109;SMAIT NURUL ILMI;SWASTA;SMA;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
45;15;JAMBI;1571;157108;SMA SWASTA KARUNIA GLOBAL SCHOOL;SWASTA;SMA;TT;2021;11/11/2021;11/11/2026;Rencana Akreditasi 2024
46;15;JAMBI;1571;157101;SMA INSAN MADANI BOARDING SCHOOL JAMBI;SWASTA;SMA;C;2021;11/11/2021;11/11/2026;Akreditasi 2021
47;15;JAMBI;1571;157101;SMA IT AN-NAHL PERCIKAN IMAN JAMBI;SWASTA;SMA;BT;BT;0;0;Rencana Akreditasi 2024
48;15;JAMBI;1571;157101;SMKN 1 KOTA JAMBI;NEGERI;SMK;A;2022;31/12/2022;31/12/2027;Akreditasi 2022
49;15;JAMBI;1571;157102;SMKN 2 KOTA JAMBI;NEGERI;SMK;A;2022;31/12/2022;31/12/2027;Akreditasi 2022
50;15;JAMBI;1571;157109;SMKN 3 KOTA JAMBI;NEGERI;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
51;15;JAMBI;1571;157110;SMKN 4 KOTA JAMBI;NEGERI;SMK;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
52;15;JAMBI;1571;157106;SMK NEGERI 5 KOTA JAMBI;NEGERI;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
53;15;JAMBI;1571;157111;SMKN 6 KOTA JAMBI;NEGERI;SMK;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
54;15;JAMBI;1571;157110;SMK BAITURRAHIM;SWASTA;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
55;15;JAMBI;1571;157111;SMK MAMBA UL ULUM;SWASTA;SMK;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
56;15;JAMBI;1571;157103;SMK MUHAMMADIYAH KOTA JAMBI;SWASTA;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
57;15;JAMBI;1571;157110;SMK REVANY INDRA PUTRA JAMBI;SWASTA;SMK;A;2023;04/12/2023;31/12/2028;Akreditasi 2023
58;15;JAMBI;1571;157103;SMK S TAMAN BUDAYA;SWASTA;SMK;C;2020;15/12/2020;15/12/2025;Akreditasi 2020
59;15;JAMBI;1571;157107;SMK SATRIA PUTRA BANGSA;SWASTA;SMK;C;2021;11/11/2021;11/11/2026;Akreditasi 2021
60;15;JAMBI;1571;157111;SMKS AL IRSYAD JAMBI;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
61;15;JAMBI;1571;157109;SMKS BATANGHARI JAMBI;SWASTA;SMK;B;2023;21/11/2023;21/11/2028;Akreditasi 2023
62;15;JAMBI;1571;157108;SMKS DHARMA BHAKTI 1 JAMBI;SWASTA;SMK;B;2023;04/12/2023;31/12/2028;Akreditasi 2023
