NO;kode_provinsi;kode_kabupaten_kota;komoditi;luas_panen;satuan;tahun
1;15;1501;PADI;16.693,24;HEKTAR;2022
2;15;1501;JANGUNG;657,00;HEKTAR;2022
3;15;1501;KEDELAI;42,40;HEKTAR;2022
4;15;1501;KACANG TANAH;438,20;HEKTAR;2022
5;15;1501;KACANG HIJAU;22,50;HEKTAR;2022
6;15;1501;UBI KAYU;291,20;HEKTAR;2022
7;15;1501;UBI JALAR;622,50;HEKTAR;2022
8;15;1502;PADI;5.699,84;HEKTAR;2022
9;15;1502;JANGUNG;649,00;HEKTAR;2022
10;15;1502;KEDELAI;133,00;HEKTAR;2022
11;15;1502;KACANG TANAH;373,00;HEKTAR;2022
12;15;1502;KACANG HIJAU;19,00;HEKTAR;2022
13;15;1502;UBI KAYU;397,00;HEKTAR;2022
14;15;1502;UBI JALAR;265,00;HEKTAR;2022
15;15;1503;PADI;3.486,70;HEKTAR;2022
16;15;1503;JANGUNG;101,00;HEKTAR;2022
17;15;1503;KEDELAI;8,00;HEKTAR;2022
18;15;1503;KACANG TANAH;69,10;HEKTAR;2022
19;15;1503;KACANG HIJAU;8,70;HEKTAR;2022
20;15;1503;UBI KAYU;124,70;HEKTAR;2022
21;15;1503;UBI JALAR;26,20;HEKTAR;2022
22;15;1504;PADI;5.612,13;HEKTAR;2022
23;15;1504;JANGUNG;215,00;HEKTAR;2022
24;15;1504;KEDELAI;53,00;HEKTAR;2022
25;15;1504;KACANG TANAH;155,00;HEKTAR;2022
26;15;1504;KACANG HIJAU;3,00;HEKTAR;2022
27;15;1504;UBI KAYU;118,00;HEKTAR;2022
28;15;1504;UBI JALAR;26,00;HEKTAR;2022
29;15;1505;PADI;4.761,57;HEKTAR;2022
30;15;1505;JANGUNG;308,00;HEKTAR;2022
31;15;1505;KEDELAI;12,00;HEKTAR;2022
32;15;1505;KACANG TANAH;112,00;HEKTAR;2022
33;15;1505;KACANG HIJAU;1,00;HEKTAR;2022
34;15;1505;UBI KAYU;88,00;HEKTAR;2022
35;15;1505;UBI JALAR;34,00;HEKTAR;2022
36;15;1506;PADI;6.440,25;HEKTAR;2022
37;15;1506;JANGUNG;931,70;HEKTAR;2022
38;15;1506;KEDELAI;130,80;HEKTAR;2022
39;15;1506;KACANG TANAH;67,80;HEKTAR;2022
40;15;1506;KACANG HIJAU;0,00;HEKTAR;2022
41;15;1506;UBI KAYU;89,00;HEKTAR;2022
42;15;1506;UBI JALAR;32,90;HEKTAR;2022
43;15;1507;PADI;3.495,35;HEKTAR;2022
44;15;1507;JANGUNG;468,90;HEKTAR;2022
45;15;1507;KEDELAI;99,00;HEKTAR;2022
46;15;1507;KACANG TANAH;85,70;HEKTAR;2022
47;15;1507;KACANG HIJAU;1,00;HEKTAR;2022
48;15;1507;UBI KAYU;151,70;HEKTAR;2022
49;15;1507;UBI JALAR;22,40;HEKTAR;2022
50;15;1508;PADI;4.068,71;HEKTAR;2022
51;15;1508;JANGUNG;807,00;HEKTAR;2022
52;15;1508;KEDELAI;2.163,00;HEKTAR;2022
53;15;1508;KACANG TANAH;174,00;HEKTAR;2022
54;15;1508;KACANG HIJAU;5,00;HEKTAR;2022
55;15;1508;UBI KAYU;118,50;HEKTAR;2022
56;15;1508;UBI JALAR;19,00;HEKTAR;2022
57;15;1509;PADI;4.118,39;HEKTAR;2022
58;15;1509;JANGUNG;645,00;HEKTAR;2022
59;15;1509;KEDELAI;140,00;HEKTAR;2022
60;15;1509;KACANG TANAH;111,00;HEKTAR;2022
61;15;1509;KACANG HIJAU;3,00;HEKTAR;2022
62;15;1509;UBI KAYU;26,00;HEKTAR;2022
63;15;1509;UBI JALAR;6,00;HEKTAR;2022
64;15;1571;PADI;308,55;HEKTAR;2022
65;15;1571;JANGUNG;62,30;HEKTAR;2022
66;15;1571;KEDELAI;0,00;HEKTAR;2022
67;15;1571;KACANG TANAH;32,60;HEKTAR;2022
68;15;1571;KACANG HIJAU;0,90;HEKTAR;2022
69;15;1571;UBI KAYU;70,80;HEKTAR;2022
70;15;1571;UBI JALAR;13,60;HEKTAR;2022
71;15;1572;PADI;5.854,86;HEKTAR;2022
72;15;1572;JANGUNG;17,00;HEKTAR;2022
73;15;1572;KEDELAI;0,00;HEKTAR;2022
74;15;1572;KACANG TANAH;3,00;HEKTAR;2022
75;15;1572;KACANG HIJAU;0,00;HEKTAR;2022
76;15;1572;UBI KAYU;43,50;HEKTAR;2022
77;15;1572;UBI JALAR;23,00;HEKTAR;2022
78;15;1501;PADI;15.654,70;HEKTAR;2023
79;15;1501;JANGUNG;441,10;HEKTAR;2023
80;15;1501;KEDELAI;10,00;HEKTAR;2023
81;15;1501;KACANG TANAH;364,00;HEKTAR;2023
82;15;1501;KACANG HIJAU;3,00;HEKTAR;2023
83;15;1501;UBI KAYU;274,40;HEKTAR;2023
84;15;1501;UBI JALAR;513,40;HEKTAR;2023
85;15;1502;PADI;5.935,64;HEKTAR;2023
86;15;1502;JANGUNG;441,00;HEKTAR;2023
87;15;1502;KEDELAI;224,00;HEKTAR;2023
88;15;1502;KACANG TANAH;203,00;HEKTAR;2023
89;15;1502;KACANG HIJAU;42,00;HEKTAR;2023
90;15;1502;UBI KAYU;489,50;HEKTAR;2023
91;15;1502;UBI JALAR;341,00;HEKTAR;2023
92;15;1503;PADI;3.356,45;HEKTAR;2023
93;15;1503;JANGUNG;59,20;HEKTAR;2023
94;15;1503;KEDELAI;10,10;HEKTAR;2023
95;15;1503;KACANG TANAH;56,90;HEKTAR;2023
96;15;1503;KACANG HIJAU;3,90;HEKTAR;2023
97;15;1503;UBI KAYU;103,10;HEKTAR;2023
98;15;1503;UBI JALAR;37,50;HEKTAR;2023
99;15;1504;PADI;5.076,28;HEKTAR;2023
100;15;1504;JANGUNG;137,00;HEKTAR;2023
101;15;1504;KEDELAI;35,00;HEKTAR;2023
102;15;1504;KACANG TANAH;48,00;HEKTAR;2023
103;15;1504;KACANG HIJAU;1,00;HEKTAR;2023
104;15;1504;UBI KAYU;99,00;HEKTAR;2023
105;15;1504;UBI JALAR;25,00;HEKTAR;2023
106;15;1505;PADI;4.984,08;HEKTAR;2023
107;15;1505;JANGUNG;205,00;HEKTAR;2023
108;15;1505;KEDELAI;124,00;HEKTAR;2023
109;15;1505;KACANG TANAH;28,50;HEKTAR;2023
110;15;1505;KACANG HIJAU;0,00;HEKTAR;2023
